StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
1015;1;0;-6.431;0;0.00;13;6.00;0.000093;.......((((.(........).....)))).................(((..(((((...)))))..))).....
1017;1;0;-6.432;0;0.00;14;8.00;0.000093;.......((((..(..........)..))))..(......).......(((..(((((...)))))..))).....
1018;1;0;-6.433;0;0.00;12;8.00;0.000094;.....(.((((................))))..)...............((..(((((...)))))..))......
1024;1;0;-6.424;0;0.00;15;10.00;0.000092;.......((((..((........))..))))..(......).......(((..(((((...)))))..))).....
1041;1;0;-6.417;0;0.00;14;7.00;0.000091;.......((((..(...........).)))).......(....)....(((..(((((...)))))..))).....
1079;1;0;-6.393;0;0.00;14;8.00;0.000088;.......((((.(.............))))).............(...(((..(((((...)))))..))).)...
1092;1;0;-6.375;0;0.00;12;7.00;0.000085;.......(((..................))).........(....)..(((..(((((...)))))..))).....
1102;1;0;-6.374;0;0.00;12;7.00;0.000085;.......((((................))))..(.....).........((..(((((...)))))..))......
1107;1;0;-6.369;0;0.00;16;19.00;0.000084;.......((((................))))..((..(((...((.....)).(((((...)))))...))).)).
1109;1;0;-6.370;0;0.00;15;10.00;0.000084;....((.((((.(.............)))))..)).............(((..(((((...)))))..))).....
1111;1;0;-6.365;0;0.00;12;8.00;0.000084;.......((((...(...........))))).................(((..((((.....))))..))).....
1118;1;0;-6.362;0;0.00;14;8.00;0.000083;.......((((.(.(.....).)....)))).................(((..(((((...)))))..))).....
1126;1;0;-6.358;0;0.00;12;8.00;0.000083;.......((((................))))..(.......)......(((..((((.....))))..))).....
1148;1;0;-6.343;0;0.00;10;8.00;0.000080;.......(((..................)))..................((..(((((...)))))..))......
1167;1;0;-6.327;0;0.00;14;10.00;0.000078;.....(.((((................))))..)......((...)).(((..((((.....))))..))).....
1183;1;0;-6.320;0;0.00;12;9.00;0.000077;.......((((...............)).)).................(((..(((((...)))))..))).....
1184;1;0;-6.320;0;0.00;12;7.00;0.000077;.......((((...............).))).................(((..(((((...)))))..))).....
1190;1;0;-6.316;0;0.00;14;4.00;0.000077;.....(.((((................))))..)....(.......).(((..(((((...)))))..))).....
1192;1;0;-6.310;0;0.00;12;8.00;0.000076;.......((((.(.........)....)))).................(((..((((.....))))..))).....
1196;1;0;-6.306;0;0.00;14;14.00;0.000076;.......((((................))))..........(((((...))..(((((...)))))..))).....
1223;1;0;-6.286;0;0.00;12;8.00;0.000073;.......((((...(.....)......)))).................(((..((((.....))))..))).....
1229;1;0;-6.282;0;0.00;13;6.00;0.000073;.......((((.(.......)......)))).................(((..(((((...)))))..))).....
1242;1;0;-6.278;0;0.00;10;8.00;0.000072;.......((((................)))).................(((..(((.......)))..))).....
1245;1;0;-6.278;0;0.00;15;6.00;0.000072;.....(.((((................))))..)...((.......))(((..(((((...)))))..))).....
1255;1;0;-6.273;0;0.00;13;10.00;0.000072;.....(.((((..(..........)..))))..)..............(((..((((.....))))..))).....
1256;1;0;-6.266;0;0.00;14;12.00;0.000071;.....(.((((..((........))..))))..)..............(((..((((.....))))..))).....
1266;1;0;-6.264;0;0.00;14;8.00;0.000070;.......((((.(.............)))))..(......).......(((..(((((...)))))..))).....
1271;1;0;-6.261;0;0.00;14;8.00;0.000070;.....(.((((................))))..)..........(...(((..(((((...)))))..))).)...
1322;1;0;-6.237;0;0.00;14;8.00;0.000067;.......((((................))))............((...(((..(((((...)))))..))).).).
1328;1;0;-6.234;0;0.00;12;8.00;0.000067;.......((((..(...........).))))..................((..(((((...)))))..))......
1337;1;0;-6.229;0;0.00;14;7.00;0.000066;.......((((..(..........)..))))..........(...)..(((..(((((...)))))..))).....
1363;1;0;-6.214;0;0.00;13;9.00;0.000065;.......((((................)))).............((..(((..((((.....))))..)))))...
1364;1;0;-6.214;0;0.00;13;9.00;0.000065;.......((((..(..........)..))))..(.....)........(((..((((.....))))..))).....
1370;1;0;-6.210;0;0.00;14;7.00;0.000064;.....(.((((................))))..)...........(..(((..(((((...)))))..)))...).
1377;1;0;-6.204;0;0.00;13;6.00;0.000064;.......((((.....(........).)))).................(((..(((((...)))))..))).....
1379;1;0;-6.207;0;0.00;14;11.00;0.000064;.......((((..((........))..))))..(.....)........(((..((((.....))))..))).....
