StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
1;1;1;-7.845;1;0.00;15;0.00;0.051671;.......((.(((......))).)).....((((...(((.......(((....)))...........))))))).
3;1;0;-6.722;0;0.00;18;6.00;0.007762;.......((.(((......))).)).....((((...(((....((((((....)))........)))))))))).
4;1;0;-6.718;0;0.00;14;2.00;0.007706;.......((.(((......))).)).....(((....(((.......(((....)))...........))).))).
8;1;0;-6.510;0;0.00;11;8.00;0.005421;.......((.(((......))).))............(((.......(((....)))...........))).....
10;1;0;-6.364;0;0.00;12;6.00;0.004241;.......((.(((......))).)).....((((.............(((....)))..............)))).
13;1;0;-6.300;0;0.00;16;2.00;0.003803;.......((.(((......))).)).....((((...(((.(.....(((....))).........).))))))).
19;1;0;-6.214;0;0.00;13;7.00;0.003291;.......((.(((......))).)).....(((((............(((....))).............))))).
21;1;0;-6.165;0;0.00;18;14.00;0.003029;.......((.(((......))).)).....((((..((.....(((((((....)))........)))))))))).
24;1;0;-6.094;0;0.00;16;2.00;0.002688;.......((.(((......))).)).....((((...(((....(..(((....)))..)........))))))).
25;1;0;-6.090;0;0.00;14;2.00;0.002668;.......((.(((......))).)).....((((....((.......(((....)))...........)).)))).
26;1;0;-6.069;0;0.00;18;9.00;0.002575;.......((.(((......))).)).....((((...((....(((((((....)))........)))))))))).
34;1;0;-5.948;0;0.00;16;2.00;0.002099;.......((.(((......))).)).....((((...(((..(....(((....))).........).))))))).
35;1;0;-5.933;0;0.00;16;2.00;0.002049;.......((.(((......))).)).....((((...(((....(..(((....))).).........))))))).
36;1;0;-5.896;0;0.00;14;19.00;0.001925;.......((.(((......))).))....((.......)).......(((....)))..((.(.(...).)..)).
37;1;0;-5.883;0;0.00;16;2.00;0.001882;.......((.(((......))).)).....((((...(((......((((....)))..)........))))))).
38;1;0;-5.865;0;0.00;14;2.00;0.001827;.......((.(((......))).)).....((((...(((........((....))............))))))).
39;1;0;-5.855;0;0.00;16;2.00;0.001796;.......((.(((......))).)).....((((...(((......((((....)))....)......))))))).
40;1;0;-5.837;0;0.00;14;2.00;0.001743;.......((.((........)).)).....((((...(((.......(((....)))...........))))))).
45;1;0;-5.797;0;0.00;15;3.00;0.001627;.......((.(((......))).)).....(((((...((.......(((....)))...........))))))).
51;1;0;-5.709;0;0.00;14;11.00;0.001404;...(((.((.(((......))).)).....)))....(((.......(((....)))...........))).....
54;1;0;-5.668;0;0.00;16;2.00;0.001309;.......((.(((.(...)))).)).....((((...(((.......(((....)))...........))))))).
62;1;0;-5.602;0;0.00;12;6.00;0.001171;.......((.(((......))).)).....((((...(((............................))))))).
63;1;0;-5.595;0;0.00;17;8.00;0.001158;.......((.(((......))).)).....(((....(((....((((((....)))........)))))).))).
71;1;0;-5.530;0;0.00;16;5.00;0.001037;.......((.(((......))).)).....((((...(((........((....))((......))..))))))).
72;1;0;-5.516;0;0.00;14;2.00;0.001013;.......((.(((......))).))......(((...(((.......(((....)))...........))))))..
73;1;0;-5.504;0;0.00;18;6.00;0.000994;.......((.(((......))).)).....((((...(((..(.(.((((....)))....)..).).))))))).
74;1;0;-5.468;0;0.00;17;4.00;0.000934;.......((.(((......))).)).....((((...(((...((..(((....)))....)).....))))))).
78;1;0;-5.448;0;0.00;16;2.00;0.000904;.....(.((.(((......))).)).)...((((...(((.......(((....)))...........))))))).
80;1;0;-5.420;0;0.00;17;4.00;0.000862;.......((.(((......))).)).....((((...(((.....(((((....)))........)).))))))).
81;1;0;-5.417;0;0.00;14;8.00;0.000857;.......((.(((......))).)).....((((...((........(((....))).......)).....)))).
83;1;0;-5.402;0;0.00;16;2.00;0.000836;......(((.(((......))).)).)...((((...(((.......(((....)))...........))))))).
91;1;0;-5.380;0;0.00;16;24.00;0.000806;.......((.(((......))).))......((.((....)).))..(((....)))..((.(.(...).)..)).
93;1;0;-5.363;0;0.00;15;9.00;0.000782;.......((.(((......))).)).....(((((..((........(((....))).......))....))))).
97;1;0;-5.329;0;0.00;12;9.00;0.000740;.......((.(((......))).)).(.....)....(((.......(((....)))...........))).....
101;1;0;-5.314;0;0.00;16;2.00;0.000721;.......((.(((......))).)).....((((...(((...(...(((....))).....).....))))))).
107;1;0;-5.302;0;0.00;13;10.00;0.000706;.......((.(((......))).)).((...))....(((.......(((....)))...........))).....
108;1;0;-5.304;0;0.00;15;23.00;0.000708;.......((.(((......))).))......((.((....)).))..(((....)))...(.(.(...)).)....
114;1;0;-5.258;0;0.00;14;2.00;0.000656;.......(..(((......)))..).....((((...(((.......(((....)))...........))))))).
123;1;0;-5.237;0;0.00;17;4.00;0.000633;.......((.(((......))).)).....((((...(((..(.(..(((....))).......).).))))))).
124;1;0;-5.238;0;0.00;16;2.00;0.000633;.......((.(((......))).)).....((((...(((.......(((....)))...(.....).))))))).
126;1;0;-5.229;0;0.00;16;10.00;0.000624;.......((.(((......))).)).....((((((.((........(((....))).......))...)))))).
130;1;0;-5.180;0;0.00;13;4.00;0.000575;.......((.(((......))).)).......((...(((.......(((....)))...........)))))...
132;1;0;-5.172;0;0.00;15;4.00;0.000567;.......((.(((......))).)).....(((....(((.(.....(((....))).........).))).))).
136;1;0;-5.136;0;0.00;14;19.00;0.000534;.......((.(((......))).))....((.......)).......(((....)))..(.((.(...).))..).
138;1;0;-5.124;0;0.00;15;10.00;0.000523;.......((.(((......))).)).....(((((.((.........(((....))).......))....))))).
143;1;0;-5.108;0;0.00;14;2.00;0.000509;........(.(((......))).)......((((...(((.......(((....)))...........))))))).
144;1;0;-5.101;0;0.00;15;3.00;0.000503;.......((.(((.....).)).)).....((((...(((.......(((....)))...........))))))).
145;1;0;-5.101;0;0.00;15;6.00;0.000503;.......((.(((......)))...))...((((...(((.......(((....)))...........))))))).
149;1;0;-5.079;0;0.00;16;2.00;0.000485;.......((.(((......))).)).....((((...(((....(..(((....)))...).......))))))).
150;1;0;-5.067;0;0.00;14;9.00;0.000475;.......((.(((......))).)).....((((..((.........(((....))).......)).....)))).
151;1;0;-5.062;0;0.00;16;2.00;0.000471;.......((.(((......))).)).....((((...(((.......(((....)))(......)...))))))).
160;1;0;-5.029;0;0.00;15;12.00;0.000446;.......((.(((......))).)).....((((...(((....(((..................)))))))))).
161;1;0;-5.027;0;0.00;14;2.00;0.000444;.......((..((......))..)).....((((...(((.......(((....)))...........))))))).
162;1;0;-5.027;0;0.00;15;7.00;0.000444;.......((.(((......))).)).....((((...(((.........(....).((......))..))))))).
166;1;0;-5.014;0;0.00;16;2.00;0.000434;.......((.(((......))).)).....((((...(((....(..(((....)))....)......))))))).
167;1;0;-5.014;0;0.00;16;2.00;0.000434;.......((.(((......))).)).....((((...((((......(((....))).........).))))))).
168;1;0;-5.005;0;0.00;14;7.00;0.000427;.......((.(((......))).)).....((((..((.........(((....)))............)))))).
182;1;0;-4.966;0;0.00;17;8.00;0.000401;.......((.(((......))).)).....((((....((....((((((....)))........))))).)))).
183;1;0;-4.967;0;0.00;15;4.00;0.000401;.......((.(((......))).)).....(((....(((....(..(((....)))..)........))).))).
186;1;0;-4.962;0;0.00;14;17.00;0.000398;...(((.((.(((......)))...))...)))....(((.......(((....)))...........))).....
187;1;0;-4.964;0;0.00;12;10.00;0.000399;.......((.(((......))).))............(((.(.....(((....))).........).))).....
196;1;0;-4.940;0;0.00;16;2.00;0.000384;.......((.(((......))).)).....((((...(((......((((....))).......)...))))))).
213;1;0;-4.873;0;0.00;14;19.00;0.000342;.......((.(((......))).))....((.......)).......(((....)))..((.((.......)))).
223;1;0;-4.843;0;0.00;15;4.00;0.000325;.......((.(((......))).)).....((((...(((......(.((....))...)........))))))).
225;1;0;-4.835;0;0.00;14;20.00;0.000321;...(((.((.(((......))).)).....))).....(....)...(((....))).....(.(...).).....
235;1;0;-4.820;0;0.00;15;4.00;0.000313;.......((.(((......))).)).....(((....(((..(....(((....))).........).))).))).
238;1;0;-4.810;0;0.00;16;2.00;0.000308;.......((.(((......))).)).....((((...(((.......(((....)))(.......)..))))))).
240;1;0;-4.806;0;0.00;15;4.00;0.000306;.......((.(((......))).)).....(((....(((....(..(((....))).).........))).))).
242;1;0;-4.808;0;0.00;14;2.00;0.000307;.......((.(((......))).)).....((((...(((.......((......))...........))))))).
259;1;0;-4.758;0;0.00;12;10.00;0.000282;.......((.(((......))).))............(((....(..(((....)))..)........))).....
261;1;0;-4.756;0;0.00;15;4.00;0.000281;.......((.(((......))).)).....(((....(((......((((....)))..)........))).))).
264;1;0;-4.749;0;0.00;14;5.00;0.000278;..(.....).(((......)))........((((...(((.......(((....)))...........))))))).
268;1;0;-4.741;0;0.00;16;9.00;0.000274;..(.((....(((......)))..)).)..((((...(((.......(((....)))...........))))))).
270;1;0;-4.738;0;0.00;13;4.00;0.000273;.......((.(((......))).)).....(((....(((........((....))............))).))).
272;1;0;-4.728;0;0.00;15;4.00;0.000268;.......((.(((......))).)).....(((....(((......((((....)))....)......))).))).
274;1;0;-4.726;0;0.00;18;6.00;0.000267;.......((.(((......))).)).....((((...(((.(.((..(((....)))....))...).))))))).
275;1;0;-4.715;0;0.00;18;6.00;0.000262;.......((.(((......))).)).....((((...(((...((.((((....)))..).)).....))))))).
280;1;0;-4.714;0;0.00;17;8.00;0.000262;.......((.((........)).)).....((((...(((....((((((....)))........)))))))))).
282;1;0;-4.710;0;0.00;13;4.00;0.000260;.......((.((........)).)).....(((....(((.......(((....)))...........))).))).
290;1;0;-4.694;0;0.00;14;8.00;0.000253;.......((.(((......))).)).....((((((...........(((....)))............)))))).
301;1;0;-4.677;0;0.00;15;6.00;0.000246;..((...)).(((......)))........((((...(((.......(((....)))...........))))))).
304;1;0;-4.673;0;0.00;18;9.00;0.000244;.......((.(((......))).)).....(((((...((....((((((....)))........)))))))))).
307;1;0;-4.667;0;0.00;14;20.00;0.000242;.......((.(((......))).))......((..........))..(((....)))..((.(.(...).)..)).
310;1;0;-4.663;0;0.00;15;21.00;0.000240;...(((.((.(((......))).)).....)))..............(((....)))..((.(.(...).)..)).
338;1;0;-4.620;0;0.00;16;24.00;0.000223;.......((.(((......))).))......((.((....)).))..(((....)))..(.((.(...).))..).
343;1;0;-4.612;0;0.00;12;10.00;0.000220;.......((.(((......))).))............(((..(....(((....))).........).))).....
355;1;0;-4.597;0;0.00;12;10.00;0.000215;.......((.(((......))).))............(((....(..(((....))).).........))).....
364;1;0;-4.587;0;0.00;14;20.00;0.000211;...(((.((.(((......))).)).....)))..............(((....)))...(.(.(...)).)....
373;1;0;-4.573;0;0.00;17;4.00;0.000206;.......((.(((......))).)).....((((...(((.(.(...(((....))).....)...).))))))).
374;1;0;-4.567;0;0.00;12;9.00;0.000204;.......((.(((......))).))...........((((.......(((....)))...........))).)...
375;1;0;-4.568;0;0.00;15;23.00;0.000205;.......((.(((......))).)).......(.((....)).)...(((....)))..((.(.(...).)..)).
385;1;0;-4.547;0;0.00;12;10.00;0.000198;.......((.(((......))).))............(((......((((....)))..)........))).....
386;1;0;-4.548;0;0.00;16;11.00;0.000198;.......((.(((......))).)).....((((...(((.....((.......))((......))..))))))).
388;1;0;-4.544;0;0.00;15;4.00;0.000196;.......((.(((......))).)).....((((....((.(.....(((....))).........).)).)))).
389;1;0;-4.545;0;0.00;19;8.00;0.000197;.......((.(((.(...)))).)).....((((...(((....((((((....)))........)))))))))).
392;1;0;-4.540;0;0.00;15;4.00;0.000195;.......((.(((.(...)))).)).....(((....(((.......(((....)))...........))).))).
396;1;0;-4.531;0;0.00;14;10.00;0.000192;.......((.(((......))).)).....((((...(((..(.(...................).).))))))).
402;1;0;-4.530;0;0.00;10;10.00;0.000192;.......((.(((......))).))............(((........((....))............))).....
413;1;0;-4.520;0;0.00;17;4.00;0.000189;.......((.(((......))).)).....((((...(((...(..((((....)))..)..).....))))))).
414;1;0;-4.516;0;0.00;16;22.00;0.000187;...(((.((.(((......))).)).....))).....(....)...(((....)))..((.(.(...).)..)).
415;1;0;-4.519;0;0.00;12;10.00;0.000188;.......((.(((......))).))............(((......((((....)))....)......))).....
418;1;0;-4.509;0;0.00;16;2.00;0.000185;.......((.(((......))).)).....((((...(((...(...(((....))))..........))))))).
420;1;0;-4.504;0;0.00;15;3.00;0.000184;.......((.(((......))).)).....((((...(((.......(((....)).)..........))))))).
424;1;0;-4.502;0;0.00;10;10.00;0.000183;.......((.((........)).))............(((.......(((....)))...........))).....
440;1;0;-4.485;0;0.00;14;8.00;0.000178;.......((.(((......))).)).....((((...(((.....((.......))............))))))).
444;1;0;-4.474;0;0.00;11;8.00;0.000175;.......((.(((......))).)).....(((....(((............................))).))).
447;1;0;-4.472;0;0.00;15;4.00;0.000174;.......((.((..(...).)).)).....((((...(((.......(((....)))...........))))))).
448;1;0;-4.472;0;0.00;15;20.00;0.000174;.......((.(((......))).)).....((((..((.....((((..................)))))))))).
463;1;0;-4.454;0;0.00;13;9.00;0.000169;.......((.(((......))).)).....(((...((.........(((....)))............)).))).
477;1;0;-4.440;0;0.00;15;21.00;0.000165;...(((.((.(((......))).)).....))).....(....)...(((....)))...(.(.(...)).)....
484;1;0;-4.430;0;0.00;15;9.00;0.000162;.......((.(((......))).)).....((((.(.((........(((....))).......))...).)))).
485;1;0;-4.430;0;0.00;14;5.00;0.000162;......(...(((......)))..).....((((...(((.......(((....)))...........))))))).
488;1;0;-4.433;0;0.00;17;4.00;0.000163;.......((.(((......))).)).....((((...(((.(....((((....)))..)......).))))))).
489;1;0;-4.427;0;0.00;13;25.00;0.000161;.......((.(((......))).))....((.......)).......((((.....((......)).....)))).
498;1;0;-4.420;0;0.00;13;8.00;0.000159;.......((.(((......))).)).....((((..........(..(((....)))..)...........)))).
506;1;0;-4.402;0;0.00;15;7.00;0.000155;.......((.(((......))).)).....(((....(((........((....))((......))..))).))).
509;1;0;-4.393;0;0.00;17;8.00;0.000152;.......((.(((......))).))......(((...(((....((((((....)))........)))))))))..
517;1;0;-4.389;0;0.00;13;4.00;0.000151;.......((.(((......))).))......((....(((.......(((....)))...........))).))..
520;1;0;-4.384;0;0.00;11;8.00;0.000150;.......((.(((......))).)).....((((..............((....))...............)))).
526;1;0;-4.379;0;0.00;13;18.00;0.000149;.......((.(((......))).)).......(......).......(((....)))..((.(.(...).)..)).
528;1;0;-4.376;0;0.00;15;15.00;0.000148;.......((.(((......))).)).....((((...((....((((..................)))))))))).
529;1;0;-4.376;0;0.00;17;7.00;0.000148;..(.((..(.(((......))).))).)..((((...(((.......(((....)))...........))))))).
532;1;0;-4.377;0;0.00;17;8.00;0.000148;.......((.(((......))).)).....(((....(((..(.(.((((....)))....)..).).))).))).
537;1;0;-4.373;0;0.00;14;20.00;0.000147;...(((.((.(((......))).)).....))).....(....)...(((....)))...(.(......).)....
544;1;0;-4.356;0;0.00;13;8.00;0.000143;.......((.(((......))).)).....((((..........(..(((....))).)............)))).
545;1;0;-4.356;0;0.00;11;8.00;0.000143;.......((.((........)).)).....((((.............(((....)))..............)))).
