StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
20;1;1;-6.899;1;0.00;14;2.00;0.002218;..........(((........)))......(.(((((.....))))).)...(((....))).....((...))..
34;1;0;-6.654;0;0.00;13;4.00;0.001468;..........(((........)))........(((((.....))))).....(((....))).....((...))..
54;1;0;-6.431;0;0.00;12;6.00;0.001007;..........(((........)))......(.(((((.....))))).)...(((....)))..............
78;1;0;-6.250;0;0.00;13;4.00;0.000742;..........(((........)))......(.(((((.....))))).)...(((....)))......(...)...
95;1;0;-6.186;0;0.00;11;8.00;0.000666;..........(((........)))........(((((.....))))).....(((....)))..............
106;1;0;-6.131;0;0.00;15;4.00;0.000607;..........(((........)))......(.(((((.....))))).)..((((....))))....((...))..
121;1;0;-6.060;0;0.00;13;4.00;0.000539;..........(((........)))......(.((((.......)))).)...(((....))).....((...))..
138;1;0;-6.006;0;0.00;12;6.00;0.000491;..........(((........)))........(((((.....))))).....(((....)))......(...)...
161;1;0;-5.936;0;0.00;13;8.00;0.000436;..........(((........)))......(.(((((.....))))).)...(((....)))...(....).....
168;1;0;-5.886;0;0.00;14;6.00;0.000402;..........(((........)))........(((((.....)))))....((((....))))....((...))..
194;1;0;-5.816;0;0.00;12;6.00;0.000356;..........(((........)))........((((.......)))).....(((....))).....((...))..
255;1;0;-5.691;0;0.00;12;10.00;0.000289;..........(((........)))........(((((.....))))).....(((....)))...(....).....
277;1;0;-5.647;0;0.00;13;4.00;0.000268;..........(((........)))......(.(((((.....))))).)...((......)).....((...))..
314;1;0;-5.592;0;0.00;11;8.00;0.000245;..........(((........)))......(.((((.......)))).)...(((....)))..............
317;1;0;-5.584;0;0.00;13;4.00;0.000241;..........((..........))......(.(((((.....))))).)...(((....))).....((...))..
388;1;0;-5.486;0;0.00;11;8.00;0.000204;..............................(.(((((.....))))).)...(((....))).....((...))..
393;1;0;-5.482;0;0.00;14;6.00;0.000203;..........(((........)))......(.(((((.....))))).)..((((....)))).....(...)...
442;1;0;-5.412;0;0.00;12;6.00;0.000180;..........(((........)))......(.((((.......)))).)...(((....)))......(...)...
513;1;0;-5.340;0;0.00;12;6.00;0.000160;..........((..........))........(((((.....))))).....(((....))).....((...))..
533;1;0;-5.313;0;0.00;16;6.00;0.000153;..((...)).(((........)))......(.(((((.....))))).)...(((....))).....((...))..
544;1;0;-5.306;0;0.00;14;21.00;0.000151;..........(((........)))........(((((.....)))))..(((.(((..........))).)))...
555;1;0;-5.292;0;0.00;14;6.00;0.000147;..........(((........)))......(.((((.......)))).)..((((....))))....((...))..
611;1;0;-5.242;0;0.00;10;10.00;0.000135;................................(((((.....))))).....(((....))).....((...))..
614;1;0;-5.238;0;0.00;13;8.00;0.000134;..........(((........)))........(((((.....)))))....((((....)))).....(...)...
618;1;0;-5.234;0;0.00;15;4.00;0.000134;..........(((.(...)..)))......(.(((((.....))))).)...(((....))).....((...))..
648;1;0;-5.207;0;0.00;15;4.00;0.000128;..(.....).(((........)))......(.(((((.....))))).)...(((....))).....((...))..
709;1;0;-5.165;0;0.00;13;10.00;0.000119;.....((...............))......(.(((((.....))))).)...(((....))).....((...))..
819;1;0;-5.097;0;0.00;12;10.00;0.000106;..........(((........)))......(.((((.......)))).)...(((....)))...(....).....
