;StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
2946;5890;5;0;-4.465;0;3.61;18;24;1.3e-05;..((....((.((((.((......))))))..))))...(((.........(((((......))))))))......
2947;5925;5;0;-4.461;0;4.16;13;26;1.3e-05;.....(...).((((...........)))).........(((.........(((((......))))))))......
2948;5930;5;0;-4.462;0;4.59;14;39;1.3e-05;..............(((....)))...........(((.(((.........(((((......))))))))...)))
2949;5941;5;0;-4.463;0;2.88;14;23;1.3e-05;...........((((.(((....))))))).........(((.........(((..(.....).))))))......
2950;5944;5;0;-4.464;0;7.19;13;40;1.3e-05;...((..(((..........)))..))............(((.........(((((......))))))))......
2951;5955;5;0;-4.457;0;3.67;12;31;1.3e-05;...........((((...........)))).........(((.........(((..((...)).))))))......
2952;5957;5;0;-4.458;0;3.77;17;31;1.3e-05;...........((((.(((....))))))).....(((.(((.....((..((........))..)))))...)))
2953;5958;5;0;-4.458;0;2.88;14;23;1.3e-05;...........((((..((....)).)))).........(((.........((((.(.....))))))))......
2954;5970;5;0;-4.459;0;3.84;14;30;1.3e-05;...........(((.............))).....(((.(((.........(((((......))))))))...)))
2955;5989;5;0;-4.455;0;3.28;18;22;1.3e-05;..(.....)..((((.(((....)))))))......((.(((.........(((((......)))))))).)..).
2956;6021;5;0;-4.451;0;2.89;17;24;1.3e-05;.........(.((((.((......))))))..)...((.(((.........(((((......))))))))...)).
2957;6039;5;0;-4.452;0;3.72;18;24;1.3e-05;..(((....(.((((.((......))))))..))))...(((.........(((((......))))))))......
2958;6041;5;0;-4.452;0;9.19;14;38;1.3e-05;..((...)).....(((....)))...(((.........)))......(..(((((......)))))..)......
2959;6042;5;0;-4.452;0;3.69;17;23;1.3e-05;..(((......((((.((......))))))...)))...(((.........(((((......))))))))......
2960;6071;5;0;-4.448;0;3.72;18;25;1.3e-05;..(((...(..((((.((......)))))).).)))...(((.........(((((......))))))))......
2961;6086;5;0;-4.442;0;3.21;15;19;1.3e-05;...........((((.(((....)))))))........(((..........(((((......)))))....)))..
2962;6087;5;0;-4.442;0;2.5;18;22;1.3e-05;.........(.((((.(((....)))))))..)....(.(((.........(((((.(...))))))))).)....
2963;6088;5;0;-4.442;0;2.56;18;25;1.3e-05;.........(.((((.(((....)))))))..)....(.(((.........((((.((...))))))))).)....
2964;6109;5;0;-4.444;0;10.03;13;37;1.3e-05;.......(((.(......).)))....(((.........)))......(..(((((......)))))..)......
2965;6115;5;0;-4.445;0;4.43;17;29;1.3e-05;..((...))..((((.(((....))))))).........(((.........(((..((...)).))))))......
2966;6133;5;0;-4.439;0;4.37;17;26;1.3e-05;..((...))..((((..((....)).)))).........(((.........(((((.(...)))))))))......
2967;6134;5;0;-4.439;0;4.43;17;29;1.3e-05;..((...))..((((..((....)).)))).........(((.........((((.((...)))))))))......
2968;6147;5;0;-4.44;0;2.89;19;22;1.3e-05;.....(..((.((((.(((....)))))))..))..)(.(((.........(((((......)))))))).)....
2969;6169;5;0;-4.435;0;2.5;16;18;1.3e-05;.........(.((((.(((....)))))))..)....(.(((..........((((......)))).))).)....
2970;6182;5;0;-4.436;0;10.06;14;37;1.3e-05;.......(((.((....)).)))....(((.........)))......(..(((((......)))))..)......
2971;6189;5;0;-4.437;0;3.67;18;26;1.3e-05;..(.....)..(((..(((....))).))).....(((.(((.........(((((......))))))))...)))
2972;6201;5;0;-4.431;0;3.97;19;24;1.3e-05;..((...))(.((((.(((....)))))))..)....(.(((.........(((((......)))))))).)....
2973;6206;5;0;-4.431;0;4.48;15;22;1.3e-05;..((...))..((((..((....)).)))).........(((..........((((......)))).)))......
2974;6217;5;0;-4.433;0;7.26;16;18;1.3e-05;..(.....)..((((.(((....)))))))...((.....))..........((((......)))).((...))..
2975;6228;5;0;-4.426;0;3.29;16;20;1.2e-05;......(...)((((.(((....))))))).........(((.........(((((......))))))))......
2976;6258;5;0;-4.422;0;2.76;16;19;1.2e-05;.........(.((((.(((....)))))))..)......(((........(.((((......))))))))......
2977;6262;5;0;-4.423;0;5.3;15;34;1.2e-05;..((...))..(((((......)))...)).........(((.........(((((......))))))))......
2978;6276;5;0;-4.424;0;3.55;15;21;1.2e-05;...........((((..((....)).)))).........(((.........(((((......))))))))(...).
2979;6278;5;0;-4.425;0;4.75;14;38;1.2e-05;...((........((((....))))......))......(((.........(((((......))))))))......
2980;6286;5;0;-4.426;0;2.75;14;23;1.2e-05;...........((((.(........))))).......(.(((.........(((((......)))))))).)....
2981;6293;5;0;-4.419;0;3.52;15;25;1.2e-05;..(.....)..((((..((....)).)))).......(.(((.........((((........))))))).)....
2982;6310;5;0;-4.421;0;6.47;14;37;1.2e-05;..(.....).....(((....)))..((.......))..(((.........(((((......))))))))......
2983;6312;5;0;-4.421;0;4.29;16;27;1.2e-05;..((...))..((((..(......).)))).......(.(((.........(((((......)))))))).)....
2984;6314;5;0;-4.421;0;3.5;14;22;1.2e-05;...........((((..(......).))))..(...)..(((.........(((((......))))))))......
2985;6346;5;0;-4.417;0;7.93;11;33;1.2e-05;..............((......))...(((.........)))......(..(((((......)))))..)......
2986;6378;5;0;-4.412;0;3.26;16;19;1.2e-05;...........((((.(((....)))))))(....)...(((.........(((((......))))))))......
2987;6390;5;0;-4.414;0;3.67;18;22;1.2e-05;..((...))..((((.(((....)))))))....(....(((.........(((((......))))))))..)...
2988;6399;5;0;-4.407;0;8.6;12;37;1.2e-05;.........(.....)....(((...........)))..(((.........(((((......))))))))......
2989;6405;5;0;-4.407;0;5.5;10;34;1.2e-05;..........((..........))...............(((.........(((((......))))))))......
2990;6407;5;0;-4.408;0;4.87;12;26;1.2e-05;...........((((.(((....))))))).........(((.((..................))..)))......
2991;6418;5;0;-4.409;0;2.85;15;21;1.2e-05;..........(((((..((....)).))))..)......(((.........(((((......))))))))......
2992;6422;5;0;-4.409;0;5.12;15;32;1.2e-05;..((...))..(((((......))...))).........(((.........(((((......))))))))......
2993;6479;5;0;-4.401;0;3.97;14;30;1.2e-05;...........((((..((....)).)))).........(((.....((..(((.....).))..)))))......
2994;6483;5;0;-4.401;0;3.38;19;24;1.2e-05;.....(....)((((.(((....))))))).....(((.(((.........(((((......))))))))...)))
