StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
3;1;1;-5.917;1;0.00;9;8.00;0.014813;...........(((.....))).........................(((.(((.....))).)))..........
28;1;0;-4.917;0;0.00;10;10.00;0.002738;...........(((.....))).......(.....)...........(((.(((.....))).)))..........
38;1;0;-4.745;0;0.00;10;10.00;0.002049;...........(((.....))).........................(((.(((.....))).)))...(....).
48;1;0;-4.620;0;0.00;10;10.00;0.001657;...........(((.....))).........(.....).........(((.(((.....))).)))..........
55;1;0;-4.548;0;0.00;12;14.00;0.001470;...........(((.....))).....................(((.(((.(((.....))).)))...)))....
64;1;0;-4.505;0;0.00;10;10.00;0.001367;...........(((.....)))........(....)...........(((.(((.....))).)))..........
74;1;0;-4.431;0;0.00;10;9.00;0.001205;...........(((.....)))......(.....)............(((.(((.....))).)))..........
76;1;0;-4.415;0;0.00;11;12.00;0.001173;...........(((.....))).........((...)).........(((.(((.....))).)))..........
83;1;0;-4.389;0;0.00;8;10.00;0.001123;...........(((.....))).........................((..(((.....)))..))..........
88;1;0;-4.326;0;0.00;10;10.00;0.001009;...........(((.....)))...............(......)..(((.(((.....))).)))..........
92;1;0;-4.290;0;0.00;11;10.00;0.000950;...........(((.....))).....((..........))......(((.(((.....))).)))..........
96;1;0;-4.264;0;0.00;10;9.00;0.000910;...........(((.....))).....(....)..............(((.(((.....))).)))..........
107;1;0;-4.169;0;0.00;6;14.00;0.000775;...........(((.....))).............................(((.....)))..............
115;1;0;-4.148;0;0.00;11;12.00;0.000748;...........(((.....))).........................(((.(((.....))).))).((...))..
119;1;0;-4.124;0;0.00;8;10.00;0.000718;...........(((.....)))..........................((.(((.....))).))...........
125;1;0;-4.092;0;0.00;11;9.00;0.000680;.........(((((.....)))..)).....................(((.(((.....))).)))..........
126;1;0;-4.093;0;0.00;8;16.00;0.000681;....................((............))...........(((.(((.....))).)))..........
135;1;0;-4.048;0;0.00;10;9.00;0.000632;...........(((.....)))....(........)...........(((.(((.....))).)))..........
139;1;0;-4.041;0;0.00;10;10.00;0.000624;...........(((.....))).........................(((.(((.....))).)))....(...).
141;1;0;-4.043;0;0.00;10;10.00;0.000626;...........(((.....))).........................(((.(((.....))).))).(.....)..
145;1;0;-4.023;0;0.00;8;10.00;0.000606;...........(((.....))).........................(((..((.....))..)))..........
152;1;0;-4.008;0;0.00;10;10.00;0.000590;...........(((.....))).........................(((.(((.....))).)))..(...)...
158;1;0;-4.008;0;0.00;8;10.00;0.000590;...........((.......)).........................(((.(((.....))).)))..........
169;1;0;-3.971;0;0.00;10;10.00;0.000554;...........(((.....))).........(...)...........(((.(((.....))).)))..........
180;1;0;-3.942;0;0.00;10;10.00;0.000528;...........(((.....))).............(........)..(((.(((.....))).)))..........
205;1;0;-3.866;0;0.00;11;12.00;0.000465;...........(((.....))).....................((..(((.(((.....))).)))....))....
212;1;0;-3.838;0;0.00;11;12.00;0.000443;...........(((.....)))......................((.(((.(((.....))).)))...)).....
221;1;0;-3.813;0;0.00;11;10.00;0.000425;...........(((.....))).....((...............)).(((.(((.....))).)))..........
234;1;0;-3.779;0;0.00;10;10.00;0.000401;...........(((.....)))..(..........)...........(((.(((.....))).)))..........
253;1;0;-3.745;0;0.00;11;12.00;0.000379;...........(((.....))).......(.....)...........(((.(((.....))).)))...(....).
257;1;0;-3.736;0;0.00;10;9.00;0.000373;...........(((.....)))...(.........)...........(((.(((.....))).)))..........
261;1;0;-3.731;0;0.00;8;10.00;0.000370;...........(((.....))).........................(((.((.......)).)))..........
281;1;0;-3.670;0;0.00;11;12.00;0.000334;...........(((.....)))................((.......(((.(((.....))).)))...)).....
282;1;0;-3.666;0;0.00;11;10.00;0.000331;...........(((.....)))....(.(.....))...........(((.(((.....))).)))..........
289;1;0;-3.653;0;0.00;10;9.00;0.000324;...........(((.....)))......(...............)..(((.(((.....))).)))..........
296;1;0;-3.641;0;0.00;10;9.00;0.000318;...........(((.....)))......(..........).......(((.(((.....))).)))..........
310;1;0;-3.619;0;0.00;8;15.00;0.000306;...........(((.....)))........................((...(((.....)))..))..........
312;1;0;-3.615;0;0.00;10;10.00;0.000304;...........(((.....)))........(......).........(((.(((.....))).)))..........
357;1;0;-3.534;0;0.00;10;9.00;0.000265;...........(((.....)))....(..........).........(((.(((.....))).)))..........
359;1;0;-3.529;0;0.00;11;10.00;0.000263;.........(((((.....)))........))...............(((.(((.....))).)))..........
369;1;0;-3.518;0;0.00;10;10.00;0.000258;...........(((.....))).............(...).......(((.(((.....))).)))..........
377;1;0;-3.500;0;0.00;10;10.00;0.000250;...........(((.....)))......................(..(((.(((.....))).)))...)......
381;1;0;-3.485;0;0.00;11;12.00;0.000244;...........(((.....))).((..........))..........(((.(((.....))).)))..........
402;1;0;-3.450;0;0.00;9;16.00;0.000230;...........(((.....))).........................((((((.....)))..)))..........
408;1;0;-3.448;0;0.00;11;12.00;0.000229;...........(((.....))).........(.....).........(((.(((.....))).)))...(....).
431;1;0;-3.421;0;0.00;7;15.00;0.000219;...........(((.....))).............................(((.....)))..(...).......
452;1;0;-3.389;0;0.00;9;12.00;0.000208;...........(((.....))).......(.....)...........((..(((.....)))..))..........
458;1;0;-3.390;0;0.00;10;9.00;0.000208;.....(....)(((.....))).........................(((.(((.....))).)))..........
473;1;0;-3.371;0;0.00;10;10.00;0.000201;...........(((.....)))...........(......)......(((.(((.....))).)))..........
496;1;0;-3.346;0;0.00;9;17.00;0.000193;.........(.....)....((............))...........(((.(((.....))).)))..........
505;1;0;-3.333;0;0.00;11;12.00;0.000189;...........(((.....)))........(....)...........(((.(((.....))).)))...(....).
509;1;0;-3.329;0;0.00;13;16.00;0.000188;...........(((.....)))...................(.(((.(((.(((.....))).)))...))).)..
517;1;0;-3.323;0;0.00;11;10.00;0.000186;.........(((((.....))).......))................(((.(((.....))).)))..........
528;1;0;-3.316;0;0.00;10;9.00;0.000183;.........(.(((.....)))..)......................(((.(((.....))).)))..........
537;1;0;-3.303;0;0.00;10;9.00;0.000180;...........(((.....))).....(............)......(((.(((.....))).)))..........
565;1;0;-3.276;0;0.00;10;9.00;0.000172;...........(((.....)))..(...)..................(((.(((.....))).)))..........
575;1;0;-3.265;0;0.00;10;10.00;0.000168;...........(((.....)))..............(........).(((.(((.....))).)))..........
578;1;0;-3.259;0;0.00;11;11.00;0.000167;...........(((.....)))......(.....)............(((.(((.....))).)))...(....).
593;1;0;-3.243;0;0.00;12;14.00;0.000162;...........(((.....))).........((...)).........(((.(((.....))).)))...(....).
611;1;0;-3.231;0;0.00;10;9.00;0.000159;...........(((.....)))...(...........).........(((.(((.....))).)))..........
628;1;0;-3.217;0;0.00;9;12.00;0.000155;...........(((.....))).........................((..(((.....)))..))...(....).
646;1;0;-3.202;0;0.00;11;11.00;0.000151;...........(((.....)))..(..(....)..)...........(((.(((.....))).)))..........
651;1;0;-3.196;0;0.00;10;10.00;0.000150;...........(((.....)))..............(...)......(((.(((.....))).)))..........
669;1;0;-3.176;0;0.00;10;8.00;0.000145;.........(.(((.....)))...).....................(((.(((.....))).)))..........
671;1;0;-3.177;0;0.00;10;10.00;0.000145;...........(((.....)))..(............).........(((.(((.....))).)))..........
677;1;0;-3.169;0;0.00;7;16.00;0.000143;...........(((.....))).......(.....)...............(((.....)))..............
690;1;0;-3.156;0;0.00;10;10.00;0.000140;...........(((.....)))......................(..(((.(((.....))).)))....).....
695;1;0;-3.160;0;0.00;11;10.00;0.000141;...........(((.....)))...(.(....)..)...........(((.(((.....))).)))..........
696;1;0;-3.160;0;0.00;11;12.00;0.000141;...........(((.....)))...........((............(((.(((.....))).)))....))....
700;1;0;-3.154;0;0.00;11;12.00;0.000140;...........(((.....)))...............(......)..(((.(((.....))).)))...(....).
713;1;0;-3.148;0;0.00;12;14.00;0.000138;...........(((.....))).......(.....)...........(((.(((.....))).))).((...))..
719;1;0;-3.143;0;0.00;8;16.00;0.000137;...........((.....................))...........(((.(((.....))).)))..........
733;1;0;-3.132;0;0.00;13;16.00;0.000135;...........(((.....))).............((.((.......(((.(((.....))).)))...))..)).
734;1;0;-3.133;0;0.00;9;17.00;0.000135;..........(....)....((............))...........(((.(((.....))).)))..........
742;1;0;-3.124;0;0.00;9;12.00;0.000133;...........(((.....))).......(.....)............((.(((.....))).))...........
745;1;0;-3.118;0;0.00;12;12.00;0.000131;...........(((.....))).....((..........))......(((.(((.....))).)))...(....).
780;1;0;-3.095;0;0.00;11;12.00;0.000126;...........(((.....))).............((..........(((.(((.....))).))).......)).
785;1;0;-3.091;0;0.00;12;11.00;0.000126;.........(((((.....)))..))...(.....)...........(((.(((.....))).)))..........
786;1;0;-3.091;0;0.00;9;12.00;0.000126;...........(((.....))).........(.....).........((..(((.....)))..))..........
787;1;0;-3.092;0;0.00;11;11.00;0.000126;...........(((.....))).....(....)..............(((.(((.....))).)))...(....).
835;1;0;-3.062;0;0.00;13;15.00;0.000120;...........(((.....)))......(.....)........(((.(((.(((.....))).)))...)))....
849;1;0;-3.054;0;0.00;10;10.00;0.000118;...........(((.....))).........................(((.(((.....))).))).(...)....
853;1;0;-3.047;0;0.00;10;9.00;0.000117;.....(...).(((.....))).........................(((.(((.....))).)))..........
857;1;0;-3.043;0;0.00;12;17.00;0.000116;...........(((.....))).....................((.((((.(((.....))).))....)).))..
858;1;0;-3.043;0;0.00;12;14.00;0.000116;...........(((.....))).....................((.((((.(((.....))).)))....).))..
866;1;0;-3.040;0;0.00;11;12.00;0.000115;...........(((.....))).......(.....)...........(((.(((.....))).)))....(...).
873;1;0;-3.042;0;0.00;11;12.00;0.000116;...........(((.....))).......(.....)...........(((.(((.....))).))).(.....)..
884;1;0;-3.032;0;0.00;6;14.00;0.000114;...............................................(((.(((.....))).)))..........
898;1;0;-3.025;0;0.00;10;6.00;0.000112;.........(.(((.....)))....)....................(((.(((.....))).)))..........
903;1;0;-3.020;0;0.00;11;16.00;0.000111;...........(((.....))).....................(((.((..(((.....)))..))...)))....
906;1;0;-3.023;0;0.00;9;12.00;0.000112;...........(((.....))).......(.....)...........(((..((.....))..)))..........
910;1;0;-3.018;0;0.00;10;10.00;0.000111;...........(((.....)))...................(...).(((.(((.....))).)))..........
916;1;0;-3.008;0;0.00;11;12.00;0.000109;...........(((.....))).......(.....)...........(((.(((.....))).)))..(...)...
932;1;0;-3.007;0;0.00;9;12.00;0.000109;...........((.......)).......(.....)...........(((.(((.....))).)))..........
937;1;0;-2.997;0;0.00;7;16.00;0.000107;...........(((.....))).............................(((.....))).......(....).
963;1;0;-2.977;0;0.00;9;12.00;0.000104;...........(((.....)))........(....)...........((..(((.....)))..))..........
987;1;0;-2.968;0;0.00;10;18.00;0.000102;...((.....))........((............))...........(((.(((.....))).)))..........
1013;1;0;-2.952;0;0.00;9;12.00;0.000099;...........(((.....)))..........................((.(((.....))).))....(....).
1014;1;0;-2.952;0;0.00;11;10.00;0.000099;.........(((((.....)))................)).......(((.(((.....))).)))..........
1032;1;0;-2.939;0;0.00;6;14.00;0.000097;...........(((.....))).........................(((.............)))..........
1065;1;0;-2.920;0;0.00;12;11.00;0.000094;.........(((((.....)))..)).....................(((.(((.....))).)))...(....).
1067;1;0;-2.921;0;0.00;9;18.00;0.000094;....................((............))...........(((.(((.....))).)))...(....).
1068;1;0;-2.921;0;0.00;14;16.00;0.000094;...........(((.....))).....((..........))..(((.(((.(((.....))).)))...)))....
1081;1;0;-2.910;0;0.00;11;12.00;0.000093;...........(((.....)))............((...........(((.(((.....))).)))..))......
1086;1;0;-2.907;0;0.00;8;18.00;0.000092;...........(((.....))).............................(((.....))).....((...))..
1092;1;0;-2.908;0;0.00;12;13.00;0.000092;...........(((.....))).((..(....)..))..........(((.(((.....))).)))..........
