StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
79;1;0;-6.605;1;0.00;11;6.00;0.000978;..........(((.(((.....))).))).........................(((.....)))..((...))..
162;1;0;-6.308;0;0.00;12;8.00;0.000593;..........(((.(((.....))).)))...........(...).........(((.....)))..((...))..
219;1;1;-6.137;0;0.00;9;10.00;0.000444;..........(((.(((.....))).))).........................(((.....)))...........
295;1;0;-5.956;0;0.00;10;8.00;0.000327;..........(((.(((.....))).))).........................(((.....)))...(...)...
368;1;0;-5.841;0;0.00;10;12.00;0.000269;..........(((.(((.....))).)))...........(...).........(((.....)))...........
421;1;0;-5.756;0;0.00;11;14.00;0.000234;..........(((.(((.....))).))).....................((..(((.....))))).........
491;1;0;-5.660;0;0.00;11;10.00;0.000199;..........(((.(((.....))).)))...........(...).........(((.....)))...(...)...
495;1;0;-5.651;0;0.00;11;14.00;0.000196;..........(((.(((.....))).)))....................((...(((.....))))).........
656;1;0;-5.455;0;0.00;10;12.00;0.000141;..........(((.(((.....))).)))......................(..(((.....))).).........
720;1;0;-5.403;0;0.00;10;11.00;0.000129;..........(((.(((.....))).))).........(.....).........(((.....)))...........
799;1;0;-5.336;0;0.00;12;15.00;0.000115;..........(((.(((.....))).)))(((......))).............(((.....)))...........
966;1;0;-5.223;0;0.00;11;9.00;0.000095;..........(((.(((.....))).))).........(.....).........(((.....)))...(...)...
1012;1;0;-5.199;0;0.00;11;13.00;0.000091;..........(((.(((.....))).))).........((...)).........(((.....)))...........
1060;1;0;-5.159;0;0.00;11;14.00;0.000085;..........(((.(((.....))).)))...........(...)......(..(((.....))).).........
1102;1;0;-5.133;0;0.00;12;8.00;0.000082;..........(((.(((.....))).)))...........(.....).......(((.....)))..((...))..
1164;1;0;-5.107;0;0.00;10;11.00;0.000078;..........(((.(((.....))).)))..............(....).....(((.....)))...........
1219;1;0;-5.065;0;0.00;11;13.00;0.000073;..........(((.(((.....)))..)))........................(((.....)))..((...))..
1275;1;0;-5.034;0;0.00;11;13.00;0.000069;..........(((.(((.....))).)))..((....))...............(((.....)))...........
1308;1;0;-5.018;0;0.00;12;11.00;0.000067;..........(((.(((.....))).))).........((...)).........(((.....)))...(...)...
1310;1;0;-5.019;0;0.00;13;10.00;0.000067;..((...)).(((.(((.....))).))).........................(((.....)))..((...))..
1341;1;0;-5.003;0;0.00;10;8.00;0.000066;..........(((.(((.....))).))).........................((.......))..((...))..
1376;1;0;-4.987;0;0.00;11;13.00;0.000064;..........(((.(((.....))).)))................((.......(((.....))))).........
1420;1;0;-4.969;0;0.00;10;11.00;0.000062;..........(((.(((.....))).)))............(.....)......(((.....)))...........
1517;1;0;-4.926;0;0.00;11;9.00;0.000058;..........(((.(((.....))).)))..............(....).....(((.....)))...(...)...
1566;1;0;-4.913;0;0.00;12;8.00;0.000056;..(.....).(((.(((.....))).))).........................(((.....)))..((...))..
1572;1;0;-4.909;0;0.00;12;8.00;0.000056;..........(((.(((.....))).)))...........(..........)..(((.....)))..((...))..
1576;1;0;-4.903;0;0.00;11;13.00;0.000055;..........(((.(((.....))).)))...............((........(((.....))))).........
1617;1;0;-4.890;0;0.00;12;15.00;0.000054;..........(((.(((.....))).))).(((....)))..............(((.....)))...........
