StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
23;1;0;-6.004;1;0.00;9;8.00;0.002908;.........(((......)))................((..((((..............)))).))..........
25;1;1;-5.896;0;0.00;7;12.00;0.002423;.........(((......)))....................((((..............)))).............
102;1;0;-5.202;0;0.00;8;14.00;0.000751;........((((......))))...................((((..............)))).............
226;1;0;-4.819;0;0.00;8;14.00;0.000394;.........(((......)))....................((((.(.........)..)))).............
251;1;0;-4.780;0;0.00;9;16.00;0.000369;.........(((......)))....................((((.((.......))..)))).............
273;1;0;-4.724;0;0.00;8;14.00;0.000335;.........(((......)))....................((((..............))))......(....).
285;1;0;-4.686;0;0.00;6;14.00;0.000314;.........(((......)))....................(((................))).............
317;1;0;-4.633;0;0.00;9;14.00;0.000288;.........(((......)))....................((((..............))))....((...))..
385;1;0;-4.528;0;0.00;8;13.00;0.000241;.........(((......)))....................((((..............))))....(.....)..
400;1;0;-4.494;0;0.00;9;16.00;0.000227;.........(((......)))....................((((...(.(...).)..)))).............
410;1;0;-4.478;0;0.00;10;18.00;0.000221;..((....((((......)))))).................((((..............)))).............
431;1;0;-4.465;0;0.00;10;18.00;0.000217;..(((....(((......)))))).................((((..............)))).............
446;1;0;-4.447;0;0.00;8;12.00;0.000210;.........(((......)))....................((((..............)))).(...).......
449;1;0;-4.444;0;0.00;8;13.00;0.000209;.........(((......)))..................(.((((..............)))).)...........
502;1;0;-4.392;0;0.00;10;18.00;0.000192;.........(((......)))....................((((...(((....))).)))).............
544;1;0;-4.352;0;0.00;8;12.00;0.000179;.........(((......))).................(..((((..............))))..)..........
551;1;0;-4.351;0;0.00;8;13.00;0.000179;.........(((......)))....................((((..............))))..(........).
615;1;0;-4.293;0;0.00;8;13.00;0.000162;.........(((......)))..................(.((((..............))))..)..........
706;1;0;-4.196;0;0.00;8;13.00;0.000137;.........(((......)))............(.....).((((..............)))).............
742;1;0;-4.168;0;0.00;8;10.00;0.000131;.........(((......))).................(..((((..............)))).)...........
818;1;0;-4.125;0;0.00;9;16.00;0.000122;........((((......))))...................((((.(.........)..)))).............
867;1;0;-4.086;0;0.00;8;12.00;0.000114;.........(((......)))............(....)..((((..............)))).............
882;1;0;-4.086;0;0.00;10;18.00;0.000114;........((((......))))...................((((.((.......))..)))).............
908;1;0;-4.069;0;0.00;8;14.00;0.000111;.........(((......)))....................((((...(.......)..)))).............
960;1;0;-4.030;0;0.00;9;16.00;0.000104;........((((......))))...................((((..............))))......(....).
972;1;0;-4.022;0;0.00;9;16.00;0.000103;.........(((......)))....................((((....((....))..)))).............
