ClusterID;StructNum;ClosestID;ClosestEne;ClosestAptaMat;ClosestBp;ClosestMfeDist;ClosestProb;ClosestDistFromCenter;LowestID;LowestEne;LowestAptaMat;LowestBp;LowestMfeDist;LowestProb;CenterStruct;CommonSubstruct
1;611;6;-8,054;0,00;12;37;0,013027;0,353553;6;-8,054;0,00;12;37;0,013027;.......|||.|..|||||..........|..........||......|||||..|.|||.......;.......(((.(..(((((..........(...........)......)))))..).))).......
2;196;124;-6,520;0,00;10;6;0,000979;0,000000;4;-8,287;0,00;11;4;0,019293;...........||||.|||....|||||||......................|||........|||.;...........((((.(((....)))))))......................(((........))).
3;587;8;-7,952;0,00;10;6;0,010971;0,000000;8;-7,952;0,00;10;6;0,010971;...........||||...........||||..........||.....||...||||......||||.;...........((((...........))))..........((.....))...((((......)))).
4;631;14;-7,772;0,00;15;4;0,008093;0,258199;2;-8,610;0,00;14;2;0,033286;........|..||||.|||....|||||||..........|||...|||...|||.......||||.;...........((((.(((....)).))))..........(((...)))...(((.......)))).
5;467;198;-6,230;0,00;11;8;0,000600;0,213201;3;-8,589;0,00;13;8;0,032142;...........||||..||....||.||||......|...............||||......||||.;............(((..((....)).))).......................((((......)))).
6;389;709;-5,356;0,00;10;18;0,000137;0,223607;152;-6,382;0,00;9;17;0,000775;..............|||....|||............|...||.....||...||||......||||.;..............(((....)))................((.....))...((((......)))).
7;576;773;-5,301;0,00;11;16;0,000125;0,213201;61;-6,897;0,00;12;13;0,001848;...........||||||....|||...|||..........|...........||||......||||.;...........((((((....)))....))..........)...........((((......)))).
8;441;410;-5,737;0,00;15;11;0,000261;0,258199;42;-7,151;0,00;13;8;0,002838;...........||||.|||....|||||||....|........|||....||||||......||||.;...........((((.(((....))))))).............((.....))((((......)))).
9;216;249;-6,070;0,00;12;9;0,000458;0,000000;103;-6,632;0,00;14;5;0,001182;...........||||.|||....|||||||......................|||.||...|||||.;...........((((.(((....)))))))......................(((.((...))))).
10;538;12;-7,820;0,00;14;2;0,008781;0,000000;1;-8,849;0,00;13;0;0,049811;.........|.||||.|||....|||||||..|.......||.....||...||||......||||.;.........(.((((.(((....)))))))..).......((.....))...((((......)))).
11;498;29;-7,377;0,00;13;8;0,004159;0,000000;10;-7,939;0,00;15;4;0,010738;..||...||..||||.|||....|||||||......................||||......||||.;..((...))..((((.(((....)))))))......................((((......)))).
12;460;78;-6,802;0,00;12;26;0,001576;0,204124;27;-7,387;0,00;11;26;0,004230;.............||||....|||.....||||.......||||........||||......||||.;..............(((....))).....((((.......))))........((((......)))).
