StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
8;1;1;-7.659;1;0.00;10;11.00;0.009493;..........((.((((..............)))).))....(....).....(((.....)))............
28;1;0;-7.052;0;0.00;11;13.00;0.003408;..........((.(((((............))))).))....(....).....(((.....)))............
29;1;0;-7.039;0;0.00;9;13.00;0.003333;..........((.((((..............)))).))...............(((.....)))............
30;1;0;-7.031;0;0.00;11;12.00;0.003286;..........((.((((..............)))).))....(....).....(((.....))).(....).....
86;1;0;-6.432;0;0.00;10;15.00;0.001197;..........((.(((((............))))).))...............(((.....)))............
89;1;0;-6.424;0;0.00;12;14.00;0.001180;..........((.(((((............))))).))....(....).....(((.....))).(....).....
91;1;0;-6.411;0;0.00;10;14.00;0.001154;..........((.((((..............)))).))...............(((.....))).(....).....
115;1;0;-6.239;0;0.00;11;13.00;0.000863;..........((.((((..(.........).)))).))....(....).....(((.....)))............
118;1;0;-6.218;0;0.00;9;13.00;0.000833;..........((.(((................))).))....(....).....(((.....)))............
143;1;0;-6.074;0;0.00;12;15.00;0.000653;..((...)).((.((((..............)))).))....(....).....(((.....)))............
178;1;0;-5.966;0;0.00;10;16.00;0.000545;..........((.((((..............))))..))...(....).....(((.....)))............
179;1;0;-5.968;0;0.00;11;13.00;0.000547;..(.....).((.((((..............)))).))....(....).....(((.....)))............
230;1;0;-5.836;0;0.00;12;15.00;0.000438;..........((.(((((.(.......)..))))).))....(....).....(((.....)))............
244;1;0;-5.814;0;0.00;11;13.00;0.000421;.(....)...((.((((..............)))).))....(....).....(((.....)))............
252;1;0;-5.804;0;0.00;11;16.00;0.000414;..........((.(((((............))))).))...............(((.....))).(....).....
272;1;0;-5.750;0;0.00;11;13.00;0.000378;...(...)..((.((((..............)))).))....(....).....(((.....)))............
273;1;0;-5.745;0;0.00;9;10.00;0.000375;..........((.((((..............)))).))....(....).............(.(....).).....
290;1;0;-5.713;0;0.00;11;12.00;0.000355;..........((.((((..............)))).))....(....).....(((.....)))..(...).....
330;1;0;-5.621;0;0.00;8;7.00;0.000304;..........((.((((..............)))).))....(....).......(.....)..............
334;1;0;-5.619;0;0.00;10;15.00;0.000303;..........((.((((..(.........).)))).))...............(((.....)))............
339;1;0;-5.610;0;0.00;12;14.00;0.000299;..........((.((((..(.........).)))).))....(....).....(((.....))).(....).....
349;1;0;-5.598;0;0.00;8;15.00;0.000293;..........((.(((................))).))...............(((.....)))............
351;1;0;-5.600;0;0.00;10;15.00;0.000293;..........((.((((..............)))).))..(.....)......(((.....)))............
356;1;0;-5.589;0;0.00;10;14.00;0.000288;..........((.(((................))).))....(....).....(((.....))).(....).....
375;1;0;-5.550;0;0.00;11;17.00;0.000270;..........((.((((..............)))).)).((....))......(((.....)))............
396;1;0;-5.513;0;0.00;12;15.00;0.000254;..........((.(((((.(......)...))))).))....(....).....(((.....)))............
421;1;0;-5.467;0;0.00;13;17.00;0.000235;..((...)).((.(((((............))))).))....(....).....(((.....)))............
423;1;0;-5.457;0;0.00;11;13.00;0.000231;........(.((.((((..............)))).)).)..(....).....(((.....)))............
437;1;0;-5.445;0;0.00;13;16.00;0.000226;..((...)).((.((((..............)))).))....(....).....(((.....))).(....).....
451;1;0;-5.429;0;0.00;9;13.00;0.000220;..........((.((((..............)))).))...(((........))).....................
465;1;0;-5.407;0;0.00;11;12.00;0.000212;..........((.((((..............)))).))....(....).....(((.....))).(...)......
466;1;0;-5.408;0;0.00;8;7.00;0.000212;..........((.((((..............)))).))....(....)........(....)..............
