,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
74,...........((((..((....)).))))...((.....))..........((((......)))).,12,-6.835,8,0.001664
75,...........((((.(((....)))))))......(...........)...((((......)))).,12,-6.825,5,0.001637
76,...........((((.(((....)))))))......((....))........(((........))).,12,-6.823,10,0.001631
77,..((...))..((((...........))))..........(((...)))...((((......)))).,13,-6.804,12,0.001580
78,.............((((....))))....((((.......))))........((((......)))).,12,-6.802,26,0.001576
79,..(.....)..((((..((....)).))))......................((((......)))).,11,-6.785,8,0.001530
80,..((...))..((((...........))))......((....))........((((......)))).,12,-6.783,18,0.001526
81,.......(((.(..(((((.....((.(((.........)))..))..)))))..).))).......,14,-6.779,39,0.001515
82,..((....((.((((.(((....)))))))..))))....((.....))...((((......)))).,17,-6.779,8,0.001514
83,..(((......((((.(((....)))))))...)))....((.....))...((((......)))).,16,-6.765,6,0.001480
84,..(((....(.((((.(((....)))))))..))))....((.....))...((((......)))).,17,-6.765,8,0.001480
85,..(((...(..((((.(((....))))))).).)))....((.....))...((((......)))).,17,-6.761,8,0.001469
86,...........((((.(((....))))))).............(((...)))((((......)))).,14,-6.757,10,0.001460
87,...........((((..((....)).))))..(...)...((.....))...((((......)))).,13,-6.735,4,0.001405
88,...........((((.(((....))))))).....((...........))..((((......)))).,13,-6.717,7,0.001364
89,..((...))..((((..((....)).))))......................((((......)))).,12,-6.714,10,0.001357
90,.........(.((((...........))))..).......(((...)))...((((......)))).,12,-6.685,10,0.001292
91,...(...)...((((.(((....)))))))..........((.....))...((((......)))).,14,-6.668,2,0.001256
92,.........(.((((...........))))..)...((....))........((((......)))).,11,-6.664,16,0.001248
93,.....(((((.(..(((((........(((.........)))......)))))..).)))....)).,14,-6.663,39,0.001244
94,..(.....)..((((.(((....)))))))...((.....))..........((((......)))).,14,-6.661,8,0.001241
95,...........((((((....))))...))..........(((...)))...((((......)))).,13,-6.658,15,0.001235
96,.......(((.(..(((((..........(((.........)))....)))))..).))).......,12,-6.652,40,0.001222
97,...........((((((....)))...)))..........(((...)))...((((......)))).,13,-6.644,13,0.001207
98,.....(..((.((((.(((....)))))))..))..)...............((((......)))).,14,-6.644,10,0.001206
99,...........((((((....))))...))......((....))........((((......)))).,12,-6.637,21,0.001192
100,...........((((.(((....)))))))..........((.....))...(((.((...))))).,14,-6.632,5,0.001182
101,...........((((.(((....)))))))..........((.....))...((((.(...))))).,14,-6.632,2,0.001182
102,...........(((..(((....))).)))......................((((......)))).,10,-6.632,6,0.001182
103,...........((((.(((....)))))))..........(.......)...((((......)))).,12,-6.627,2,0.001171
104,...........((((((....)))...)))......((....))........((((......)))).,12,-6.624,19,0.001166
105,..............(((....)))....((.........))...........((((......)))).,9,-6.614,22,0.001146
106,...........((((..((....)).))))....(.....)...........((((......)))).,11,-6.603,7,0.001125
107,...........((((...........))))...((.....))..........((((......)))).,10,-6.602,12,0.001124
108,......(.((.((((.(((....)))))))..))..)...............((((......)))).,14,-6.602,10,0.001123
109,.........(.((((..((....)).))))..)...................((((......)))).,11,-6.594,8,0.001109
110,...........((((.((......))))))......................((((......)))).,10,-6.594,6,0.001108
111,..((...))..((((.(((....)))))))...((.....))..........((((......)))).,15,-6.589,10,0.001100
112,....((..((.((((.(((....)))))))..))..))..((.....))...((((......)))).,17,-6.58,8,0.001082
113,...((..(((.(..(((((........(((.........)))......)))))..).))).))....,14,-6.573,40,0.001070
114,........((.((((.(((....)))))))..))..................((((......)))).,13,-6.564,8,0.001054
115,..(.....)..((((.(((....)))))))..(...)...((.....))...((((......)))).,15,-6.561,4,0.001048
116,..(.....)..((((...........))))......................((((......)))).,9,-6.552,12,0.001033
117,..(.....).....(((....))).....((((.......))))........((((......)))).,12,-6.55,28,0.001028
118,.....(..((.((((..((....)).))))..))..)...((.....))...((((......)))).,15,-6.542,8,0.001016
119,..((....((.((((.(((....)))))))..))))....(((...)))...((((......)))).,18,-6.54,10,0.001012
120,.......(((.(..(((((.....(((.............))).....)))))..).))).......,12,-6.539,37,0.001010
121,..(((......((((.(((....)))))))...)))....(((...)))...((((......)))).,17,-6.526,8,0.000989
122,..(((....(.((((.(((....)))))))..))))....(((...)))...((((......)))).,18,-6.526,10,0.000989
123,..(((...(..((((.(((....))))))).).)))....(((...)))...((((......)))).,18,-6.522,10,0.000982
124,...........((((.(((....)))))))......................(((........))).,10,-6.52,6,0.000979
125,...........((((...........))))..(...)...((.....))...((((......)))).,11,-6.502,8,0.000949
126,......(.((.((((..((....)).))))..))..)...((.....))...((((......)))).,15,-6.5,8,0.000946
127,...........((((..((....)).))))..(...)...(((...)))...((((......)))).,14,-6.496,6,0.000939
128,...........((((..(......).))))..........((.....))...((((......)))).,11,-6.492,4,0.000933
129,.......(((.((.(((((..((....(((.........))).))...))))).)).))).......,15,-6.49,41,0.000930
130,..((...))..((((.(((....)))))))..(...)...((.....))...((((......)))).,16,-6.489,6,0.000929
131,...........((((..((....)).)))).......((.....))......((((......)))).,12,-6.487,10,0.000926
132,.......(((.((..((((........(((.........)))......))))..)).))).......,12,-6.486,37,0.000924
133,..((...))..((((...........))))......................((((......)))).,10,-6.481,14,0.000916
134,..((...)).....(((....))).....((((.......))))........((((......)))).,13,-6.478,30,0.000912
135,......((((.((((.(((....)))))))....(((..((..((.....))..)).)))..)))).,18,-6.474,27,0.000906
136,.......(((.(......).)))......((((.......))))........((((......)))).,12,-6.47,29,0.000900
137,........((.((((..((....)).))))..))......((.....))...((((......)))).,14,-6.462,6,0.000888
138,.......(((.((....)).)))......((((.......))))........((((......)))).,13,-6.462,29,0.000887
139,...........((((.(((....)))))))..(.......)...........((((......)))).,12,-6.455,5,0.000876
140,.......(((.(..(((((...(.....)((((.......))))....)))))..).))).......,14,-6.447,42,0.000865
141,..............((......)).....((((.......))))........((((......)))).,10,-6.443,25,0.000859
142,.........(...((((....)))).)..((((.......))))........((((......)))).,13,-6.435,27,0.000847
143,...(...)...((((.(((....)))))))..........(((...)))...((((......)))).,15,-6.429,4,0.000839
