,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
0,.....((((.(((((...))))).))))...(((..(.((.((............)).)).).))).((...))..,19,-11.805,0,0.011891
1,.....((((.(((((...))))).))))..(.(.((.((...(((.............))).)).)).).).....,18,-11.761,30,0.011043
2,.....((((.(((((...))))).))))...(((..(.((.((............)).)).).)))..........,17,-11.718,4,0.010262
3,.....((((.(((((...))))).))))...(((..(.((.(((..........))).)).).))).((...))..,20,-11.66,2,0.009309
4,.....(((..(((((...)))))..)))...(((..(.((.((............)).)).).))).((...))..,18,-11.61,2,0.008563
5,.....((((.(((((...))))).)))).((.((.................)).))...........((...))..,15,-11.585,21,0.008200
6,.....((((.(((((...))))).))))...(((..(.((.(((..........))).)).).)))..........,18,-11.572,6,0.008033
7,.....(((..(((((...)))))..)))..(.(.((.((...(((.............))).)).)).).).....,17,-11.566,32,0.007952
8,.....((((.(((((...))))).))))...(((..(.((.((............)).)).).)))..(...)...,18,-11.537,2,0.007565
9,.....(((..(((((...)))))..)))...(((..(.((.((............)).)).).)))..........,16,-11.523,6,0.007389
10,.....(((..(((((...)))))..)))...(((..(.((.(((..........))).)).).))).((...))..,19,-11.465,4,0.006703
11,.....((((.(((((...))))).))))...(((..(.((.(((..........))).)).).)))..(...)...,19,-11.392,4,0.005922
12,.....(((..(((((...)))))..))).((.((.................)).))...........((...))..,14,-11.39,23,0.005905
13,.....(((..(((((...)))))..)))...(((..(.((.(((..........))).)).).)))..........,17,-11.378,8,0.005785
14,.....(((..(((((...)))))..)))...(((..(.((.((............)).)).).)))..(...)...,17,-11.342,4,0.005447
15,.....((((.(((((...))))).)))).((.....)).......((((..((.(......).)))))).......,18,-11.205,31,0.004322
16,.....(((..(((((...)))))..)))...(((..(.((.(((..........))).)).).)))..(...)...,18,-11.197,6,0.004265
17,.....((((.(((((...))))).)))).((.((.................)).))....................,13,-11.117,25,0.003723
18,.....((((.(((((...))))).)))).((....))........((((..((.(......).)))))).......,18,-11.08,31,0.003499
19,.....((((.(((((...))))).))))(((.....)))......((((..((.(......).)))))).......,19,-11.057,32,0.003364
20,.....((((.(((((...))))).)))).................((((..((.(......).)))))).......,16,-11.05,28,0.003325
21,.....(((..(((((...)))))..))).((.....)).......((((..((.(......).)))))).......,17,-11.011,33,0.003112
22,.....((((.(((((...))))).))))..(.(.((.((...((...............)).)).)).).).....,17,-10.993,29,0.003022
23,.....((((.(((((...))))).))))..(.(.((.((.......................)).)).).).....,15,-10.959,27,0.002851
24,.....((((.(((((...))))).)))).((.((.................)).))............(...)...,14,-10.936,23,0.002744
25,.....((((.(((((...))))).)))).((.(((...............))).))...........((...))..,16,-10.923,23,0.002684
26,.....(((..(((((...)))))..))).((.((.................)).))....................,12,-10.922,27,0.002681
27,.....((((.((((.....)))).))))...(((..(.((.((............)).)).).))).((...))..,18,-10.915,2,0.002646
28,.....((((.(((((...))))).)))).((.....)).......((((................)))).......,15,-10.903,28,0.002593
29,.....(((..(((((...)))))..))).((....))........((((..((.(......).)))))).......,17,-10.886,33,0.002520
30,.....((((.((((.....)))).))))..(.(.((.((...(((.............))).)).)).).).....,17,-10.871,32,0.002458
31,.....(((..(((((...)))))..)))(((.....)))......((((..((.(......).)))))).......,18,-10.862,34,0.002422
32,.....((((.(((((...))))).))))...(((..(.((.((((........)))).)).).))).((...))..,21,-10.86,4,0.002415
33,.....(((..(((((...)))))..))).................((((..((.(......).)))))).......,15,-10.855,30,0.002394
34,.....((((.((((.....)))).))))...(((..(.((.((............)).)).).)))..........,16,-10.827,6,0.002284
35,.....((((.(((((...))))).)))).((.((.................)).)).....(.(....).).....,15,-10.809,26,0.002215
36,.....(((..(((((...)))))..)))..(.(.((.((...((...............)).)).)).).).....,16,-10.799,31,0.002176
37,.....((((.(((((...))))).)))).((....))........((((................)))).......,15,-10.777,28,0.002099
38,.....((((.(((((...))))).))))...(((..(.((.((...(.....)..)).)).).))).((...))..,20,-10.774,2,0.002087
39,.....((((.(((((...))))).))))...(((..(.((.((((........)))).)).).)))..........,19,-10.773,8,0.002084
40,.....((((.((((.....)))).))))...(((..(.((.(((..........))).)).).))).((...))..,19,-10.77,4,0.002072
41,.....(((..(((((...)))))..)))..(.(.((.((.......................)).)).).).....,14,-10.764,29,0.002053
42,.....((((.(((((...))))).))))(((.....)))......((((................)))).......,16,-10.754,29,0.002018
43,.....((((.(((((...))))).)))).................((((................)))).......,13,-10.747,25,0.001995
44,.....(((..(((((...)))))..))).((.((.................)).))............(...)...,13,-10.742,25,0.001976
45,.....(((..(((((...)))))..))).((.(((...............))).))...........((...))..,15,-10.728,25,0.001933
46,.....(((..((((.....))))..)))...(((..(.((.((............)).)).).))).((...))..,17,-10.72,4,0.001906
47,.....(((..(((((...)))))..))).((.....)).......((((................)))).......,14,-10.708,30,0.001867
48,.....((((.(((((...))))).))))...(((..(.((..................)).).))).((...))..,17,-10.697,4,0.001833
49,.....((((.((((.....)))).)))).((.((.................)).))...........((...))..,14,-10.694,23,0.001825
50,.....((((.(((((...))))).))))...(((..(.((.((...(.....)..)).)).).)))..........,18,-10.687,6,0.001801
51,.....((((.((((.....)))).))))...(((..(.((.(((..........))).)).).)))..........,17,-10.682,8,0.001788
52,.....(((..((((.....))))..)))..(.(.((.((...(((.............))).)).)).).).....,16,-10.676,34,0.001770
53,.....((((.(((((...))))).)))).(((((..(.((.((............)).)).).)))...)).....,19,-10.667,8,0.001741
54,.....(((..(((((...)))))..)))...(((..(.((.((((........)))).)).).))).((...))..,20,-10.666,6,0.001739
55,.....((((.((((.....)))).))))...(((..(.((.((............)).)).).)))..(...)...,17,-10.647,4,0.001684
56,.....(((..((((.....))))..)))...(((..(.((.((............)).)).).)))..........,15,-10.633,8,0.001644
57,.....((((.(((((...))))).)))).((.((.................)).)).........(....).....,14,-10.622,26,0.001614
58,.....((((.(((((...))))).))))......((.((...(((.............))).)).)).........,16,-10.621,28,0.001612
59,.....(((..(((((...)))))..))).((.((.................)).)).....(.(....).).....,14,-10.614,28,0.001595
60,.....((((.(((((...))))).))))...(((..(.((..................)).).)))..........,15,-10.61,8,0.001582
61,.....((((.(((((...))))).)))).((.....)).......((((..((..........)))))).......,17,-10.606,30,0.001571
62,.....((((.(((((...))))).))))...(((..(.((.((((........)))).)).).)))..(...)...,20,-10.592,6,0.001536
63,.....((((.(((((...))))).))))...(((..(.((.((..((.....)).)).)).).))).((...))..,21,-10.592,4,0.001536
64,.....(((..(((((...)))))..))).((....))........((((................)))).......,14,-10.583,30,0.001512
65,.....(((..(((((...)))))..)))...(((..(.((.((...(.....)..)).)).).))).((...))..,19,-10.579,4,0.001503
66,.....(((..(((((...)))))..)))...(((..(.((.((((........)))).)).).)))..........,18,-10.578,10,0.001501
67,.....(((..((((.....))))..)))...(((..(.((.(((..........))).)).).))).((...))..,18,-10.575,6,0.001492
68,.....(((..(((((...)))))..)))(((.....)))......((((................)))).......,15,-10.559,31,0.001453
69,.....(((..(((((...)))))..))).................((((................)))).......,12,-10.553,27,0.001436
70,.....((((.(((((...))))).)))).(((((..(.((.(((..........))).)).).)))...)).....,20,-10.521,10,0.001363
71,.....((((.(((((...))))).))))...(((..(.((.(((((......))))).)).).))).((...))..,22,-10.511,6,0.001339
72,.....((((.(((((...))))).))))...(((..(.((.((...(.....)..)).)).).)))..(...)...,19,-10.506,4,0.001328
73,.....((((.(((((...))))).))))...(((..(.((.((..((.....)).)).)).).)))..........,19,-10.505,8,0.001325
74,.....(((..(((((...)))))..)))...(((..(.((..................)).).))).((...))..,16,-10.503,6,0.001320
75,.....((((.((((.....)))).))))...(((..(.((.(((..........))).)).).)))..(...)...,18,-10.502,6,0.001318
76,.....(((..((((.....))))..))).((.((.................)).))...........((...))..,13,-10.5,25,0.001314
77,.....(((..(((((...)))))..)))...(((..(.((.((...(.....)..)).)).).)))..........,17,-10.492,8,0.001297
78,.....(((..((((.....))))..)))...(((..(.((.(((..........))).)).).)))..........,16,-10.488,10,0.001287
79,.....((((.(((((...))))).)))).((....))........((((..((..........)))))).......,17,-10.48,30,0.001272
80,.....(((..(((((...)))))..))).(((((..(.((.((............)).)).).)))...)).....,18,-10.472,10,0.001254
81,.....((((.(((((...))))).)))).(((((..(.((.((............)).)).).)))..))......,19,-10.467,7,0.001243
82,.....((((.(((((...))))).))))...(((..(.((.(..............).)).).))).((...))..,18,-10.46,2,0.001228
83,.....((((.(((((...))))).)))).........(....)..((((..((.(......).)))))).......,17,-10.459,29,0.001226
84,.....((((.(((((...))))).))))(((.....)))......((((..((..........)))))).......,18,-10.457,31,0.001223
85,.....((((.(((((...))))).)))).((.(((...............))).))....................,14,-10.455,27,0.001218
86,.....(((..((((.....))))..)))...(((..(.((.((............)).)).).)))..(...)...,16,-10.452,6,0.001212
87,.....((((.(((((...))))).)))).................((((..((..........)))))).......,15,-10.45,27,0.001208
88,.....((((.(((((...))))).)))).((.((.................)).)).......(.....)......,14,-10.444,26,0.001197
89,.....((((.(((((...))))).)))).((.((.................)).)).......(....).......,14,-10.433,25,0.001175
90,.....((((.(((((...))))).))))...(((..(.((..................)).).)))..(...)...,16,-10.429,6,0.001166
91,.....(((..(((((...)))))..))).((.((.................)).)).........(....).....,13,-10.427,28,0.001162
92,.....(((..(((((...)))))..)))......((.((...(((.............))).)).)).........,15,-10.426,30,0.001161
93,.....((((.(((((...))))).))))...(((..(.((.(((((......))))).)).).)))..........,20,-10.424,10,0.001155
94,.....(((..(((((...)))))..)))...(((..(.((..................)).).)))..........,14,-10.415,10,0.001139
95,.....(((..(((((...)))))..))).((.....)).......((((..((..........)))))).......,16,-10.411,32,0.001131
96,.....(((..(((((...)))))..)))...(((..(.((.((((........)))).)).).)))..(...)...,19,-10.398,8,0.001106
97,.....(((..(((((...)))))..)))...(((..(.((.((..((.....)).)).)).).))).((...))..,20,-10.398,6,0.001106
98,.....((((.(((((...))))).))))...(((..(.((.(..............).)).).)))..........,16,-10.372,6,0.001060
99,.....((((.(((((...))))).))))...(((.(..((.((............)).)).).))).((...))..,19,-10.351,3,0.001021
100,.....(((..(((((...)))))..))).(((((..(.((.(((..........))).)).).)))...)).....,19,-10.327,12,0.000981
101,.....((((.(((((...))))).))))...(((..(.((.((..((.....)).)).)).).)))..(...)...,20,-10.324,6,0.000977
102,.....((((.(((((...))))).)))).(((((..(.((.(((..........))).)).).)))..))......,20,-10.322,9,0.000973
103,.....(((..(((((...)))))..)))...(((..(.((.(((((......))))).)).).))).((...))..,21,-10.316,8,0.000964
104,.....((((.((((.....)))).)))).((.....)).......((((..((.(......).)))))).......,17,-10.315,33,0.000962
105,.....(((..(((((...)))))..)))...(((..(.((.((...(.....)..)).)).).)))..(...)...,18,-10.311,6,0.000956
106,.....(((..(((((...)))))..)))...(((..(.((.((..((.....)).)).)).).)))..........,18,-10.31,10,0.000954
107,.....((((.(((((...))))).))))..(.(.((.((.((..((.........)).))..)).)).).).....,19,-10.309,30,0.000952
108,.....(((..((((.....))))..)))...(((..(.((.(((..........))).)).).)))..(...)...,17,-10.307,8,0.000949
109,.....((((.(((((...))))).)))).((.....)).......(((...((.(......).)).))).......,17,-10.29,30,0.000922
110,.....((((.(((((...))))).)))).((.....)).......((((..((..(.....).)))))).......,18,-10.29,30,0.000921
111,.....(((..(((((...)))))..))).((....))........((((..((..........)))))).......,16,-10.286,32,0.000916
112,.....((((.(((((...))))).)))).((.....))..........((.((.(......).)))).........,16,-10.28,29,0.000907
113,.....((((.(((((...))))).)))).((.(((...............))).))............(...)...,15,-10.274,25,0.000898
114,.....(((..(((((...)))))..))).(((((..(.((.((............)).)).).)))..))......,18,-10.272,9,0.000895
115,.....((((.(((((...))))).))))..(.(.((.((...(((((.....))....))).)).)).).).....,20,-10.27,34,0.000892
116,.....(((..(((((...)))))..)))...(((..(.((.(..............).)).).))).((...))..,17,-10.265,4,0.000884
117,.....(((..(((((...)))))..))).........(....)..((((..((.(......).)))))).......,16,-10.264,31,0.000883
118,.....((((.(((((...))))).))))...(((.(..((.((............)).)).).)))..........,17,-10.263,7,0.000881
119,.....(((..(((((...)))))..)))(((.....)))......((((..((..........)))))).......,17,-10.263,33,0.000880
120,.....(((..(((((...)))))..))).((.(((...............))).))....................,13,-10.26,29,0.000877
121,.....(((..(((((...)))))..))).................((((..((..........)))))).......,14,-10.256,29,0.000870
122,.....(((..(((((...)))))..))).((.((.................)).)).......(.....)......,13,-10.25,28,0.000862
123,.....((((.(((((...))))).))))...(((..(.((.(((((......))))).)).).)))..(...)...,21,-10.243,8,0.000852
124,.....(((..(((((...)))))..))).((.((.................)).)).......(....).......,13,-10.239,27,0.000846
125,.....(((..(((((...)))))..)))...(((..(.((..................)).).)))..(...)...,15,-10.235,8,0.000840
126,.....(((..(((((...)))))..)))...(((..(.((.(((((......))))).)).).)))..........,19,-10.229,12,0.000832
127,.....((((.((((.....)))).)))).((.((.................)).))....................,12,-10.227,27,0.000828
128,.....((((.(((((...))))).))))....(.((.((...(((.............))).)).)).).......,17,-10.208,28,0.000803
129,.....((((.(((((...))))).))))...(((..(.((.(((..(.....).))).)).).))).((...))..,21,-10.207,4,0.000802
130,.....((((.(((((...))))).))))...(((.(..((.(((..........))).)).).))).((...))..,20,-10.205,5,0.000800
131,.....((((.(((((...))))).))))...(((..(.((.(..............).)).).)))..(...)...,17,-10.192,4,0.000781
132,.....((((.((((.....)))).)))).((....))........((((..((.(......).)))))).......,17,-10.19,33,0.000779
133,.....((((.(((((...))))).)))).((.....))..............((.(.......).)).........,14,-10.183,26,0.000770
134,.....(((..(((((...)))))..)))...(((..(.((.(..............).)).).)))..........,15,-10.178,8,0.000763
135,.....((((.((((.....)))).))))(((.....)))......((((..((.(......).)))))).......,18,-10.166,34,0.000749
136,.....((((.(((((...))))).)))).((....))........(((...((.(......).)).))).......,17,-10.165,30,0.000746
137,.....((((.(((((...))))).)))).((....))........((((..((..(.....).)))))).......,18,-10.164,30,0.000746
138,.....((((.(((((...))))).)))).((.((.................)).)).......(......).....,14,-10.163,26,0.000745
139,.....((((.((((.....)))).)))).................((((..((.(......).)))))).......,15,-10.16,30,0.000740
140,.....((((.(((((...))))).)))).........(....)..((((................)))).......,14,-10.156,26,0.000736
141,.....(((..(((((...)))))..)))...(((.(..((.((............)).)).).))).((...))..,18,-10.156,5,0.000735
142,.....((((.(((((...))))).)))).((....))...........((.((.(......).)))).........,16,-10.155,29,0.000735
143,.....((((.(((((...))))).))))...(((..(.((..(............)..)).).))).((...))..,18,-10.148,2,0.000726
144,.....((((.(((((...))))).)))).((.(((...............))).)).....(.(....).).....,16,-10.147,28,0.000725
145,.....((((.(((((...))))).))))(((.....)))......(((...((.(......).)).))).......,18,-10.141,31,0.000717
146,.....((((.(((((...))))).))))(((.....)))......((((..((..(.....).)))))).......,19,-10.141,31,0.000717
147,.....((((.(((((...))))).))))...(((..(.(....................).).))).((...))..,16,-10.137,6,0.000712
148,.....((((.(((((...))))).)))).................(((...((.(......).)).))).......,15,-10.134,27,0.000709
149,.....((((.(((((...))))).)))).................((((..((..(.....).)))))).......,16,-10.134,27,0.000709
150,.....((((.(((((...))))).))))(((.....))).........((.((.(......).)))).........,17,-10.132,30,0.000706
151,.....(((..(((((...)))))..)))...(((..(.((.((..((.....)).)).)).).)))..(...)...,19,-10.13,8,0.000704
152,.....(((..(((((...)))))..))).(((((..(.((.(((..........))).)).).)))..))......,19,-10.127,11,0.000701
153,.....((((.(((((...))))).))))....................((.((.(......).)))).........,14,-10.125,26,0.000698
