,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
154,.....(((..((((.....))))..))).((.....)).......((((..((.(......).)))))).......,16,-10.12,35,0.000693
155,.....((((.(((((...))))).))))...(((..(.((.(((..(.....).))).)).).)))..........,19,-10.12,8,0.000692
156,.....((((.(((((...))))).))))...(((.(..((.(((..........))).)).).)))..........,18,-10.118,9,0.000690
157,.....((((.(((((...))))).)))).((.((.................)).))....(.....).........,14,-10.117,27,0.000689
158,.....(((..(((((...)))))..)))..(.(.((.((.((..((.........)).))..)).)).).).....,18,-10.114,32,0.000685
159,.....((((.(((((...))))).))))....((..(.((.((............)).)).).))..((...))..,18,-10.109,2,0.000679
160,.....((((.((((.....)))).))))..(.(.((.((...((...............)).)).)).).).....,16,-10.103,31,0.000672
161,.....((((.(((((...))))).)))).((...)).........((((..((.(......).)))))).......,18,-10.103,32,0.000672
162,.....(((..(((((...)))))..))).((.....)).......(((...((.(......).)).))).......,16,-10.095,32,0.000664
163,.....(((..(((((...)))))..))).((.....)).......((((..((..(.....).)))))).......,17,-10.095,32,0.000663
164,.....(((..(((((...)))))..))).((.....))..........((.((.(......).)))).........,15,-10.086,31,0.000653
165,.....((((.(((((...))))).))))...(((.(..((.((............)).)).).)))..(...)...,18,-10.083,5,0.000650
166,.....(((..(((((...)))))..))).((.(((...............))).))............(...)...,14,-10.08,27,0.000647
167,.....(((..(((((...)))))..)))..(.(.((.((...(((((.....))....))).)).)).).).....,19,-10.075,36,0.000642
168,.....(((..(((((...)))))..)))...(((.(..((.((............)).)).).)))..........,16,-10.069,9,0.000635
169,.....((((.((((.....)))).))))..(.(.((.((.......................)).)).).).....,14,-10.068,29,0.000635
170,.....((((..((((...))))..))))...(((..(.((.((............)).)).).))).((...))..,18,-10.062,2,0.000627
171,.....((((.(((((...))))).))))...(((..(.((..(............)..)).).)))..........,16,-10.061,6,0.000626
172,.....((((.(((((...))))).)))).((....))...............((.(.......).)).........,14,-10.058,26,0.000624
173,.....((((.(((((...))))).))))..(.(.((.((...(((.(.........).))).)).)).).).....,19,-10.055,31,0.000620
174,.....((((.(((((...))))).))))..(.(.((.((.((................))..)).)).).).....,17,-10.053,28,0.000618
175,.....((((.(((((...))))).))))...(((..(.(....................).).)))..........,14,-10.05,10,0.000615
176,.....(((..(((((...)))))..)))...(((..(.((.(((((......))))).)).).)))..(...)...,20,-10.048,10,0.000613
177,.....((((.((((.....)))).)))).((.((.................)).))............(...)...,13,-10.046,25,0.000611
178,.....((((.(((((...))))).))))(((.....))).............((.(.......).)).........,15,-10.035,27,0.000600
179,.....((((.((((.....)))).)))).((.(((...............))).))...........((...))..,15,-10.033,25,0.000597
180,.....(((..((((.....))))..))).((.((.................)).))....................,11,-10.032,29,0.000597
181,.....((((.(((((...))))).))))..(.(.((.(.........................).)).).).....,14,-10.03,26,0.000594
182,.....((((.(((((...))))).))))........................((.(.......).)).........,12,-10.028,23,0.000593
183,.....((((..((((...))))..))))..(.(.((.((...(((.............))).)).)).).).....,17,-10.018,32,0.000582
184,.....(((..(((((...)))))..)))....(.((.((...(((.............))).)).)).).......,16,-10.013,30,0.000578
185,.....(((..(((((...)))))..)))...(((..(.((.(((..(.....).))).)).).))).((...))..,20,-10.013,6,0.000577
186,.....((((.((((.....)))).)))).((.....)).......((((................)))).......,14,-10.012,30,0.000577
187,.....(((..(((((...)))))..)))...(((.(..((.(((..........))).)).).))).((...))..,19,-10.011,7,0.000576
188,.....((((.(((((...))))).))))..(.(.((.((.....((.........)).....)).)).).).....,17,-10.008,29,0.000573
189,.....((((.(((((...))))).))))...(((..(.((..((..........))..)).).))).((...))..,19,-10.003,4,0.000568
190,.....(((..(((((...)))))..)))...(((..(.((.(..............).)).).)))..(...)...,16,-9.997,6,0.000562
191,.....(((..((((.....))))..))).((....))........((((..((.(......).)))))).......,16,-9.995,35,0.000561
192,.....(((..(((((...)))))..))).((.....))..............((.(.......).)).........,13,-9.989,28,0.000555
193,.....((((..((((...))))..))))...(((..(.((.((............)).)).).)))..........,16,-9.974,6,0.000541
194,.....(((..((((.....))))..)))(((.....)))......((((..((.(......).)))))).......,17,-9.972,36,0.000539
195,.....((((.((((.....)))).))))...(((..(.((.((((........)))).)).).))).((...))..,20,-9.97,6,0.000537
196,.....(((..(((((...)))))..))).((....))........(((...((.(......).)).))).......,16,-9.97,32,0.000537
197,.....(((..(((((...)))))..))).((....))........((((..((..(.....).)))))).......,17,-9.97,32,0.000537
198,.....(((..(((((...)))))..))).((.((.................)).)).......(......).....,13,-9.969,28,0.000536
199,.....(((..((((.....))))..))).................((((..((.(......).)))))).......,14,-9.965,32,0.000533
200,.....((((.(((((...))))).))))....((..(.((.(((..........))).)).).))..((...))..,19,-9.964,4,0.000532
201,.....((((.(((((...))))).))))........(.....)..((((..((.(......).)))))).......,17,-9.962,28,0.000530
202,.....(((..(((((...)))))..))).........(....)..((((................)))).......,13,-9.962,28,0.000530
203,.....(((..(((((...)))))..))).((....))...........((.((.(......).)))).........,15,-9.961,31,0.000529
204,.....((((.(((((...))))).)))).((.(((...............))).)).........(....).....,15,-9.96,28,0.000528
205,.....((((.(((((...))))).))))...(((..(.(..((............))..).).))).((...))..,18,-9.956,2,0.000525
206,.....(((..(((((...)))))..)))...(((..(.((..(............)..)).).))).((...))..,17,-9.953,4,0.000523
207,.....((((.(((((...))))).)))).((.((.................)).))....(....).((...))..,16,-9.953,22,0.000522
208,.....(((..(((((...)))))..))).((.(((...............))).)).....(.(....).).....,15,-9.953,30,0.000522
209,.....(((..(((((...)))))..)))(((.....)))......(((...((.(......).)).))).......,17,-9.947,33,0.000517
210,.....(((..(((((...)))))..)))(((.....)))......((((..((..(.....).)))))).......,18,-9.946,33,0.000516
211,.....((((.(((((...))))).))))...(((..(.((.(((.(......).))).)).).))).((...))..,21,-9.946,4,0.000516
212,.....(((..(((((...)))))..)))...(((..(.(....................).).))).((...))..,15,-9.942,8,0.000513
213,.....(((..(((((...)))))..))).................(((...((.(......).)).))).......,14,-9.94,29,0.000511
214,.....(((..(((((...)))))..))).................((((..((..(.....).)))))).......,15,-9.94,29,0.000510
215,.....((((.(((((...))))).))))...(((..(.((.(((..(.....).))).)).).)))..(...)...,20,-9.939,6,0.000510
216,.....((((.(((((...))))).))))...(((.(..((.(((..........))).)).).)))..(...)...,19,-9.938,7,0.000509
217,.....(((..(((((...)))))..)))(((.....))).........((.((.(......).)))).........,16,-9.937,32,0.000509
218,.....(((..(((((...)))))..)))....................((.((.(......).)))).........,13,-9.931,28,0.000503
219,.....(((..(((((...)))))..)))...(((..(.((.(((..(.....).))).)).).)))..........,18,-9.925,10,0.000498
220,.....(((..(((((...)))))..)))...(((.(..((.(((..........))).)).).)))..........,17,-9.924,11,0.000497
221,.....(((..(((((...)))))..))).((.((.................)).))....(.....).........,13,-9.923,29,0.000496
222,.....((((.((((.....)))).)))).((.((.................)).)).....(.(....).).....,14,-9.919,28,0.000493
223,.....((((..((((...))))..))))...(((..(.((.(((..........))).)).).))).((...))..,19,-9.917,4,0.000491
224,.....((((.(((((...))))).))))...(((..(.((..((..........))..)).).)))..........,17,-9.916,8,0.000490
225,.....(((..(((((...)))))..)))....((..(.((.((............)).)).).))..((...))..,17,-9.914,4,0.000489
226,.....(((..((((.....))))..)))..(.(.((.((...((...............)).)).)).).).....,15,-9.908,33,0.000484
227,.....(((..(((((...)))))..))).((...)).........((((..((.(......).)))))).......,17,-9.908,34,0.000484
228,.....((((.(((((...))))).))))...(((..(.((.((...((...))..)).)).).))).((...))..,21,-9.901,4,0.000478
229,.....((((.(((((...))))).))))..(.(.((.((.((..(((.......))).))..)).)).).).....,20,-9.894,32,0.000473
230,.....((((.(((((...))))).)))).((.((.................)).))...((...........))..,15,-9.891,26,0.000470
231,.....(((..(((((...)))))..)))...(((.(..((.((............)).)).).)))..(...)...,17,-9.888,7,0.000468
232,.....((((.((((.....)))).)))).((....))........((((................)))).......,14,-9.887,30,0.000467
233,.....((((.((((.....)))).))))...(((..(.((.((...(.....)..)).)).).))).((...))..,19,-9.884,4,0.000464
234,.....((((.((((.....)))).))))...(((..(.((.((((........)))).)).).)))..........,18,-9.883,10,0.000464
235,.....((((.(((((...))))).))))..(.....)........((((..((.(......).)))))).......,17,-9.881,29,0.000462
236,.....((((.(((((...))))).))))...(((..(.((..(............)..)).).)))..(...)...,17,-9.88,4,0.000462
237,.....((((.(((((...))))).)))).(.(((..(.((.((............)).)).).)))..).......,18,-9.877,5,0.000460
238,.....((((.(((((...))))).))))...(((..(.((.((............)).)).).))).(.....)..,18,-9.876,2,0.000459
239,.....(((..((((.....))))..)))..(.(.((.((.......................)).)).).).....,13,-9.874,31,0.000457
240,.....((((.(((((...))))).))))..(.(.((.((...(((....((.....))))).)).)).).).....,20,-9.87,33,0.000454
241,.....((((.(((((...))))).))))...(((..(.(....................).).)))..(...)...,15,-9.869,8,0.000453
242,.....((((.(((((...))))).))))...(((..(.(..((............))..).).)))..........,16,-9.868,6,0.000453
243,.....(((..(((((...)))))..)))...(((..(.((..(............)..)).).)))..........,15,-9.866,8,0.000451
244,.....((((.(((((...))))).)))).((.((.................)).))....(....)..........,14,-9.866,26,0.000451
245,.....((((.((((.....)))).))))(((.....)))......((((................)))).......,15,-9.864,31,0.000449
246,.....(((..(((((...)))))..))).((....))...............((.(.......).)).........,13,-9.864,28,0.000449
247,.....(((..(((((...)))))..)))..(.(.((.((...(((.(.........).))).)).)).).).....,18,-9.86,33,0.000446
248,.....((((.(((((...))))).)))).........(....)..((((..((..........)))))).......,16,-9.859,28,0.000446
249,.....((((.(((((...))))).))))...(((..(.((.(((.(......).))).)).).)))..........,19,-9.859,8,0.000446
250,.....(((..(((((...)))))..)))..(.(.((.((.((................))..)).)).).).....,16,-9.858,30,0.000445
251,.....((((.((((.....)))).)))).................((((................)))).......,12,-9.857,27,0.000444
252,.....(((..(((((...)))))..)))...(((..(.(....................).).)))..........,13,-9.855,12,0.000443
253,.....((((.(((((...))))).))))......((.((...((...............)).)).)).........,15,-9.853,27,0.000441
254,.....(((..((((.....))))..))).((.((.................)).))............(...)...,12,-9.851,27,0.000440
255,.....((((..((((...))))..)))).((.((.................)).))...........((...))..,14,-9.841,23,0.000433
256,.....(((..(((((...)))))..)))(((.....))).............((.(.......).)).........,14,-9.84,29,0.000432
257,.....((((.(((((...))))).)))).((.....)).......((((((...........)).)))).......,17,-9.839,31,0.000431
258,.....(((..((((.....))))..))).((.(((...............))).))...........((...))..,14,-9.838,27,0.000430
259,.....(((..(((((...)))))..)))..(.(.((.(.........................).)).).).....,13,-9.835,28,0.000428
260,.....((((.(((((...))))).))))..(.(.((.((...(((....(((...)))))).)).)).).).....,21,-9.834,34,0.000427
261,.....(((..(((((...)))))..)))........................((.(.......).)).........,11,-9.833,25,0.000427
262,.....((((..((((...))))..))))...(((..(.((.(((..........))).)).).)))..........,17,-9.829,8,0.000424
263,.....((((.(((((...))))).))))......((.((.......................)).)).........,13,-9.819,25,0.000416
264,.....(((..((((.....))))..))).((.....)).......((((................)))).......,13,-9.818,32,0.000416
265,.....((((.(((((...))))).))))..(.((((((....)))))).)..((.(.......).)).........,19,-9.817,33,0.000415
266,.....((((.(((((...))))).))))...(((..(.((.((...((...))..)).)).).)))..........,19,-9.813,8,0.000413
267,.....(((..(((((...)))))..)))..(.(.((.((.....((.........)).....)).)).).).....,16,-9.813,31,0.000412
268,.....((((.(((((...))))).))))...(((..(.(..(((..........)))..).).))).((...))..,19,-9.811,4,0.000411
269,.....(((..(((((...)))))..)))...(((..(.((..((..........))..)).).))).((...))..,18,-9.808,6,0.000409
270,.....((((.((((.....)))).))))...(((..(.((..................)).).))).((...))..,16,-9.807,6,0.000408
271,.....((((.(((((...))))).))))..(.((.................)).)............((...))..,14,-9.802,20,0.000404
272,......(((.(((((...))))).)))..((.((.................)).))...........((...))..,14,-9.802,23,0.000404
273,.....((((.(((((...))))).)))).((...)).........((((................)))).......,15,-9.8,29,0.000403
274,.....((((.((((.....)))).))))...(((..(.((.((...(.....)..)).)).).)))..........,17,-9.796,8,0.000401
275,.....((((..((((...))))..))))...(((..(.((.((............)).)).).)))..(...)...,17,-9.794,4,0.000399
