,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
0,.....(((.(((........)))))).............(((....((((((....))))))..))).........,15,-8.392,0,0.008287
1,.....(((.((((......))))))).............(((....((((((....))))))..))).........,16,-8.343,2,0.007631
2,.....(((..((.......))..))).............(((....((((((....))))))..))).........,14,-8.311,7,0.007235
3,.....(((.(((........))))))....................((((((....)))))).....((...))..,14,-8.089,10,0.004970
4,.....(((.((((......)))))))....................((((((....)))))).....((...))..,15,-8.04,12,0.004576
5,.....(((..((.......))..)))....................((((((....)))))).....((...))..,13,-8.008,17,0.004339
6,.....(((..((........)).))).............(((....((((((....))))))..))).........,14,-7.928,2,0.003788
7,.....(((..(((......))).))).............(((....((((((....))))))..))).........,15,-7.879,4,0.003488
8,.....(((.(((........)))))).............(((....(((((......)))))..))).........,14,-7.803,2,0.003070
9,.....(((.(((((....)))))))).............(((....((((((....))))))..))).........,17,-7.794,4,0.003023
10,.....(((.((((......))))))).............(((....(((((......)))))..))).........,15,-7.754,4,0.002827
11,.....(((.(((........))))))(((....)))...(((....((((((....))))))..))).........,18,-7.731,6,0.002719
12,.....(((..((.......))..))).............(((....(((((......)))))..))).........,13,-7.723,9,0.002680
13,.....(((.(((........))))))..............((....)).....((.((....)).)).........,12,-7.714,22,0.002642
14,.....(((.((((......)))))))(((....)))...(((....((((((....))))))..))).........,19,-7.683,8,0.002504
15,.....(((.((((......)))))))..............((....)).....((.((....)).)).........,13,-7.665,24,0.002433
16,.....(((..((.......))..)))(((....)))...(((....((((((....))))))..))).........,17,-7.651,13,0.002374
17,.....(((..((.......))..)))..............((....)).....((.((....)).)).........,11,-7.634,29,0.002306
18,.....(((..((........)).)))....................((((((....)))))).....((...))..,13,-7.625,12,0.002272
19,.....(((.(((........))))))....................((((((....))))))..............,12,-7.621,6,0.002256
20,.....(((..(((......))).)))....................((((((....)))))).....((...))..,14,-7.576,14,0.002092
21,.....(((.((((......)))))))....................((((((....))))))..............,13,-7.572,8,0.002077
22,.....(((..((.......))..)))....................((((((....))))))..............,11,-7.54,13,0.001970
23,.....(((.(((........)))))).............(((....((((((....))))))..))).(...)...,16,-7.51,2,0.001872
24,.....(((.(((........))))))....................(((((......))))).....((...))..,13,-7.5,12,0.001841
25,.....(((.(((((....))))))))....................((((((....)))))).....((...))..,16,-7.491,14,0.001813
26,.....(((.(((........)))))).............(((....((((((....))))))..)))((...))..,17,-7.462,4,0.001727
27,.....(((.((((......))))))).............(((....((((((....))))))..))).(...)...,17,-7.461,4,0.001724
28,.....(((.(((........))))))............((....))((((((....)))))).....((...))..,16,-7.457,13,0.001711
29,.....(((.((((......)))))))....................(((((......))))).....((...))..,14,-7.451,14,0.001695
30,.....(((.(((........))))))....................((((((....))))))......(...)...,13,-7.44,8,0.001663
31,.....(((.(((........)))))).............(((..((.(((((....))))))).))).........,16,-7.436,5,0.001651
32,.....(((.(((........)))))).............(((..(.((((((....))))))).))).........,16,-7.436,2,0.001651
33,.....(((..((.......))..))).............(((....((((((....))))))..))).(...)...,15,-7.43,9,0.001635
34,.....(((.(((........))))))(((....)))..........((((((....)))))).....((...))..,17,-7.428,16,0.001631
35,.....(((..((.......))..)))....................(((((......))))).....((...))..,12,-7.42,19,0.001607
36,.....(((.((((......))))))).............(((....((((((....))))))..)))((...))..,18,-7.414,6,0.001590
37,.....(((.((((......)))))))............((....))((((((....)))))).....((...))..,17,-7.408,15,0.001575
38,.....(((.((((......)))))))....................((((((....))))))......(...)...,14,-7.391,10,0.001532
39,.....(((.((((......))))))).............(((..((.(((((....))))))).))).........,17,-7.387,7,0.001520
40,.....(((.((((......))))))).............(((..(.((((((....))))))).))).........,17,-7.387,4,0.001520
41,.....(((..((.......))..))).............(((....((((((....))))))..)))((...))..,16,-7.382,11,0.001508
42,.....(((.((((......)))))))(((....)))..........((((((....)))))).....((...))..,18,-7.38,18,0.001501
43,.....(((..((.......))..)))............((....))((((((....)))))).....((...))..,15,-7.376,20,0.001494
44,.....(((..((.......))..)))....................((((((....))))))......(...)...,12,-7.36,15,0.001452
45,.....(((..((.......))..))).............(((..((.(((((....))))))).))).........,15,-7.355,12,0.001442
46,.....(((..((.......))..))).............(((..(.((((((....))))))).))).........,15,-7.355,9,0.001442
47,.....(((..((.......))..)))(((....)))..........((((((....)))))).....((...))..,16,-7.348,23,0.001424
48,.....((..(((........))).)).............(((....((((((....))))))..))).........,14,-7.341,2,0.001407
49,.....(((..((........)).))).............(((....(((((......)))))..))).........,13,-7.339,4,0.001403
50,.....(((..((((....)))).))).............(((....((((((....))))))..))).........,16,-7.33,6,0.001382
51,.....((..((((......)))).)).............(((....((((((....))))))..))).........,15,-7.292,4,0.001295
52,.....(((..(((......))).))).............(((....(((((......)))))..))).........,14,-7.291,6,0.001292
53,.....((..(((........)))..))............(((....((((((....))))))..))).........,14,-7.285,7,0.001280
