,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
54,.....(((..((........)).)))(((....)))...(((....((((((....))))))..))).........,17,-7.268,8,0.001243
55,.....(((..((........)).)))..............((....)).....((.((....)).)).........,11,-7.251,24,0.001208
56,.....(((.(((........))))))............((....)).......((.((....)).)).........,12,-7.242,25,0.001190
57,.....((..((((......))))..))............(((....((((((....))))))..))).........,15,-7.236,9,0.001179
58,.((..(((.(((........))))))...))........(((....((((((....))))))..))).........,17,-7.219,4,0.001146
59,.....(((..(((......))).)))(((....)))...(((....((((((....))))))..))).........,18,-7.219,10,0.001145
60,.....(((.(((((....)))))))).............(((....(((((......)))))..))).........,16,-7.206,6,0.001120
61,.....(((..(((......))).)))..............((....)).....((.((....)).)).........,12,-7.202,26,0.001112
62,.....(((.((((......)))))))............((....)).......((.((....)).)).........,13,-7.193,27,0.001096
63,.((..(((.((((......)))))))...))........(((....((((((....))))))..))).........,18,-7.17,6,0.001055
64,.....(((..((.......))..)))............((....)).......((.((....)).)).........,11,-7.161,32,0.001039
65,.....(((...............))).............(((....((((((....))))))..))).........,12,-7.159,6,0.001035
66,.....(((..((........)).)))....................((((((....))))))..............,11,-7.157,8,0.001031
67,.....(((.(((........))))))(((....)))...(((....(((((......)))))..))).........,17,-7.143,8,0.001007
68,.((..(((..((.......))..)))...))........(((....((((((....))))))..))).........,16,-7.139,11,0.001000
69,.....(((.(((((....))))))))(((....)))...(((....((((((....))))))..))).........,20,-7.134,10,0.000992
70,.....(((.(((........))))))....................((((((....))))))...(....).....,13,-7.126,7,0.000978
71,.....(((.(((((....))))))))..............((....)).....((.((....)).)).........,14,-7.117,26,0.000964
72,.....(((((((........)))..............)))).....((((((....)))))).....((...))..,15,-7.113,19,0.000958
73,.....(((..(((......))).)))....................((((((....))))))..............,12,-7.108,10,0.000950
74,.....(((.((((......)))))))(((....)))...(((....(((((......)))))..))).........,18,-7.094,10,0.000927
75,.....(((((((((((....)).)))).........))))).....((((((....)))))).....((...))..,19,-7.085,31,0.000913
76,.....(((.((((......)))))))....................((((((....))))))...(....).....,14,-7.077,9,0.000901
77,.....(((.(((........))))))............((((....((((((....))))))..))).).......,16,-7.067,2,0.000886
78,.....((((((((......))))..............)))).....((((((....)))))).....((...))..,16,-7.064,21,0.000882
79,.....(((..((.......))..)))(((....)))...(((....(((((......)))))..))).........,16,-7.063,15,0.000879
80,.....(((((((((.........)))).........))))).....((((((....)))))).....((...))..,17,-7.056,29,0.000869
81,.....(((.(((........))))))(((....)))....((....)).....((.((....)).)).........,15,-7.054,28,0.000867
82,.....(((.(((........)))))).............(((....((((........))))..))).........,13,-7.051,4,0.000862
83,.....(((..((........)).))).............(((....((((((....))))))..))).(...)...,15,-7.047,4,0.000856
84,.....(((..((.......))..)))....................((((((....))))))...(....).....,12,-7.045,14,0.000854
85,.....((..(((........))).))....................((((((....)))))).....((...))..,13,-7.038,12,0.000844
86,.....(((..((........)).)))....................(((((......))))).....((...))..,12,-7.037,14,0.000842
87,.....(((.(((........))))))....................(((((......)))))..............,11,-7.032,8,0.000836
88,.....(((..((((....)))).)))....................((((((....)))))).....((...))..,15,-7.027,16,0.000829
89,.....(((.(((((....))))))))....................((((((....))))))..............,14,-7.023,10,0.000823
90,.....(((.((((......)))))))............((((....((((((....))))))..))).).......,17,-7.018,4,0.000816
91,.....(((.((((......)))))))(((....)))....((....)).....((.((....)).)).........,16,-7.005,30,0.000798
92,.....(((.((((......))))))).............(((....((((........))))..))).........,14,-7.002,6,0.000794
93,.....(((..((........)).))).............(((....((((((....))))))..)))((...))..,16,-6.999,6,0.000789
94,.....(((..(((......))).))).............(((....((((((....))))))..))).(...)...,16,-6.998,6,0.000788
95,.....(((..((........)).)))............((....))((((((....)))))).....((...))..,15,-6.993,15,0.000782
96,.....((..((((......)))).))....................((((((....)))))).....((...))..,14,-6.989,14,0.000777
97,.....(((.(((........))))))............((....))((((((....))))))..............,14,-6.989,9,0.000777
98,.....(((..(((......))).)))....................(((((......))))).....((...))..,13,-6.988,16,0.000775
99,.....(((..((.......))..)))............((((....((((((....))))))..))).).......,15,-6.987,9,0.000774
100,.....(((.((((......)))))))....................(((((......)))))..............,12,-6.984,10,0.000770
101,.....((..(((........)))..))...................((((((....)))))).....((...))..,13,-6.982,17,0.000768
102,.....(((..((........)).)))....................((((((....))))))......(...)...,12,-6.976,10,0.000760
103,.....(((..((.......))..)))(((....)))....((....)).....((.((....)).)).........,14,-6.974,35,0.000757
104,.....(((..((........)).))).............(((..((.(((((....))))))).))).........,15,-6.972,7,0.000755
105,.....(((..((........)).))).............(((..(.((((((....))))))).))).........,15,-6.972,4,0.000755
106,.....(((..((.......))..))).............(((....((((........))))..))).........,12,-6.97,11,0.000753
107,.....(((..((........)).)))(((....)))..........((((((....)))))).....((...))..,16,-6.965,18,0.000745
108,.....(((.(((........))))))(((....)))..........((((((....))))))..............,15,-6.961,12,0.000740
109,.....(((..((.......))..)))....................(((((......)))))..............,10,-6.952,15,0.000730
110,.....(((..(((......))).))).............(((....((((((....))))))..)))((...))..,17,-6.95,8,0.000727
111,.....(((..(((......))).)))............((....))((((((....)))))).....((...))..,16,-6.944,17,0.000720
112,.....(((.((((......)))))))............((....))((((((....))))))..............,15,-6.94,11,0.000715
113,.....((..((((......))))..))...................((((((....)))))).....((...))..,14,-6.933,19,0.000707
114,.....(((..((.(...).))..))).............(((....((((((....))))))..))).........,15,-6.928,9,0.000701
115,.....(((..(((......))).)))....................((((((....))))))......(...)...,13,-6.927,12,0.000700
116,.....(((..(((......))).))).............(((..((.(((((....))))))).))).........,16,-6.923,9,0.000695
117,.....(((..(((......))).))).............(((..(.((((((....))))))).))).........,16,-6.923,6,0.000695
118,.....(((.(((........)))))).............(((....(((((......)))))..))).(...)...,15,-6.922,4,0.000694
119,.((..(((.(((........))))))...))...............((((((....)))))).....((...))..,16,-6.916,14,0.000687
120,.....(((..(((......))).)))(((....)))..........((((((....)))))).....((...))..,17,-6.916,20,0.000686
121,.....(((.(((((....)))))))).............(((....((((((....))))))..))).(...)...,18,-6.913,6,0.000683
122,.....(((.((((......)))))))(((....)))..........((((((....))))))..............,16,-6.912,14,0.000682
123,.....(((..((.......))..)))............((....))((((((....))))))..............,13,-6.909,16,0.000678
124,.....(((.(((((....))))))))....................(((((......))))).....((...))..,15,-6.903,16,0.000671
125,.....(((((................(((....)))))))).....((((((....)))))).....((...))..,16,-6.887,32,0.000654
126,.....(((..((.......))..)))(((....)))..........((((((....))))))..............,14,-6.88,19,0.000646
127,.....(((.(((........)))))).........((..(((....((((((....))))))..)))..)).....,17,-6.88,4,0.000646
128,.....(((.(((........)))))).............(((....(((((......)))))..)))((...))..,16,-6.874,6,0.000640
129,.....(((.((((......))))))).............(((....(((((......)))))..))).(...)...,16,-6.873,6,0.000639
130,.....(((.(((........))))))............((....))(((((......))))).....((...))..,15,-6.869,15,0.000634
131,.((..(((.((((......)))))))...))...............((((((....)))))).....((...))..,17,-6.867,16,0.000633
132,.((..((..(((........)))..))..))........(((....((((((....))))))..))).........,16,-6.867,11,0.000632
133,.....(((.(((((....)))))))).............(((....((((((....))))))..)))((...))..,19,-6.865,8,0.000630
134,.....(((.(((........))))))((......))...(((....((((((....))))))..))).........,17,-6.864,4,0.000628
135,.....(((.(((((....))))))))............((....))((((((....)))))).....((...))..,18,-6.859,17,0.000624
136,.....(((...............)))....................((((((....)))))).....((...))..,11,-6.856,16,0.000621
137,.....(((.(((........))))))....................(((((......)))))......(...)...,12,-6.852,10,0.000616
138,.....(((.(((........))))))(((....)))...(((....((((((....))))))..))).(...)...,19,-6.85,8,0.000614
139,.....(((.(((........)))))).............(((..((.((((......)))))).))).........,15,-6.847,7,0.000612
140,.....(((.(((........)))))).............(((..(.(((((......)))))).))).........,15,-6.847,4,0.000612
141,.....(((.(((((....))))))))....................((((((....))))))......(...)...,15,-6.843,12,0.000607
142,.....(((..((.......))..))).............(((....(((((......)))))..))).(...)...,14,-6.841,11,0.000606
143,.....(((.(((........))))))(((....)))..........(((((......))))).....((...))..,16,-6.84,18,0.000604
144,.....((((((((...........))).........))))).....((((((....)))))).....((...))..,16,-6.84,28,0.000604
145,.....(((.(((((....)))))))).............(((..((.(((((....))))))).))).........,18,-6.838,9,0.000602
146,.....(((.(((((....)))))))).............(((..(.((((((....))))))).))).........,18,-6.838,6,0.000602
147,.((..(((..((.......))..)))...))...............((((((....)))))).....((...))..,15,-6.836,21,0.000600
148,.....(((.(((........))))))..............((....)).....((.((....)).)).(...)...,13,-6.833,24,0.000597
149,.....(((.((((......))))))).........((..(((....((((((....))))))..)))..)).....,18,-6.831,6,0.000595
150,.....(((.(((((....))))))))(((....)))..........((((((....)))))).....((...))..,19,-6.831,20,0.000595
151,.....(((.((((......))))))).............(((....(((((......)))))..)))((...))..,17,-6.825,8,0.000589
152,.....(((.((((......)))))))............((....))(((((......))))).....((...))..,16,-6.82,17,0.000584
153,.((..((..((((......))))..))..))........(((....((((((....))))))..))).........,17,-6.818,13,0.000582
154,.....(((.((((......)))))))((......))...(((....((((((....))))))..))).........,18,-6.815,6,0.000579
155,.....(((.(((........))))))............((....))((((((....))))))......(...)...,15,-6.808,11,0.000573
156,.....(((.((((......)))))))....................(((((......)))))......(...)...,13,-6.803,12,0.000567
157,.....(((.(((........))))))(((....)))...(((....((((((....))))))..)))((...))..,20,-6.802,10,0.000567
158,.....(((.((((......)))))))(((....)))...(((....((((((....))))))..))).(...)...,20,-6.801,10,0.000566
159,.....(((..((.......))..))).........((..(((....((((((....))))))..)))..)).....,16,-6.8,11,0.000564
160,...(.(((.(((........)))))))............(((....((((((....))))))..))).........,16,-6.799,2,0.000563
161,.....(((.((((......))))))).............(((..((.((((......)))))).))).........,16,-6.799,9,0.000563
162,.....(((.((((......))))))).............(((..(.(((((......)))))).))).........,16,-6.799,6,0.000563
163,.....(((.(((........))))))(((....)))..((....))((((((....)))))).....((...))..,19,-6.797,19,0.000561
164,.....(((..((.......))..))).............(((....(((((......)))))..)))((...))..,15,-6.794,13,0.000559
165,.....(((.((((......)))))))(((....)))..........(((((......))))).....((...))..,17,-6.791,20,0.000556
166,.....(((..((.......))..)))............((....))(((((......))))).....((...))..,14,-6.788,22,0.000553
167,.....(((.(((........))))))..............((....)).....((.((....)).))((...))..,14,-6.785,26,0.000551
168,.....(((.((((......)))))))..............((....)).....((.((....)).)).(...)...,14,-6.784,26,0.000550
169,.....(((..((.......))..)))((......))...(((....((((((....))))))..))).........,16,-6.783,11,0.000549
170,.....(((.(((........)))))).............(((....((((.(....).))))..))).........,14,-6.783,2,0.000548
171,.....(((.(((........))))))(((....)))..........((((((....))))))......(...)...,16,-6.78,14,0.000546
172,.....(((..((........)).)))............((....)).......((.((....)).)).........,11,-6.778,27,0.000544
173,.....(((.(((........))))))(((....)))...(((..((.(((((....))))))).))).........,19,-6.776,11,0.000542
174,.....(((.(((........))))))(((....)))...(((..(.((((((....))))))).))).........,19,-6.776,8,0.000542
175,.....(((..((.......))..)))....................(((((......)))))......(...)...,11,-6.771,17,0.000538
176,.....(((..((.......))..)))(((....)))...(((....((((((....))))))..))).(...)...,18,-6.77,15,0.000536
177,.....(((((((((..(....).)))).........))))).....((((((....)))))).....((...))..,18,-6.767,30,0.000534
178,.....(((..((.......))..))).............(((..((.((((......)))))).))).........,14,-6.767,14,0.000534
179,.....(((..((.......))..))).............(((..(.(((((......)))))).))).........,14,-6.767,11,0.000534
180,.....(((..((.......))..)))(((....)))..........(((((......))))).....((...))..,15,-6.76,25,0.000527
181,.....(((.((((......)))))))............((....))((((((....))))))......(...)...,16,-6.759,13,0.000527
182,.((..(((..((........)).)))...))........(((....((((((....))))))..))).........,16,-6.756,6,0.000524
183,.....(((.((((......)))))))(((....)))...(((....((((((....))))))..)))((...))..,21,-6.753,12,0.000522
184,.....((..(((........))).)).............(((....(((((......)))))..))).........,13,-6.753,4,0.000521
185,.....(((..((.......))..)))..............((....)).....((.((....)).)).(...)...,12,-6.753,31,0.000521
186,...(.(((.((((......))))))))............(((....((((((....))))))..))).........,17,-6.75,4,0.000519
187,.....(((.(((........))))))....................((((........)))).....((...))..,12,-6.748,14,0.000517
188,.....(((.((((......)))))))(((....)))..((....))((((((....)))))).....((...))..,20,-6.748,21,0.000517
189,.....((..(((((....))))).)).............(((....((((((....))))))..))).........,16,-6.743,6,0.000513
190,.....(((..((((....)))).))).............(((....(((((......)))))..))).........,15,-6.742,8,0.000512
191,.....(((.((((......)))))))..............((....)).....((.((....)).))((...))..,15,-6.736,28,0.000507
192,.....(((.((((......))))))).............(((....((((.(....).))))..))).........,15,-6.734,4,0.000505
193,.....(((.((((......)))))))(((....)))..........((((((....))))))......(...)...,17,-6.731,16,0.000503
194,.....(((..(((......))).)))............((....)).......((.((....)).)).........,12,-6.729,29,0.000501
195,.....(((..((.......))..)))............((....))((((((....))))))......(...)...,14,-6.728,18,0.000500
196,.....(((.((((......)))))))(((....)))...(((..((.(((((....))))))).))).........,20,-6.727,13,0.000499
197,.....(((.((((......)))))))(((....)))...(((..(.((((((....))))))).))).........,20,-6.727,10,0.000499
198,.....(((..((.......))..)))(((....)))...(((....((((((....))))))..)))((...))..,19,-6.722,17,0.000495
199,...(.(((..((.......))..))))............(((....((((((....))))))..))).........,15,-6.718,9,0.000492
200,.....(((..((.......))..)))(((....)))..((....))((((((....)))))).....((...))..,18,-6.716,26,0.000490
201,.((..(((..(((......))).)))...))........(((....((((((....))))))..))).........,17,-6.707,8,0.000482
202,.....(((..((.......))..)))..............((....)).....((.((....)).))((...))..,13,-6.705,33,0.000481
203,.....((..((((......)))).)).............(((....(((((......)))))..))).........,14,-6.704,6,0.000480
204,.....(((..((.......))..))).............(((....((((.(....).))))..))).........,13,-6.702,9,0.000479
205,.....(((..((.......))..)))(((....)))..........((((((....))))))......(...)...,15,-6.7,21,0.000476
206,.....(((.((((......)))))))....................((((........)))).....((...))..,13,-6.699,16,0.000476
207,.....((..(((........)))..))............(((....(((((......)))))..))).........,13,-6.697,9,0.000474
208,.....(((..((.......))..)))(((....)))...(((..((.(((((....))))))).))).........,18,-6.695,18,0.000473
209,.....(((..((.......))..)))(((....)))...(((..(.((((((....))))))).))).........,18,-6.695,15,0.000473
210,.....((..(((((....)))))..))............(((....((((((....))))))..))).........,16,-6.688,11,0.000467
211,.....((..(((........))).))(((....)))...(((....((((((....))))))..))).........,17,-6.681,8,0.000462
212,.....(((..((........)).)))(((....)))...(((....(((((......)))))..))).........,16,-6.679,10,0.000460
213,.....(((((..........................))))).....((((((....)))))).....((...))..,13,-6.674,26,0.000456
214,.....(((..((((....)))).)))(((....)))...(((....((((((....))))))..))).........,19,-6.67,12,0.000453
215,.....(((.((..........))))).............(((....((((((....))))))..))).........,14,-6.67,2,0.000453
216,.....(((..((.......))..)))....................((((........)))).....((...))..,11,-6.667,21,0.000451
217,.....((..(((........))).))..............((....)).....((.((....)).)).........,11,-6.664,24,0.000449
218,.....(((..((........)).)))....................((((((....))))))...(....).....,12,-6.662,9,0.000447
219,.....(((..((((....)))).)))..............((....)).....((.((....)).)).........,13,-6.653,28,0.000440
220,.....((..((((......))))..))............(((....(((((......)))))..))).........,14,-6.648,11,0.000437
221,.....(((((((........)))..............)))).....((((((....))))))..............,13,-6.645,15,0.000435
222,.....(((.(((((....))))))))............((....)).......((.((....)).)).........,14,-6.644,29,0.000434
223,.....((..((((......)))).))(((....)))...(((....((((((....))))))..))).........,18,-6.632,10,0.000425
224,.((..(((.(((........))))))...))........(((....(((((......)))))..))).........,16,-6.631,6,0.000424
225,.....(((..(((......))).)))(((....)))...(((....(((((......)))))..))).........,17,-6.63,12,0.000424
226,.....(((..((.(...).))..)))....................((((((....)))))).....((...))..,14,-6.625,19,0.000420
227,.....(((.(((........))))))....(.((.....(((....((((((....))))))..))))).).....,18,-6.623,6,0.000419
228,.((..(((.(((((....))))))))...))........(((....((((((....))))))..))).........,19,-6.622,8,0.000418
229,.....(((.(((........)))))).............(.(...).).....((.((....)).)).........,12,-6.618,23,0.000416
230,.....(((((((((((....)).)))).........))))).....((((((....))))))..............,17,-6.617,27,0.000414
231,.....((..((((......)))).))..............((....)).....((.((....)).)).........,12,-6.615,26,0.000413
232,.....(((..(((......))).)))....................((((((....))))))...(....).....,13,-6.613,11,0.000412
233,.....(((..(.........)..))).............(((....((((((....))))))..))).........,13,-6.613,6,0.000411
234,.....(((.(((........))))))...........................((.((....)).)).........,10,-6.61,22,0.000410
235,.....((..(((........)))..)).............((....)).....((.((....)).)).........,11,-6.608,29,0.000408
236,.....(((..((........)).)))............((((....((((((....))))))..))).).......,15,-6.603,4,0.000405
237,.....((((((((......))))..............)))).....((((((....))))))..............,14,-6.597,17,0.000401
238,.....(((..((........)).)))(((....)))....((....)).....((.((....)).)).........,14,-6.59,30,0.000396
239,.....(((((((((.........)))).........))))).....((((((....))))))..............,15,-6.588,25,0.000395
240,.....(((..((........)).))).............(((....((((........))))..))).........,12,-6.587,6,0.000394
241,.((..(((.((((......)))))))...))........(((....(((((......)))))..))).........,17,-6.582,8,0.000391
242,.....(((.(((........))))))(((....)))..((....)).......((.((....)).)).........,15,-6.582,31,0.000390
243,.....(((.((((......)))))))....(.((.....(((....((((((....))))))..))))).).....,19,-6.575,8,0.000386
244,.....(((...............))).............(((....(((((......)))))..))).........,11,-6.571,8,0.000383
245,.....((..(((........))).))....................((((((....))))))..............,11,-6.57,8,0.000383
246,.....(((.((((......))))))).............(.(...).).....((.((....)).)).........,13,-6.569,25,0.000383
247,.....(((..((........)).)))....................(((((......)))))..............,10,-6.569,10,0.000382
248,.((..((..(((........)))..))..))...............((((((....)))))).....((...))..,15,-6.564,21,0.000379
249,.....(((.(((........)))...(((....)))..))).....((((((....)))))).....((...))..,17,-6.564,23,0.000379
250,.....(((.((((......)))))))...........................((.((....)).)).........,11,-6.562,24,0.000378
251,.....(((.(((........))))))((......))..........((((((....)))))).....((...))..,16,-6.561,14,0.000377
252,.....(((..((((....)))).)))....................((((((....))))))..............,13,-6.559,12,0.000376
253,.....((..((((......))))..)).............((....)).....((.((....)).)).........,12,-6.559,31,0.000376
254,.....(((.(((........)))))).............(((..((.(((((....))))))).))).(...)...,17,-6.555,7,0.000373
255,.....(((.(((........)))))).............(((..(.((((((....))))))).))).(...)...,17,-6.555,4,0.000373
256,.....(((..(((......))).)))............((((....((((((....))))))..))).).......,16,-6.554,6,0.000373
257,.((..(((..((.......))..)))...))........(((....(((((......)))))..))).........,15,-6.551,13,0.000371
258,.....(((.(((((....))))))))(((....)))...(((....(((((......)))))..))).........,19,-6.545,12,0.000367
259,.....(((..((.......))..)))....(.((.....(((....((((((....))))))..))))).).....,17,-6.543,13,0.000366
260,.((..(((.(((........))))))...)).........((....)).....((.((....)).)).........,14,-6.542,26,0.000365
261,.....(((..(((......))).)))(((....)))....((....)).....((.((....)).)).........,15,-6.541,32,0.000365
262,.....(((.(((........)))))).........(....).....((((((....)))))).....((...))..,15,-6.541,11,0.000365
263,.....(((((((((.(....)..)))).........))))).....((((((....)))))).....((...))..,18,-6.54,30,0.000364
264,.....(((..(((......))).))).............(((....((((........))))..))).........,13,-6.538,8,0.000363
265,.....(((..((.......))..))).............(.(...).).....((.((....)).)).........,11,-6.538,30,0.000363
266,.....(((.(((........))))))....................(((((......)))))...(....).....,12,-6.537,9,0.000362
267,.....(((.((((......)))))))(((....)))..((....)).......((.((....)).)).........,16,-6.533,33,0.000360
268,.....(((..((.......))..)))...........................((.((....)).)).........,9,-6.53,29,0.000358
269,.....(((.(((((....))))))))....................((((((....))))))...(....).....,15,-6.528,11,0.000357
270,.....(((..((........)).)))............((....))((((((....))))))..............,13,-6.525,11,0.000355
271,.....(((((((........)))..............)))).....(((((......))))).....((...))..,14,-6.525,21,0.000355
272,.....((..((((......)))).))....................((((((....))))))..............,12,-6.521,10,0.000353
273,.....(((..(((......))).)))....................(((((......)))))..............,11,-6.52,12,0.000352
274,.....(((((((((....)))))..............)))).....((((((....)))))).....((...))..,17,-6.516,23,0.000349
275,.((..((..((((......))))..))..))...............((((((....)))))).....((...))..,16,-6.515,23,0.000349
276,.....(((.((((......))))...(((....)))..))).....((((((....)))))).....((...))..,18,-6.515,25,0.000349
277,.....((..(((........)))..))...................((((((....))))))..............,11,-6.514,13,0.000349
278,.....(((.((((......)))))))((......))..........((((((....)))))).....((...))..,17,-6.512,16,0.000347
279,.....(((.(((........)))))).............(((..((.(((((....))))))).)))((...))..,18,-6.507,9,0.000344
280,.....(((.(((........)))))).............(((..(.((((((....))))))).)))((...))..,18,-6.507,6,0.000344
281,.....(((.((((......))))))).............(((..((.(((((....))))))).))).(...)...,18,-6.506,9,0.000343
282,.....(((.((((......))))))).............(((..(.((((((....))))))).))).(...)...,18,-6.506,6,0.000343
283,.....(((..((.......))..)))(((....)))..((....)).......((.((....)).)).........,14,-6.501,38,0.000341
284,.....(((...............)))(((....)))...(((....((((((....))))))..))).........,15,-6.499,12,0.000340
285,.....(((..((........)).)))(((....)))..........((((((....))))))..............,14,-6.497,14,0.000338
286,.....(((((((((((....)).)))).........))))).....(((((......))))).....((...))..,18,-6.496,33,0.000338
287,...(.(((.(((........)))))))...................((((((....)))))).....((...))..,15,-6.496,12,0.000338
288,.....(((.(((........))))))............((....))((((((....))))))...(....).....,15,-6.494,10,0.000337
289,.((..(((.((((......)))))))...)).........((....)).....((.((....)).)).........,15,-6.493,28,0.000336
290,.....(((.((((......))))))).........(....).....((((((....)))))).....((...))..,16,-6.492,13,0.000336
291,.....(((.((((......)))))))....................(((((......)))))...(....).....,13,-6.488,11,0.000334
292,.....(((.(((........)))))).........((..(((....((((((....))))))..))).))......,17,-6.488,4,0.000334
293,.....(((.(((........))))))......((.....)).....((((((....)))))).....((...))..,16,-6.484,12,0.000331
294,.....(((...............)))..............((....)).....((.((....)).)).........,9,-6.482,28,0.000330
295,.....(((..((.......))..)))((......))..........((((((....)))))).....((...))..,15,-6.48,21,0.000329
296,.....(((.(((........))))))....................((((.(....).)))).....((...))..,13,-6.48,12,0.000329
297,.....(((.(((........))))))............((((....(((((......)))))..))).).......,15,-6.479,4,0.000328
298,.....(((..(((......))).)))............((....))((((((....))))))..............,14,-6.476,13,0.000327
299,.....((((((((......))))..............)))).....(((((......))))).....((...))..,15,-6.476,23,0.000327
300,.....(((..((.......))..))).............(((..((.(((((....))))))).))).(...)...,16,-6.474,14,0.000326
301,.....(((..((.......))..))).............(((..(.((((((....))))))).))).(...)...,16,-6.474,11,0.000326
302,.....(((((((.............)).........))))).....((((((....)))))).....((...))..,15,-6.47,27,0.000323
303,.....(((.(((((....))))))))............((((....((((((....))))))..))).).......,18,-6.469,6,0.000323
304,.....(((((((((.........)))).........))))).....(((((......))))).....((...))..,16,-6.467,31,0.000322
305,.....(((.(((........))))))(((....)))..........((((((....))))))...(....).....,16,-6.465,13,0.000321
