,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
36,.....(((.........)))........(((.((((((.((...........)).)))))).)))..((...))..,16,-6.077,19,0.001785
37,.......((.((((...((..((((((.((....(((((.....)))))....))))))))..)).)))).))...,21,-6.072,57,0.001771
38,..((...)).....((((((........(((.((((((.((..((...))..)).)))))).))))))))).....,21,-6.065,6,0.001749
39,.......((.((((.......((((((.((....((((.......))))....)))))))).....)))).))...,18,-6.03,55,0.001650
40,.....((...........))........(((.((((((.((...........)).)))))).)))...........,13,-6.001,16,0.001572
41,..............((((((.....(((....((((((.((..(.....)..)).)))))).))))))))).....,18,-5.986,9,0.001533
42,..(.....).....((((((........(((.((((((.((..(.....)..)).)))))).))))))))).....,19,-5.986,2,0.001533
43,..............((((((........(((.(((.((.((..(.....)..)).)).))).))))))))).....,17,-5.966,2,0.001480
44,.......((.((((...((..((((((.((....((((.......))))....))))))))..)).)))).))...,20,-5.965,55,0.001478
45,..............((((((.....(((....((((((.((..((...))..)).)))))).))))))))).....,19,-5.959,11,0.001463
46,..(.....).....((((((........(((.((((((.((..((...))..)).)))))).))))))))).....,20,-5.959,4,0.001463
47,..........((....((((........(((.((((((.((...........)).)))))).))))))))).....,17,-5.949,8,0.001440
48,..............((((((........(((.(((.((.((..((...))..)).)).))).))))))))).....,18,-5.938,4,0.001413
49,..........((......))........(((.(((.((.((..(.....)..)).)).))).)))..((...))..,15,-5.935,18,0.001404
50,.......((.((((..............(((.((((((.((...........)).)))))).))).)))).))...,17,-5.918,22,0.001365
51,.....(((.........)))........(((.((((((.((..(.....)..)).)))))).)))...........,15,-5.917,15,0.001362
52,..........((......))........(((.(((.((.((..((...))..)).)).))).)))..((...))..,16,-5.907,20,0.001341
53,..............((((((.((((((.((....(((((.....)))))....))))))))....)))))).....,19,-5.902,37,0.001330
54,.....(((.........)))........(((.((((((.((..((...))..)).)))))).)))...........,16,-5.889,17,0.001301
55,................((((........(((.((((((.(.............).)))))).))))))).......,14,-5.866,8,0.001250
56,............................(((.((((((.((...........)).)))))).)))..((...))..,13,-5.851,16,0.001219
57,...................(((.(((..((......)).))).)))........((....)).....((...))..,12,-5.85,48,0.001217
58,.......((.((((............(.(((.((((((.((...........)).)))))).)))))))).))...,18,-5.845,23,0.001208
59,.....((...........))........(((.((((((.((...........)).)))))).)))...(...)...,14,-5.821,17,0.001159
60,.....((...........))........(((.((((((.(.............).)))))).)))..((...))..,14,-5.798,20,0.001115
61,..............((((((.((((((.((....((((.......))))....))))))))....)))))).....,18,-5.795,35,0.001109
62,..............((((((........((..((((((.((..(.....)..)).))))))..)))))))).....,17,-5.792,2,0.001103
63,..((...)).....((((((........(((.((((((.((...........)).)))))).))))))))).....,19,-5.784,6,0.001090
64,..............((((((........((..((((((.((..((...))..)).))))))..)))))))).....,18,-5.764,4,0.001053
65,..........((......))........((..((((((.((..(.....)..)).))))))..))..((...))..,15,-5.761,18,0.001047
66,..((...)).......((((........(((.((((((.((..(.....)..)).)))))).))))))).......,18,-5.748,8,0.001024
67,.....(((.........)))........(((.((((((.((..(.....)..)).)))))).)))...(...)...,16,-5.736,16,0.001004
68,..........((......))........((..((((((.((..((...))..)).))))))..))..((...))..,16,-5.733,20,0.001000
69,..((...)).......((((........(((.((((((.((..((...))..)).)))))).))))))).......,19,-5.72,10,0.000978
70,..........((......))........(((.((((((.(.............).)))))).)))...........,12,-5.712,18,0.000964
71,.....(((.........)))........(((.((((((.((..((...))..)).)))))).)))...(...)...,17,-5.709,18,0.000959
72,............................(((.((((((.((..(.....)..)).)))))).)))...........,12,-5.691,12,0.000930
73,...................(((.(((..((......)).))).)))...((((.(((......))).)))).....,15,-5.683,47,0.000918
74,..............((((((.....(((....((((((.((...........)).)))))).))))))))).....,17,-5.679,11,0.000912
75,..(.....).....((((((........(((.((((((.((...........)).)))))).))))))))).....,18,-5.679,4,0.000912
76,............................(((.((((((.((..((...))..)).)))))).)))...........,13,-5.663,14,0.000888
77,..............((((((........(((.(((.((.((...........)).)).))).))))))))).....,16,-5.658,4,0.000880
78,................((((.....(((....((((((.((..(.....)..)).)))))).))))))).......,16,-5.642,13,0.000857
79,..(.....).......((((........(((.((((((.((..(.....)..)).)))))).))))))).......,17,-5.642,6,0.000857
80,..........((......))........(((.(((.((.((...........)).)).))).)))..((...))..,14,-5.627,20,0.000835
81,................((((........(((.(((.((.((..(.....)..)).)).))).))))))).......,15,-5.621,6,0.000827
82,................((((.....(((....((((((.((..((...))..)).)))))).))))))).......,17,-5.614,15,0.000818
83,..(.....).......((((........(((.((((((.((..((...))..)).)))))).))))))).......,18,-5.614,8,0.000818
84,.....(((.........)))........(((.((((((.((...........)).)))))).)))...........,14,-5.609,17,0.000810
85,...((.......))..((((........(((.((((((.((..(.....)..)).)))))).))))))).......,18,-5.605,8,0.000805
86,................((((........(((.(((.((.((..((...))..)).)).))).))))))).......,16,-5.594,8,0.000790
87,.....((.........((((........(((.((((((.((..(.....)..)).)))))).))))))))).....,18,-5.584,6,0.000777
88,...((.......))..((((........(((.((((((.((..((...))..)).)))))).))))))).......,19,-5.578,10,0.000769
89,..((...)).((......))........(((.((((((.((..(.....)..)).)))))).)))..((...))..,18,-5.573,20,0.000762
90,................((((.((((((.((....(((((.....)))))....))))))))....)))).......,17,-5.558,41,0.000743
91,.....((.........((((........(((.((((((.((..((...))..)).)))))).))))))))).....,19,-5.557,8,0.000742
92,.....((...........))........(((.(((.((.((..(.....)..)).)).))).)))..((...))..,15,-5.553,18,0.000738
93,..((...)).((......))........(((.((((((.((..((...))..)).)))))).)))..((...))..,19,-5.545,22,0.000728
94,..........((......))........(((.((((((.(.............).)))))).)))...(...)...,13,-5.531,19,0.000710
95,.....((...........))........(((.(((.((.((..((...))..)).)).))).)))..((...))..,16,-5.526,20,0.000705
96,..............(....)........(((.((((((.((..(.....)..)).)))))).)))..((...))..,15,-5.525,14,0.000703
97,.......((.((((.....(.....)..(((.((((((.((..(.....)..)).)))))).))).)))).))...,19,-5.518,21,0.000695
98,............................(((.((((((.((..(.....)..)).)))))).)))...(...)...,13,-5.51,13,0.000686
99,...................(((.(((..((......)).))).)))........(((......))).((...))..,13,-5.506,47,0.000682
100,..........((......))............((((((.((..(.....)..)).))))))......((...))..,13,-5.501,22,0.000676
101,..............(....)........(((.((((((.((..((...))..)).)))))).)))..((...))..,16,-5.497,16,0.000671
102,.......((.((((.....(.....)..(((.((((((.((..((...))..)).)))))).))).)))).))...,20,-5.49,23,0.000663
103,..............((((((........((..((((((.((...........)).))))))..)))))))).....,16,-5.484,4,0.000656
104,.......((.((((......((....))(((.((((((.((..(.....)..)).)))))).))).)))).))...,20,-5.483,24,0.000655
105,............................(((.((((((.((..((...))..)).)))))).)))...(...)...,14,-5.482,15,0.000655
106,..........((......)).....(((....((((((.((..(.....)..)).)))))).)))..((...))..,16,-5.475,25,0.000646
107,..........((......))............((((((.((..((...))..)).))))))......((...))..,14,-5.474,24,0.000645
108,..(.....).((......))........(((.((((((.((..(.....)..)).)))))).)))..((...))..,17,-5.467,18,0.000638
109,..........((......))........(((.(((.((.((..(.....)..)).)).))).)))...........,13,-5.467,16,0.000638
110,..........((((..............(((.((((((.((..(.....)..)).)))))).))).))))......,16,-5.456,16,0.000626
111,.......((.((((......((....))(((.((((((.((..((...))..)).)))))).))).)))).))...,21,-5.455,26,0.000625
112,..............((((((........(((.((.(((.((..(.....)..)).))).)).))))))))).....,17,-5.455,2,0.000625
113,..........((......))........((..((((((.((...........)).))))))..))..((...))..,14,-5.453,20,0.000623
114,................((((.((((((.((....((((.......))))....))))))))....)))).......,16,-5.45,39,0.000620
115,..........((......)).....(((....((((((.((..((...))..)).)))))).)))..((...))..,17,-5.447,27,0.000617
116,.......((.((((.......((((((.((.(..(((((.....))))).)..)))))))).....)))).))...,20,-5.447,59,0.000617
117,................((((........((..((((((.((..(.....)..)).))))))..)))))).......,15,-5.447,6,0.000617
118,..((...)).......((((........(((.((((((.((...........)).)))))).))))))).......,17,-5.44,10,0.000609
119,..(.....).((......))........(((.((((((.((..((...))..)).)))))).)))..((...))..,18,-5.44,20,0.000609
120,..........((......))........(((.(((.((.((..((...))..)).)).))).)))...........,14,-5.439,18,0.000609
121,..........((((..............(((.((((((.((..((...))..)).)))))).))).))))......,17,-5.429,18,0.000598
122,.....(((.........)))........(((.((((((.((...........)).)))))).)))...(...)...,15,-5.428,18,0.000597
123,..............((((((........(((.((.(((.((..((...))..)).))).)).))))))))).....,18,-5.428,4,0.000597
124,..........((......))........(((.((.(((.((..(.....)..)).))).)).)))..((...))..,15,-5.424,18,0.000594
125,................((((........((..((((((.((..((...))..)).))))))..)))))).......,16,-5.42,8,0.000589
126,...................(((.(((..((......)).))).)))........(((......)))..........,11,-5.419,45,0.000588
127,..............((((((........(((.((((((.((.(.....)...)).)))))).))))))))).....,18,-5.412,4,0.000581
128,.....(((.........)))........(((.((((((.(.............).)))))).)))..((...))..,15,-5.406,21,0.000575
129,..........((......))........(((.((.(((.((..((...))..)).))).)).)))..((...))..,16,-5.397,20,0.000567
130,..............((((((........(((..(((((.((..(.....)..)).)))))..))))))))).....,17,-5.388,2,0.000558
131,..........((((............(.(((.((((((.((..(.....)..)).)))))).))))))))......,17,-5.384,17,0.000554
132,............................(((.((((((.((...........)).)))))).)))...........,11,-5.383,14,0.000553
133,.......((.((((...((..((((((.((.(..(((((.....))))).)..))))))))..)).)))).))...,22,-5.382,59,0.000553
134,...................(((.(((..((......)).))).)))........((....))..............,10,-5.382,46,0.000552
135,..........((......))........(((.((((((.((.(.....)...)).)))))).)))..((...))..,16,-5.381,20,0.000552
136,.....((...........))........((..((((((.((..(.....)..)).))))))..))..((...))..,15,-5.38,18,0.000550
137,..........((((.......((((((.((....(((((.....)))))....)))))))).....))))......,17,-5.368,53,0.000540
138,..............((((((........(((..(((((.((..((...))..)).)))))..))))))))).....,18,-5.36,4,0.000532
139,..........((......))........(((..(((((.((..(.....)..)).)))))..)))..((...))..,15,-5.357,18,0.000529
140,..........((((............(.(((.((((((.((..((...))..)).)))))).))))))))......,18,-5.356,19,0.000529
141,.....((...........))........((..((((((.((..((...))..)).))))))..))..((...))..,16,-5.352,20,0.000525
142,.......((.((((.....((...))..(((.((((((.((..(.....)..)).)))))).))).)))).))...,20,-5.348,23,0.000522
143,.(....).......((((((........(((.((((((.((..(.....)..)).)))))).))))))))).....,19,-5.344,2,0.000518
144,.......((.((((.......((((((.((.(..((((.......)))).)..)))))))).....)))).))...,19,-5.34,57,0.000515
145,................((((.....(((....((((((.((...........)).)))))).))))))).......,15,-5.334,15,0.000510
146,..(.....).......((((........(((.((((((.((...........)).)))))).))))))).......,16,-5.334,8,0.000510
147,.....(((........).))........(((.((((((.((..(.....)..)).)))))).)))..((...))..,17,-5.334,17,0.000510
148,.....((...........))........(((.((((((.(.............).)))))).)))...........,12,-5.33,18,0.000506
149,..........((......))........(((..(((((.((..((...))..)).)))))..)))..((...))..,16,-5.329,20,0.000505
150,.......((.((((.....((...))..(((.((((((.((..((...))..)).)))))).))).)))).))...,21,-5.321,25,0.000498
151,.(....).......((((((........(((.((((((.((..((...))..)).)))))).))))))))).....,20,-5.316,4,0.000495
152,................((((........(((.(((.((.((...........)).)).))).))))))).......,14,-5.313,8,0.000492
153,.(....)...((......))........(((.((((((.((..(.....)..)).)))))).)))..((...))..,17,-5.313,18,0.000492
154,.....(((........).))........(((.((((((.((..((...))..)).)))))).)))..((...))..,18,-5.307,19,0.000486
155,..........((((...((..((((((.((....(((((.....)))))....))))))))..)).))))......,19,-5.303,53,0.000483
156,...((.......))..((((........(((.((((((.((...........)).)))))).))))))).......,17,-5.297,10,0.000479
157,..........((......))........((..((((((.((..(.....)..)).))))))..))...........,13,-5.293,16,0.000475
158,..........((......))........(((.(((.((.((..(.....)..)).)).))).)))...(...)...,14,-5.286,17,0.000470
159,.(....)...((......))........(((.((((((.((..((...))..)).)))))).)))..((...))..,18,-5.286,20,0.000470
160,.............(((((((........(((.((((((.((..(.....)..)).)))))).))))))))).)...,19,-5.281,2,0.000466
161,...(...)......((((((........(((.((((((.((..(.....)..)).)))))).))))))))).....,19,-5.28,2,0.000465
162,.......((.((((.....(((....)))...((((((.((..(.....)..)).)))))).....)))).))...,18,-5.28,30,0.000465
163,......((.................)).(((.((((((.((..(.....)..)).)))))).)))..((...))..,16,-5.28,18,0.000465
164,...................(((....)))...((((((.((..(.....)..)).))))))......((...))..,14,-5.279,24,0.000464
165,..........((....((((........(((.((((((.(.............).)))))).))))))))).....,16,-5.278,10,0.000464
166,.....((.........((((........(((.((((((.((...........)).)))))).))))))))).....,17,-5.276,8,0.000462
167,.......((.((((...((..((((((.((.(..((((.......)))).)..))))))))..)).)))).))...,21,-5.275,57,0.000461
168,..............(.((((........(((.((((((.((..(.....)..)).)))))).))))))).).....,17,-5.273,2,0.000460
169,..........((......))........((..((((((.((..((...))..)).))))))..))...........,14,-5.266,18,0.000454
170,..((...)).((......))........(((.((((((.((...........)).)))))).)))..((...))..,17,-5.265,22,0.000454
171,..........((((.......((((((.((....((((.......))))....)))))))).....))))......,16,-5.261,51,0.000450
172,.(((((((...........(((....))).......)))...))))........((....)).....((...))..,14,-5.26,55,0.000449
173,..........((......))........(((.(((.((.((..((...))..)).)).))).)))...(...)...,15,-5.259,19,0.000449
174,.............(((((((........(((.((((((.((..((...))..)).)))))).))))))))).)...,20,-5.253,4,0.000445
175,...(...)......((((((........(((.((((((.((..((...))..)).)))))).))))))))).....,20,-5.253,4,0.000444
176,.......((.((((.....(((....)))...((((((.((..((...))..)).)))))).....)))).))...,19,-5.252,32,0.000444
177,......((.................)).(((.((((((.((..((...))..)).)))))).)))..((...))..,17,-5.252,20,0.000444
178,...................(((....)))...((((((.((..((...))..)).))))))......((...))..,15,-5.252,26,0.000443
179,...(...)..((......))........(((.((((((.((..(.....)..)).)))))).)))..((...))..,17,-5.249,18,0.000442
180,.......((.((((..(.(..((((((.((....(((((.....)))))....))))))))..)).)))).))...,21,-5.248,57,0.000440
181,.......((.((((..............(((.((((((.(.............).)))))).))).)))).))...,16,-5.247,24,0.000440
182,.....((...........))........(((.(((.((.((...........)).)).))).)))..((...))..,14,-5.246,20,0.000439
183,..............(.((((........(((.((((((.((..((...))..)).)))))).))))))).).....,18,-5.246,4,0.000439
184,...................(((.(((..((......)).))).)))........(((......)))..(...)...,12,-5.238,46,0.000434
185,..........((......))........(((.((((((.((..(.....)..)).)))))).)))..(.....)..,15,-5.23,15,0.000427
186,...(...)..((......))........(((.((((((.((..((...))..)).)))))).)))..((...))..,18,-5.222,20,0.000422
187,..............(....)........(((.((((((.((...........)).)))))).)))..((...))..,14,-5.217,16,0.000418
188,..............((((((.((((((.((.(..(((((.....))))).)..))))))))....)))))).....,20,-5.212,39,0.000415
189,.......((.((((.....(.....)..(((.((((((.((...........)).)))))).))).)))).))...,18,-5.21,23,0.000413
190,.(........)...((((((........(((.((((((.((..(.....)..)).)))))).))))))))).....,19,-5.206,2,0.000410
191,.......((.((......))))......(((.((((((.((..(.....)..)).)))))).)))..((...))..,18,-5.204,20,0.000409
192,..........((......))........(((.((((((.((..((...))..)).)))))).)))..(.....)..,16,-5.202,17,0.000408
193,............................(((.((((((.((...........)).)))))).)))...(...)...,12,-5.202,15,0.000408
194,..........((......))......(.(((.((((((.((..(.....)..)).)))))).))).).........,15,-5.201,15,0.000407
195,...................(((.(((..((......)).))).)))........((....))......(...)...,11,-5.201,47,0.000407
196,..........((((...((..((((((.((....((((.......))))....))))))))..)).))))......,18,-5.195,51,0.000403
197,..........((......))............((((((.((...........)).))))))......((...))..,12,-5.194,24,0.000402
198,..........((......))......(.(((.((((((.((..(.....)..)).)))))).)))).((...))..,17,-5.186,17,0.000397
199,............................(((.((((((.(.............).)))))).)))..((...))..,12,-5.18,18,0.000393
200,.(........)...((((((........(((.((((((.((..((...))..)).)))))).))))))))).....,20,-5.178,4,0.000392
201,.......((.((......))))......(((.((((((.((..((...))..)).)))))).)))..((...))..,19,-5.177,22,0.000391
202,.......((.((((....(..((((((.((....(((((.....)))))....))))))))..)..)))).))...,20,-5.176,57,0.000390
203,.......((.((((......((....))(((.((((((.((...........)).)))))).))).)))).))...,19,-5.175,26,0.000390
204,.......((.((((............(.(((.((((((.(.............).)))))).)))))))).))...,17,-5.174,25,0.000389
205,..........((......))......(.(((.((((((.((..((...))..)).)))))).))).).........,16,-5.174,17,0.000389
206,..........(........)........(((.((((((.((..(.....)..)).)))))).)))..((...))..,15,-5.171,15,0.000387
207,..........((......)).....(((....((((((.((...........)).)))))).)))..((...))..,15,-5.167,27,0.000384
208,.....(((.........)))........(((.(((.((.((..(.....)..)).)).))).)))..((...))..,16,-5.161,19,0.000380
209,...........((.....))........(((.((((((.((..(.....)..)).)))))).)))..((...))..,16,-5.16,16,0.000380
210,..(.....).((......))........(((.((((((.((...........)).)))))).)))..((...))..,16,-5.159,20,0.000379
211,..........((......))........(((.(((.((.((...........)).)).))).)))...........,12,-5.159,18,0.000379
212,..........((......))......(.(((.((((((.((..((...))..)).)))))).)))).((...))..,18,-5.159,19,0.000379
213,.....((...........))........(((.((((((.(.............).)))))).)))...(...)...,13,-5.15,19,0.000373
214,..........((((..............(((.((((((.((...........)).)))))).))).))))......,15,-5.148,18,0.000372
215,..............((((((........(((.((.(((.((...........)).))).)).))))))))).....,16,-5.148,4,0.000372
216,..........(........)........(((.((((((.((..((...))..)).)))))).)))..((...))..,16,-5.144,17,0.000370
217,.(.........)..((((((........(((.((((((.((..(.....)..)).)))))).))))))))).....,19,-5.143,2,0.000369
218,.......((.((((..(.(..((((((.((....((((.......))))....))))))))..)).)))).))...,20,-5.14,55,0.000367
219,................((((........((..((((((.((...........)).))))))..)))))).......,14,-5.139,8,0.000367
220,.....(((.........)))........(((.(((.((.((..((...))..)).)).))).)))..((...))..,17,-5.133,21,0.000363
221,...........((.....))........(((.((((((.((..((...))..)).)))))).)))..((...))..,17,-5.133,18,0.000363
222,.....(((...........(((.(((..((......)).))).))).........))).........((...))..,13,-5.129,49,0.000360
223,.....((...........))............((((((.((..(.....)..)).))))))......((...))..,13,-5.12,22,0.000355
224,..............((.(((........(((.((((((.((..(.....)..)).)))))).)))))).)).....,17,-5.118,2,0.000354
225,..........((......))........(((.((.(((.((...........)).))).)).)))..((...))..,14,-5.117,20,0.000353
226,.(.........)..((((((........(((.((((((.((..((...))..)).)))))).))))))))).....,20,-5.115,4,0.000352
227,..((...)).....((((((........(((.((((((.(.............).)))))).))))))))).....,18,-5.113,8,0.000351
228,..........((......))........((..((((((.((..(.....)..)).))))))..))...(...)...,14,-5.112,17,0.000351
229,................((((........(((.((.(((.((..(.....)..)).))).)).))))))).......,15,-5.111,6,0.000350
230,..((...)).((......))........(((.((((((.((..(.....)..)).)))))).)))...........,16,-5.105,18,0.000346
231,..............((((((.((((((.((.(..((((.......)))).)..))))))))....)))))).....,19,-5.105,37,0.000346
232,..........((......))........((.((.((....)).)))).......((....)).....((...))..,12,-5.101,47,0.000344
233,..........((......))......(.(((.((((((.((..(.....)..)).)))))).))))..........,15,-5.099,15,0.000343
234,.....((...........)).....(((....((((((.((..(.....)..)).)))))).)))..((...))..,16,-5.094,25,0.000340
235,..............((((((........(((.((((((.((.....(....))).)))))).))))))))).....,18,-5.094,4,0.000340
236,.(((((((...........(((....))).......)))...))))...((((.(((......))).)))).....,17,-5.093,54,0.000339
237,.....((...........))............((((((.((..((...))..)).))))))......((...))..,14,-5.093,24,0.000339
238,.......((.((((..(..(.((((((.((....(((((.....)))))....)))))))))..).)))).))...,21,-5.092,58,0.000338
239,.......((.((.....(((........(((.((((((.((..(.....)..)).)))))).)))))))).))...,19,-5.091,12,0.000338
240,..............((.(((........(((.((((((.((..((...))..)).)))))).)))))).)).....,18,-5.091,4,0.000338
241,.....((...........))........(((.(((.((.((..(.....)..)).)).))).)))...........,13,-5.086,16,0.000335
242,..........((......))........((..((((((.((..((...))..)).))))))..))...(...)...,15,-5.085,19,0.000335
243,................((((........(((.((.(((.((..((...))..)).))).)).))))))).......,16,-5.083,8,0.000334
244,.......((.(.......).))......(((.((((((.((..(.....)..)).)))))).)))..((...))..,17,-5.083,19,0.000333
245,...(.........)..((((........(((.((((((.((..(.....)..)).)))))).))))))).......,17,-5.082,6,0.000333
246,.......((.((((.....(((.(((..((......)).))).)))........((....))....)))).))...,16,-5.082,54,0.000333
247,..............((((((........(((..(((((.((...........)).)))))..))))))))).....,16,-5.08,4,0.000332
248,..((...)).((......))........(((.((((((.((..((...))..)).)))))).)))...........,17,-5.077,20,0.000330
249,..........((......))........(((.((((((.((..(.....)..)).)))))).)))(....).....,15,-5.077,14,0.000330
250,.....(((...........(((....))).......)))...............((....)).....((...))..,10,-5.076,48,0.000330
251,..........((((............(.(((.((((((.((...........)).)))))).))))))))......,16,-5.076,19,0.000330
252,.....((...........))........((..((((((.((...........)).))))))..))..((...))..,14,-5.072,20,0.000327
253,...((............)).........(((.((((((.((..(.....)..)).)))))).)))..((...))..,16,-5.072,16,0.000327
254,..........((......))......(.(((.((((((.((..((...))..)).)))))).))))..........,16,-5.072,17,0.000327
255,.......((.((((....(..((((((.((....((((.......))))....))))))))..)..)))).))...,19,-5.068,55,0.000325
256,................((((........(((.((((((.((.(.....)...)).)))))).))))))).......,16,-5.067,8,0.000325
257,.....((...........)).....(((....((((((.((..((...))..)).)))))).)))..((...))..,17,-5.066,27,0.000324
258,.......((.((.....(((........(((.((((((.((..((...))..)).)))))).)))))))).))...,20,-5.064,14,0.000323
259,..........((......))........(((.((((((.((.....(....))).)))))).)))..((...))..,16,-5.063,20,0.000322
260,..((...))...................(((.((((((.((..(.....)..)).)))))).)))..((...))..,16,-5.061,18,0.000322
261,...................(((.(((..((......)).))).))).....((.(((......))).)).......,13,-5.061,46,0.000322
262,.....((...........))........(((.(((.((.((..((...))..)).)).))).)))...........,14,-5.058,18,0.000320
263,..............(....)........(((.((((((.((..(.....)..)).)))))).)))...........,13,-5.057,12,0.000319
264,.......((.(.......).))......(((.((((((.((..((...))..)).)))))).)))..((...))..,18,-5.055,21,0.000318
265,...(.........)..((((........(((.((((((.((..((...))..)).)))))).))))))).......,18,-5.055,8,0.000318
266,..........((....((((.....(((....((((((.((..(.....)..)).)))))).))))))))).....,18,-5.054,15,0.000318
267,..........((......))........(((.((((((.((..((...))..)).)))))).)))(....).....,16,-5.05,16,0.000315
268,..........((......))........(((..(((((.((...........)).)))))..)))..((...))..,14,-5.049,20,0.000315
269,...((............)).........(((.((((((.((..((...))..)).)))))).)))..((...))..,17,-5.044,18,0.000312
270,.....((...........))........(((.((.(((.((..(.....)..)).))).)).)))..((...))..,15,-5.043,18,0.000312
271,................((((........(((..(((((.((..(.....)..)).)))))..))))))).......,15,-5.043,6,0.000312
272,.......((.((((.....((...))..(((.((((((.((...........)).)))))).))).)))).))...,19,-5.04,25,0.000310
273,..............(.((((........(((.((((((.((..(.....)..)).)))))).))))))))......,17,-5.037,4,0.000309
274,.(....).......((((((........(((.((((((.((...........)).)))))).))))))))).....,18,-5.036,4,0.000308
275,..((...))...................(((.((((((.((..((...))..)).)))))).)))..((...))..,17,-5.034,20,0.000307
276,..........((....((((........(((.(((.((.((..(.....)..)).)).))).))))))))).....,17,-5.034,8,0.000307
277,..........((......))............((((((.((..(.....)..)).))))))...............,11,-5.034,20,0.000307
278,..............(....)........(((.((((((.((..((...))..)).)))))).)))...........,14,-5.029,14,0.000305
279,..........((....((((.....(((....((((((.((..((...))..)).)))))).))))))))).....,19,-5.027,17,0.000303
280,.....(((........).))........(((.((((((.((...........)).)))))).)))..((...))..,16,-5.026,19,0.000303
281,.....((...........))........(((.((.(((.((..((...))..)).))).)).)))..((...))..,16,-5.016,20,0.000298
282,................((((........(((..(((((.((..((...))..)).)))))..))))))).......,16,-5.015,8,0.000298
283,..............(.((((........(((.((((((.((..((...))..)).)))))).))))))))......,18,-5.01,6,0.000295
284,..............((((((.....(((....((((((.(.............).)))))).))))))))).....,16,-5.008,13,0.000294
285,..(.....).....((((((........(((.((((((.(.............).)))))).))))))))).....,17,-5.008,6,0.000294
