,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
0,..............((((((........(((.((((((.((..(.....)..)).)))))).))))))))).....,18,-7.189,0,0.011671
1,..............((((((........(((.((((((.((..((...))..)).)))))).))))))))).....,19,-7.162,2,0.011143
2,..........((......))........(((.((((((.((..(.....)..)).)))))).)))..((...))..,16,-7.158,16,0.011078
3,..........((......))........(((.((((((.((..((...))..)).)))))).)))..((...))..,17,-7.131,18,0.010576
4,..............((((((........(((.((((((.((...........)).)))))).))))))))).....,17,-6.881,2,0.006943
5,..........((......))........(((.((((((.((...........)).)))))).)))..((...))..,15,-6.851,18,0.006590
6,................((((........(((.((((((.((..(.....)..)).)))))).))))))).......,16,-6.845,4,0.006524
7,................((((........(((.((((((.((..((...))..)).)))))).))))))).......,17,-6.817,6,0.006228
8,.....((...........))........(((.((((((.((..(.....)..)).)))))).)))..((...))..,16,-6.777,16,0.005821
9,.....((...........))........(((.((((((.((..((...))..)).)))))).)))..((...))..,17,-6.75,18,0.005557
10,..........((......))........(((.((((((.((..(.....)..)).)))))).)))...........,14,-6.69,14,0.005029
11,..........((......))........(((.((((((.((..((...))..)).)))))).)))...........,15,-6.663,16,0.004802
12,................((((........(((.((((((.((...........)).)))))).))))))).......,15,-6.537,6,0.003881
13,..........((......))........(((.((((((.((..(.....)..)).)))))).)))...(...)...,15,-6.51,15,0.003708
14,..........((......))........(((.((((((.((..((...))..)).)))))).)))...(...)...,16,-6.482,17,0.003540
15,.....((...........))........(((.((((((.((...........)).)))))).)))..((...))..,15,-6.469,18,0.003463
16,.....(((.........)))........(((.((((((.((..(.....)..)).)))))).)))..((...))..,17,-6.385,17,0.003001
17,..........((......))........(((.((((((.((...........)).)))))).)))...........,13,-6.383,16,0.002992
18,.....(((.........)))........(((.((((((.((..((...))..)).)))))).)))..((...))..,18,-6.357,19,0.002865
19,.....((...........))........(((.((((((.((..(.....)..)).)))))).)))...........,14,-6.309,14,0.002643
20,.....((...........))........(((.((((((.((..((...))..)).)))))).)))...........,15,-6.282,16,0.002523
21,..........((....((((........(((.((((((.((..(.....)..)).)))))).))))))))).....,18,-6.257,6,0.002420
22,..........((....((((........(((.((((((.((..((...))..)).)))))).))))))))).....,19,-6.23,8,0.002311
23,.......((.((((..............(((.((((((.((..(.....)..)).)))))).))).)))).))...,18,-6.225,20,0.002294
24,..............((((((........(((.((((((.(.............).)))))).))))))))).....,16,-6.21,4,0.002236
25,..........((......))........(((.((((((.((...........)).)))))).)))...(...)...,14,-6.202,17,0.002206
26,.......((.((((..............(((.((((((.((..((...))..)).)))))).))).)))).))...,19,-6.198,22,0.002190
27,..........((......))........(((.((((((.(.............).)))))).)))..((...))..,14,-6.179,20,0.002123
28,............................(((.((((((.((..(.....)..)).)))))).)))..((...))..,14,-6.158,14,0.002049
29,.......((.((((............(.(((.((((((.((..(.....)..)).)))))).)))))))).))...,19,-6.153,21,0.002031
30,.......((.((((.......((((((.((....(((((.....)))))....)))))))).....)))).))...,19,-6.138,57,0.001978
31,............................(((.((((((.((..((...))..)).)))))).)))..((...))..,15,-6.131,16,0.001956
32,.....((...........))........(((.((((((.((..(.....)..)).)))))).)))...(...)...,15,-6.129,15,0.001948
33,.......((.((((............(.(((.((((((.((..((...))..)).)))))).)))))))).))...,20,-6.126,23,0.001939
34,.....((...........))........(((.((((((.((..((...))..)).)))))).)))...(...)...,16,-6.101,17,0.001860
35,..((...)).....((((((........(((.((((((.((..(.....)..)).)))))).))))))))).....,20,-6.092,4,0.001832
