,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
98,...(...)..((.((((..............)))).))....(....)......((((......))))........,12,-6.343,4,0.001029
99,.(....)...((.((((..............)))).)).................(((......))).........,10,-6.338,4,0.001021
100,..((...)).((.((((..............)))).))....(....).......(((......))).(...)...,13,-6.337,6,0.001018
101,..........((.((((..............)))).))....(....)........((......)).((...))..,11,-6.326,6,0.001000
102,..........((.(((((.(.......)..))))).))....(....).....(((.....)))...((...))..,14,-6.304,19,0.000964
103,..((...)).((.((((..............)))).))....(....).......(((......)))((...))..,14,-6.289,8,0.000939
104,..........((.((((..(......)....)))).))....(....).......(((......))).........,11,-6.288,2,0.000937
105,...(...)..((.(((((............))))).))....(....).......(((......))).........,12,-6.288,4,0.000937
106,.(....)...((.((((..............)))).))....(....).....(((.....)))...((...))..,13,-6.282,17,0.000928
107,..(((...(.((.((((..............)))).)).)...))).........(((......))).........,13,-6.281,10,0.000927
108,.............((((..............)))).......(....).......(((......))).........,8,-6.28,4,0.000925
109,...(...)..((.((((..............)))).)).................(((......))).........,10,-6.275,4,0.000917
110,..........((.((((..............)))).))..(.(....)..)....(((......))).........,11,-6.274,2,0.000916
111,..........((.(((((............))))).))...(((........)))(((......))).........,13,-6.255,9,0.000887
112,..........((.(((((............))))).))...............(((.....)))....(...)...,11,-6.252,17,0.000882
113,..........((.((((..(.........).)))).))....(....).....(((.....)))............,11,-6.239,13,0.000863
114,..........((.((((..............)))).))....(....)........((......))..........,9,-6.239,2,0.000863
115,..(.....).((.((((..............)))).))....(....).......(((......))).(...)...,12,-6.231,4,0.000852
116,..........((.((((..............))))..))...(....).......(((......))).(...)...,11,-6.229,7,0.000849
117,...(...)..((.((((..............)))).))....(....).....(((.....)))...((...))..,13,-6.218,17,0.000834
118,..........((.(((................))).))....(....).....(((.....)))............,9,-6.218,13,0.000833
119,.....((((....((....)).......))))..........(....).......(((......))).(...)...,11,-6.212,23,0.000825
120,..........((.((((..(.........).)))).))................((((......))))........,11,-6.212,6,0.000824
121,..........((.((((..............)))).))....(....).....(((.....)))...(.....)..,11,-6.199,13,0.000806
122,..........((.((((..............)))).))..(.....).......((((......))))........,11,-6.193,6,0.000798
123,..........((.((((..............)))).))....(..........).(((......))).........,10,-6.192,3,0.000798
124,..........((.(((................))).))................((((......))))........,9,-6.191,6,0.000796
125,..(.....).((.((((..............)))).))....(....).......(((......)))((...))..,13,-6.183,6,0.000786
126,..........((.((((..............))))..))...(....).......(((......)))((...))..,12,-6.181,9,0.000783
127,.....((((....((....)).......))))..........(....).......(((......)))((...))..,12,-6.164,25,0.000761
128,....((.((.((.((((..............)))).))...)).)).........(((......))).........,13,-6.158,9,0.000753
129,..........((.((((..............)))).)).((....)).......((((......))))........,12,-6.143,8,0.000734
130,..........((.(((((............))))).))..(.....)........(((......))).........,11,-6.137,6,0.000727
131,..........((.((((..............)))).))......((........((((......))))...))...,12,-6.13,8,0.000718
132,...((.....((.((((..............)))).))........)).......(((......))).........,11,-6.122,5,0.000709
133,..........((.(((((.(......)...))))).))....(....)......((((......))))........,13,-6.106,6,0.000690
134,..........((.(((((............))))).))....((........))((((......))))........,13,-6.104,9,0.000688
135,..........((.(((((.(.......)..))))).))....(....).......(((......))).(...)...,13,-6.099,6,0.000682
136,..........((.((((..............)))).))...((..........))(((......))).........,11,-6.09,5,0.000672
137,..........((.((((..............)))).))....(....).......(.....).....((...))..,10,-6.089,11,0.000671
138,..........((.(((((............))))).)).((....))........(((......))).........,12,-6.087,8,0.000668
139,..........((.((((..(.........).)))).))...............(((.....)))...((...))..,12,-6.087,19,0.000668
140,..........((.((((..............)))).))....((........)).(((......))).(...)...,12,-6.082,7,0.000663
141,.(....)...((.((((..............)))).))....(....).......(((......))).(...)...,12,-6.077,4,0.000657
142,..((...)).((.((((..............)))).))....(....).....(((.....)))............,12,-6.074,15,0.000653
143,..........((.((((..............)))).))..(.....)......(((.....)))...((...))..,12,-6.068,19,0.000646
144,..........((.(((................))).))...............(((.....)))...((...))..,10,-6.066,19,0.000645
145,..((...)).((.(((((............))))).))....(....)......((((......))))........,14,-6.06,8,0.000638
146,..........((.((((..(.........).)))).))....(....).....(((.....)))....(...)...,12,-6.058,15,0.000636
147,..........((.((((..............)))).))....(....)........((......))..(...)...,10,-6.058,4,0.000636
148,..........((.((((..............)))).))....(....)............................,7,-6.053,6,0.000630
149,..........((.(((((.(.......)..))))).))....(....).......(((......)))((...))..,14,-6.052,8,0.000629
150,........(.((.((((..............)))).)).)..(....)......((((......))))........,12,-6.05,4,0.000628
151,..((...)).((.((((..............)))).))................((((......))))........,12,-6.047,8,0.000624
152,.....((((...................))))..........(....)......((((......))))........,9,-6.043,21,0.000620
153,..........((.(((((.(......)...))))).)).................(((......))).........,11,-6.037,6,0.000614
154,..........((.(((................))).))....(....).....(((.....)))....(...)...,10,-6.037,15,0.000614
155,..........((.((((..............)))).))....(....)......(((........)))........,10,-6.035,4,0.000612
156,..........((.((((..............)))).))....((........)).(((......)))((...))..,13,-6.034,9,0.000611
157,..........((.((((.......(.....))))).))....(....).......(((......))).........,11,-6.032,2,0.000609
158,.(....)...((.((((..............)))).))....(....).......(((......)))((...))..,13,-6.029,6,0.000606
159,...((.....((.((((..............)))).)).....))..........(((......))).........,11,-6.021,6,0.000597
160,..........((.((((..............)))).)).((....))......(((.....)))...((...))..,13,-6.018,21,0.000594
161,..........((.(((((............))))).))..............((((((......))))....))..,13,-6.014,10,0.000591
162,...(...)..((.((((..............)))).))....(....).......(((......))).(...)...,12,-6.013,4,0.000590
163,..........((.(((((............))))).))..............((((((......)))....)))..,13,-6.001,10,0.000577
164,.....((((...................)))).....(....)............(((......))).........,8,-5.998,21,0.000575
165,.....((((....((....)).......))))..(.(.....).)..........(((......))).........,11,-5.995,24,0.000572
166,........(.((.(((((............))))).)).)..(....).......(((......))).........,12,-5.995,4,0.000572
167,.......((.((.((((..............)))).))...))...........((((......))))........,12,-5.993,7,0.000570
168,..((...)).((.(((((............))))).)).................(((......))).........,12,-5.991,8,0.000568
169,........(.((.((((..............)))).)).)...............(((......))).........,10,-5.981,4,0.000559
170,..........((.(((((.(......)...))))).))....(....).....(((.....)))...((...))..,14,-5.981,19,0.000559
171,..........((.((((..............)))).))...(((........)))(((......))).(...)...,13,-5.98,9,0.000558
172,..........((.(((((............))))).))....(....).......((........)).........,10,-5.979,4,0.000557
173,..........((.(((((............))))).))................((((......))))(...)...,12,-5.976,8,0.000554
174,.....((((...................)))).......................(((......))).........,7,-5.974,21,0.000552
175,..(.....).((.((((..............)))).))....(....).....(((.....)))............,11,-5.968,13,0.000547
176,..........((.((((..............))))..))...(....).....(((.....)))............,10,-5.966,16,0.000545
177,..........((.((((..............)))).)).................((........)).........,8,-5.966,4,0.000545
178,...(...)..((.((((..............)))).))....(....).......(((......)))((...))..,13,-5.965,6,0.000544
179,..(((.....((.((((..............)))).)).....)))........((((......))))........,13,-5.959,10,0.000539
180,..........((.((((..............)))).)).......((....))..(((......))).........,11,-5.956,6,0.000536
181,..(.....).((.(((((............))))).))....(....)......((((......))))........,13,-5.954,6,0.000534
182,..........((.(((((............)))))..))...(....)......((((......))))........,12,-5.952,9,0.000532
183,.....((((....((....)).......))))..........(....).....(((.....)))............,10,-5.949,32,0.000530
184,.....((((....((....)).......)))).....(....)...........((((......))))........,11,-5.946,25,0.000527
185,..........((.((((..............)))).))....(....).......(((......)))(.....)..,11,-5.946,2,0.000526
186,..(.....).((.((((..............)))).))................((((......))))........,11,-5.941,6,0.000522
187,..........((.((((..............)))).))....(..........)((((......))))........,11,-5.94,5,0.000521
188,..........((.((((..............))))..))...............((((......))))........,10,-5.939,9,0.000520
189,..........((.((((..............)))).))....(((........(((.....)))..))).......,12,-5.939,17,0.000520
190,.......((.((.(((((............))))).))...))............(((......))).........,12,-5.937,7,0.000519
191,..((...)).((.(((((............))))).))....(....).....(((.....)))...((...))..,15,-5.935,21,0.000517
192,..........((.((((..............)))).))...(((........)))(((......)))((...))..,14,-5.932,11,0.000515
193,..........((.((((..(.......)...)))).))....(....)......((((......))))........,12,-5.932,4,0.000515
194,..........((.(((....((........))))).))....(....).......(((......))).........,11,-5.929,5,0.000512
195,.....(.((.((.((((..............)))).))...)).)..........(((......))).........,12,-5.926,7,0.000509
196,........(.((.((((..............)))).)).)..(....).....(((.....)))...((...))..,13,-5.925,17,0.000508
197,.....((((....((....)).......))))......................((((......))))........,10,-5.922,25,0.000506
198,..((...)).((.((((..............)))).))...............(((.....)))...((...))..,13,-5.922,21,0.000505
199,.....((((...................))))..........(....).....(((.....)))...((...))..,10,-5.918,34,0.000502
200,..........((.(((((............))))).))....(....)...................((...))..,10,-5.914,12,0.000499
201,..(((.....((.(((((............))))).)).....))).........(((......))).........,13,-5.904,10,0.000491
202,.....((....(.((((..............)))).)))...(....).......(((......))).........,11,-5.901,5,0.000488
203,.....(....((.((((..............)))).)))...(....).......(((......))).........,11,-5.901,2,0.000488
204,..........((.((((..............)))).)).............................((...))..,8,-5.9,12,0.000488
205,..........((.((((..............)))).))...(((........)))............((...))..,11,-5.897,17,0.000485
206,...........(.((((..............)))).).....(....)......((((......))))........,10,-5.895,4,0.000483
207,..((...)).((.((((..............)))).))....(....).....(((.....)))....(...)...,13,-5.893,17,0.000482
208,..(((..((.((.((((..............)))).))...))))).........(((......))).........,14,-5.891,11,0.000480
209,..(.....).((.(((((............))))).)).................(((......))).........,11,-5.885,6,0.000475
210,..........((.(((((............))))).))....(....).....(((((......))))....)...,13,-5.884,6,0.000474
211,..........((.(((((............)))))..))................(((......))).........,10,-5.884,9,0.000474
212,..........((.((((..(.........).)))).)).................(((......))).(...)...,11,-5.882,6,0.000472
213,..........((.((((..............)))).)).........(......((((......))))....)...,11,-5.881,5,0.000472
214,.....((((...................))))..((((....(....).....(((.....))).)))).......,12,-5.88,33,0.000471
215,..........((.((((..............)))).))....(....)........(....).....((...))..,10,-5.876,11,0.000468
216,..........((.((((..............)))).))....(....)....................(...)...,8,-5.872,8,0.000465
217,..........((.((((..............)))).))...............(((((......))))....)...,11,-5.871,6,0.000464
218,..........((.(((((............))))).))....(....).....(((((......)))....))...,13,-5.87,6,0.000463
219,.......((.((.((((..............)))).))...))..........(((.....)))...((...))..,13,-5.868,20,0.000462
220,..........((.((((..(.......)...)))).)).................(((......))).........,10,-5.864,4,0.000458
221,..........((.((((..............)))).))..(.....)........(((......))).(...)...,11,-5.863,6,0.000457
222,..........((.(((................))).)).................(((......))).(...)...,9,-5.861,6,0.000456
223,..........((.((((..............)))).))..((...)).......((((......))))........,12,-5.858,8,0.000454
224,..........((.((((..............)))).))...............(((((......)))....))...,11,-5.857,6,0.000453
225,..........((.((((..............)))).)).(..(....)..)....(((......))).........,11,-5.856,2,0.000452
226,..........((.((..................)).))....(....).......(((......))).........,8,-5.856,4,0.000452
227,..........((.((((..............)))).))....(....).....((.....)).....((...))..,11,-5.848,14,0.000446
228,.(...)....((.((((..............)))).))....(....)......((((......))))........,12,-5.844,4,0.000444
229,...........(.(((((............))))).).....(....).......(((......))).........,10,-5.84,4,0.000440
230,..........((.(((((.(.......)..))))).))....(....).....(((.....)))............,12,-5.836,15,0.000438
231,..........((.((((..............)))).))......((.......(((.....))).......))...,11,-5.836,17,0.000437
232,..(((.....((.((((..............)))).)).....))).......(((.....)))...((...))..,14,-5.834,23,0.000436
233,..........((.((((..(.........).)))).)).................(((......)))((...))..,12,-5.834,8,0.000436
234,..(.....).((.(((((............))))).))....(....).....(((.....)))...((...))..,14,-5.829,19,0.000432
235,..........((.((((..............)))).))...(....)........(((......))).........,10,-5.828,4,0.000431
236,..........((.(((((............)))))..))...(....).....(((.....)))...((...))..,13,-5.827,22,0.000431
237,...........(.((((..............)))).)..................(((......))).........,8,-5.827,4,0.000430
238,.....((((....((....)).......)))).....(....)..........(((.....)))...((...))..,12,-5.821,38,0.000426
239,..........((.((((..(.........).)))).))....(....)....((((((......))))....))..,14,-5.821,8,0.000426
240,..(.....).((.((((..............)))).))...............(((.....)))...((...))..,12,-5.816,19,0.000423
241,..........((.((((..............)))).))..(.....)........(((......)))((...))..,12,-5.815,8,0.000422
242,..........((.((((..............))))..))..............(((.....)))...((...))..,11,-5.814,22,0.000421
243,.(....)...((.((((..............)))).))....(....).....(((.....)))............,11,-5.814,13,0.000421
244,..........((.(((((.(.........)))))).))....(....).......(((......))).........,12,-5.814,4,0.000421
245,..........((.(((................))).)).................(((......)))((...))..,10,-5.813,8,0.000421
246,..........((.((((..............)))).)).((....))........(((......))).(...)...,12,-5.813,8,0.000420
247,..........((.(((((.(.......)..))))).))................((((......))))........,12,-5.809,8,0.000418
248,..........((.((((..(.......)...)))).))....(....).....(((.....)))...((...))..,13,-5.807,17,0.000417
249,..........((.((((..(.........).)))).))....(....)....((((((......)))....)))..,14,-5.807,8,0.000417
250,..........((.(((((............))))).))...............(((.....))).(....).....,11,-5.804,16,0.000414
251,..........((.(((((............))))).))..((...))........(((......))).........,12,-5.802,8,0.000413
252,.(....)...((.(((((............))))).))....(....)......((((......))))........,13,-5.8,6,0.000412
253,..........((.(((................))).))....(....)....((((((......))))....))..,12,-5.8,8,0.000411
254,..........((.((((((....)......))))).))....(....).......(((......))).........,12,-5.798,4,0.000410
255,..((...)).((.((((..(.........).)))).))....(....).......(((......))).........,13,-5.798,6,0.000410
256,.....((((....((....)).......)))).....................(((.....)))...((...))..,11,-5.797,38,0.000410
257,...((...(.((.((((..............)))).)).)...))..........(((......))).........,12,-5.791,8,0.000405
258,.(...)....((.(((((............))))).))....(....).......(((......))).........,12,-5.789,4,0.000404
259,..(.....).((.((((..............)))).))....(....).....(((.....)))....(...)...,12,-5.787,15,0.000403
260,.(....)...((.((((..............)))).))................((((......))))........,11,-5.787,6,0.000403
261,..........((.(((................))).))....(....)....((((((......)))....)))..,12,-5.786,8,0.000402
262,..........((.((((..............))))..))...(....).....(((.....)))....(...)...,11,-5.786,18,0.000402
263,..........((.((((..(.........).)))).))....(....)......((((......))))(...)...,13,-5.782,6,0.000399
264,..((...)).((.(((................))).))....(....).......(((......))).........,11,-5.777,6,0.000396
265,..........((.(((((.(......)...))))).))....(....).......(((......))).(...)...,13,-5.776,6,0.000395
266,.(...)....((.((((..............)))).)).................(((......))).........,10,-5.776,4,0.000395
267,...........(.((((..............)))).).....(....).....(((.....)))...((...))..,11,-5.77,17,0.000391
268,.....((((....((....)).......))))..........(....).....(((.....)))....(...)...,11,-5.769,34,0.000390
269,..........((.((((..............)))).)).((....))........(((......)))((...))..,13,-5.765,10,0.000388
270,..........((.(((................))).))....(....)......((((......))))(...)...,11,-5.761,6,0.000386
271,...(...)..((.((((..............)))).))....(....).....(((.....)))............,11,-5.75,13,0.000378
272,..........((.((((..(....)......)))).))....(....).......(((......))).........,11,-5.746,2,0.000376
273,..........((.((((..............)))).))....(....).............(.(....).).....,9,-5.745,10,0.000375
274,..........((.((((..(......)....)))).))....(....)......((((......))))........,12,-5.736,4,0.000370
275,...(...)..((.(((((............))))).))....(....)......((((......))))........,13,-5.736,6,0.000370
276,..........((.((((..............)))).))..((...))......(((.....)))...((...))..,13,-5.733,21,0.000367
277,.(....)...((.(((((............))))).)).................(((......))).........,11,-5.731,6,0.000367
278,..((...)).((.(((((............))))).))....(....).......(((......))).(...)...,14,-5.73,8,0.000366
279,..(((...(.((.((((..............)))).)).)...)))........((((......))))........,14,-5.729,12,0.000365
280,.............((((..............)))).......(....)......((((......))))........,9,-5.729,6,0.000365
281,..........((.(((((.(......)...))))).))....(....).......(((......)))((...))..,14,-5.728,8,0.000365
282,.............((....)).....(((......)))....(....).......(((......))).........,9,-5.726,18,0.000363
283,...(...)..((.((((..............)))).))................((((......))))........,11,-5.723,6,0.000361
284,..........((.((((..............)))).))..(.(....)..)...((((......))))........,12,-5.722,4,0.000361
285,........(.((.((((..............)))).)).)..(....).......(((......))).(...)...,12,-5.72,4,0.000360
286,.(...)....((.((((..............)))).))....(....).....(((.....)))...((...))..,13,-5.719,17,0.000359
287,..........((.(((((............))))).))....(....)........((......)).((...))..,12,-5.719,8,0.000359
288,..((...)).((.((((..............)))).)).................(((......))).(...)...,12,-5.717,8,0.000358
289,.....((((...................))))..........(....).......(((......))).(...)...,9,-5.713,21,0.000355
290,..........((.((((..............)))).))....(....).....(((.....)))..(...).....,11,-5.713,12,0.000355
291,..........((.((((..............)))).))..................((......)).((...))..,10,-5.706,8,0.000351
292,...(.((((....((....)).......)))).)........(....).......(((......))).........,11,-5.705,22,0.000351
293,..........((.((((..............)))).))....(....).......((........)).(...)...,10,-5.705,4,0.000351
294,..........((.((((..............)))).)).......((....)).((((......))))........,12,-5.704,8,0.000350
295,.......((.((.((((..............))))..))..))............(((......))).........,11,-5.701,10,0.000348
296,..(.....).((.((((..(.........).)))).))....(....).......(((......))).........,12,-5.692,4,0.000343
297,..........((.((((..(.........).))))..))...(....).......(((......))).........,11,-5.69,7,0.000342
298,..........((.((((..............)))).))....(....).....((.......))...((...))..,11,-5.688,14,0.000341
299,..........((.((((..............)))).))..(....).........(((......))).........,10,-5.687,4,0.000340
300,..........((.(((((.(.......)..))))).))...............(((.....)))...((...))..,13,-5.684,21,0.000338
301,.............((((..............))))..(....)............(((......))).........,8,-5.684,6,0.000338
302,..((...)).((.(((((............))))).))....(....).......(((......)))((...))..,15,-5.682,10,0.000337
303,...((..((.((.((((..............)))).))...))...)).......(((......))).........,13,-5.679,8,0.000336
304,.....((((....((....)).......))))....(.....)............(((......))).........,10,-5.677,23,0.000334
305,.(....)...((.(((((............))))).))....(....).....(((.....)))...((...))..,14,-5.675,19,0.000333
306,..(((...(.((.(((((............))))).)).)...))).........(((......))).........,14,-5.674,12,0.000333
307,.............(((((............))))).......(....).......(((......))).........,9,-5.673,6,0.000332
308,........(.((.((((..............)))).)).)..(....).......(((......)))((...))..,13,-5.672,6,0.000332
309,..(.....).((.(((................))).))....(....).......(((......))).........,10,-5.671,4,0.000331
310,..........((.(((................)))..))...(....).......(((......))).........,9,-5.669,7,0.000330
311,..((...)).((.((((..............)))).)).................(((......)))((...))..,13,-5.669,10,0.000330
312,..........((.((((..(......)....)))).)).................(((......))).........,10,-5.668,4,0.000329
313,...(...)..((.(((((............))))).)).................(((......))).........,11,-5.668,6,0.000329
314,..........((.(((((............))))).))..(.(....)..)....(((......))).........,12,-5.667,4,0.000329
315,.....((((...................))))..........(....).......(((......)))((...))..,10,-5.665,23,0.000328
316,.......((.((.((((..............)))).))...))............(((......))).(...)...,12,-5.663,7,0.000327
317,.(....)...((.((((..............)))).))...............(((.....)))...((...))..,12,-5.662,19,0.000326
318,..........((.((((..............)))).))....((........))((((......))))(...)...,13,-5.661,9,0.000326
319,.............((((..............))))....................(((......))).........,7,-5.66,6,0.000325
320,..........((.((((..............)))).))....(....).......((........))((...))..,11,-5.657,6,0.000323
321,..........((.(((((.(.......)..))))).))....(....).....(((.....)))....(...)...,13,-5.656,17,0.000323
322,..((...)).((.((((..............)))).))....(....)....((((((......))))....))..,15,-5.656,10,0.000323
323,..........((.((((..............)))).)).(......)........(((......))).........,10,-5.653,4,0.000321
324,..((...)).((.((((..............)))).))....(....)....((((((......)))....)))..,15,-5.642,10,0.000315
325,.............((....)).....((((...).)))....(....).......(((......))).........,10,-5.641,19,0.000315
326,.(....)...((.((((..............)))).))....(....).....(((.....)))....(...)...,12,-5.633,15,0.000311
327,..........((.(((((............))))).))....(....)........((......))..........,10,-5.632,4,0.000310
328,..(((.....((.((((..............)))).)).....))).........(((......))).(...)...,13,-5.63,10,0.000309
