,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
0,..........((.((((..............)))).))....(....).......(((......))).........,10,-8.804,0,0.065495
1,..........((.((((..............)))).))....(....)......((((......))))........,11,-8.252,2,0.025821
2,..........((.(((((............))))).))....(....).......(((......))).........,11,-8.197,2,0.023513
3,..........((.((((..............)))).)).................(((......))).........,9,-8.184,2,0.022997
4,..........((.((((..............)))).))....(....).....(((.....)))...((...))..,12,-8.127,15,0.020910
5,..........((.((((..............)))).))....(....).......(((......))).(...)...,11,-7.922,2,0.014797
6,..........((.((((..............)))).))....(....).......(((......)))((...))..,12,-7.874,4,0.013648
7,..........((.((((..............)))).))....(....).....(((.....)))............,10,-7.659,11,0.009493
8,..........((.(((((............))))).))....(....)......((((......))))........,12,-7.645,4,0.009270
9,..........((.((((..............)))).))................((((......))))........,10,-7.632,4,0.009066
10,..........((.(((((............))))).)).................(((......))).........,10,-7.577,4,0.008256
11,..........((.(((((............))))).))....(....).....(((.....)))...((...))..,13,-7.52,17,0.007507
12,..........((.((((..............)))).))...............(((.....)))...((...))..,11,-7.507,17,0.007342
13,..........((.((((..............)))).))....(....).....(((.....)))....(...)...,11,-7.479,13,0.006998
14,..........((.((((..(.........).)))).))....(....).......(((......))).........,11,-7.383,2,0.005956
15,..........((.(((................))).))....(....).......(((......))).........,9,-7.362,2,0.005750
16,..........((.(((((............))))).))....(....).......(((......))).(...)...,12,-7.315,4,0.005312
17,..........((.((((..............)))).)).................(((......))).(...)...,10,-7.302,4,0.005196
18,..........((.(((((............))))).))....(....).......(((......)))((...))..,13,-7.268,6,0.004900
19,..........((.((((..............)))).)).................(((......)))((...))..,11,-7.254,6,0.004792
20,..........((.((((..............)))).))....(....)....((((((......))))....))..,13,-7.241,6,0.004686
21,..........((.((((..............)))).))....(....)....((((((......)))....)))..,13,-7.228,6,0.004581
22,..((...)).((.((((..............)))).))....(....).......(((......))).........,12,-7.218,4,0.004508
23,..........((.((((..............)))).))....(....)......((((......))))(...)...,12,-7.203,4,0.004391
24,..(.....).((.((((..............)))).))....(....).......(((......))).........,11,-7.112,2,0.003771
25,..........((.((((..............))))..))...(....).......(((......))).........,10,-7.111,5,0.003760
26,.....((((....((....)).......))))..........(....).......(((......))).........,10,-7.094,21,0.003653
27,..........((.(((((............))))).))....(....).....(((.....)))............,11,-7.052,13,0.003408
28,..........((.((((..............)))).))...............(((.....)))............,9,-7.039,13,0.003333
29,..........((.((((..............)))).))....(....).....(((.....))).(....).....,11,-7.031,12,0.003286
30,..........((.(((((............))))).))................((((......))))........,11,-7.025,6,0.003255
31,..........((.(((((.(.......)..))))).))....(....).......(((......))).........,12,-6.981,4,0.003019
32,..........((.((((..............)))).))....((........)).(((......))).........,11,-6.963,5,0.002933
33,.(....)...((.((((..............)))).))....(....).......(((......))).........,11,-6.958,2,0.002908
34,..........((.(((((............))))).))...............(((.....)))...((...))..,12,-6.9,19,0.002636
35,...(...)..((.((((..............)))).))....(....).......(((......))).........,11,-6.895,2,0.002611
36,..........((.(((((............))))).))....(....).....(((.....)))....(...)...,12,-6.872,15,0.002512
37,..........((.((((..............)))).))...(((........)))(((......))).........,12,-6.862,7,0.002470
38,..........((.((((..............)))).))...............(((.....)))....(...)...,10,-6.859,15,0.002457
39,..........((.((((..(.........).)))).))....(....)......((((......))))........,12,-6.832,4,0.002348
40,..........((.(((................))).))....(....)......((((......))))........,10,-6.811,4,0.002267
41,..........((.((((..(.........).)))).)).................(((......))).........,10,-6.763,4,0.002091
42,..........((.((((..............)))).))..(.....)........(((......))).........,10,-6.744,4,0.002025
43,..........((.(((................))).)).................(((......))).........,8,-6.742,4,0.002019
44,..........((.((((..............)))).))....((........))((((......))))........,12,-6.711,7,0.001915
45,..........((.((((..(.........).)))).))....(....).....(((.....)))...((...))..,13,-6.707,17,0.001902
46,..........((.(((((............))))).)).................(((......))).(...)...,11,-6.695,6,0.001865
47,..........((.((((..............)))).)).((....))........(((......))).........,11,-6.694,6,0.001861
48,..........((.(((................))).))....(....).....(((.....)))...((...))..,11,-6.686,17,0.001836
49,..((...)).((.((((..............)))).))....(....)......((((......))))........,13,-6.667,6,0.001777
50,..........((.(((((.(......)...))))).))....(....).......(((......))).........,12,-6.658,4,0.001750
51,..........((.(((((............))))).)).................(((......)))((...))..,12,-6.647,8,0.001720
52,..........((.(((((............))))).))....(....)....((((((......))))....))..,14,-6.634,8,0.001682
53,..........((.((((..............)))).))..............((((((......))))....))..,12,-6.621,8,0.001646
54,..........((.(((((............))))).))....(....)....((((((......)))....)))..,14,-6.621,8,0.001645
55,..((...)).((.(((((............))))).))....(....).......(((......))).........,13,-6.611,6,0.001618
56,..........((.((((..............)))).))..............((((((......)))....)))..,12,-6.608,8,0.001609
57,........(.((.((((..............)))).)).)..(....).......(((......))).........,11,-6.602,2,0.001592
58,..((...)).((.((((..............)))).)).................(((......))).........,11,-6.598,6,0.001583
59,..........((.(((((............))))).))....(....)......((((......))))(...)...,13,-6.596,6,0.001577
60,.....((((...................))))..........(....).......(((......))).........,8,-6.594,19,0.001573
61,..........((.((((..............)))).))....(....).......((........)).........,9,-6.586,2,0.001552
62,..........((.((((..............)))).))................((((......))))(...)...,11,-6.583,6,0.001542
63,..(.....).((.((((..............)))).))....(....)......((((......))))........,12,-6.561,4,0.001487
64,..........((.((((..............))))..))...(....)......((((......))))........,11,-6.559,7,0.001482
65,.......((.((.((((..............)))).))...))............(((......))).........,11,-6.544,5,0.001446
66,.....((((....((....)).......))))..........(....)......((((......))))........,11,-6.542,23,0.001440
67,..((...)).((.((((..............)))).))....(....).....(((.....)))...((...))..,14,-6.542,19,0.001439
68,..........((.((((..............)))).))....(....)...................((...))..,9,-6.521,10,0.001389
69,..(((.....((.((((..............)))).)).....))).........(((......))).........,12,-6.511,8,0.001366
70,..(.....).((.(((((............))))).))....(....).......(((......))).........,12,-6.505,4,0.001354
71,..........((.(((((............)))))..))...(....).......(((......))).........,11,-6.504,7,0.001350
72,..........((.((((..(.........).)))).))....(....).......(((......))).(...)...,12,-6.502,4,0.001346
73,.....((((....((....)).......)))).....(....)............(((......))).........,10,-6.497,23,0.001336
74,..(.....).((.((((..............)))).)).................(((......))).........,10,-6.492,4,0.001324
75,..........((.((((..............)))).))....(....).....(((((......))))....)...,12,-6.491,4,0.001320
76,..........((.((((..............))))..))................(((......))).........,9,-6.491,7,0.001320
77,..........((.((((..(.......)...)))).))....(....).......(((......))).........,11,-6.484,2,0.001305
78,..........((.(((................))).))....(....).......(((......))).(...)...,10,-6.481,4,0.001299
79,..........((.((((..............)))).))....(....).....(((((......)))....))...,12,-6.477,4,0.001291
80,.....((((....((....)).......)))).......................(((......))).........,9,-6.474,23,0.001283
81,..........((.((((..(.........).)))).))....(....).......(((......)))((...))..,13,-6.454,6,0.001241
82,...........(.((((..............)))).).....(....).......(((......))).........,9,-6.447,2,0.001226
83,..(.....).((.((((..............)))).))....(....).....(((.....)))...((...))..,13,-6.436,17,0.001204
84,..........((.((((..............))))..))...(....).....(((.....)))...((...))..,12,-6.434,20,0.001200
85,..........((.(((................))).))....(....).......(((......)))((...))..,11,-6.433,6,0.001198
86,..........((.(((((............))))).))...............(((.....)))............,10,-6.432,15,0.001197
87,..........((.(((((.(.......)..))))).))....(....)......((((......))))........,13,-6.429,6,0.001190
88,..........((.(((((............))))).))....(....).....(((.....))).(....).....,12,-6.424,14,0.001180
89,.....((((....((....)).......))))..........(....).....(((.....)))...((...))..,12,-6.417,36,0.001166
90,..........((.((((..............)))).))...............(((.....))).(....).....,10,-6.411,14,0.001154
91,..........((.((((..............)))).))..((...))........(((......))).........,11,-6.409,6,0.001150
92,.(....)...((.((((..............)))).))....(....)......((((......))))........,12,-6.407,4,0.001146
93,.(...)....((.((((..............)))).))....(....).......(((......))).........,11,-6.396,2,0.001125
94,.....((((....((....)).......))))..((((....(....).....(((.....))).)))).......,14,-6.379,35,0.001094
95,..........((.(((((.(.......)..))))).)).................(((......))).........,11,-6.361,6,0.001060
96,..........((.(((((............))))).))....((........)).(((......))).........,12,-6.357,7,0.001053
97,.(....)...((.(((((............))))).))....(....).......(((......))).........,12,-6.351,4,0.001044
