,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
0,..........(((.(((.....))).)))......((.(......).)).....(((.....)))..((...))..,14,-8.716,0,0,0.034527
1,..........(((.(((.....))).)))........((((...))))......(((.....)))..((...))..,15,-8.503,11,0,0.024097
2,..........(((.(((.....))).)))......((.((....)).)).....(((.....)))..((...))..,15,-8.494,2,0,0.023720
3,..........(((.(((.....))).)))......((.(......).)).....(((.....)))...........,12,-8.248,4,0,0.015675
4,..........(((.(((.....))).)))..................((((...(((.....))))))).......,13,-8.141,14,0,0.013081
5,..........(((.(((.....))).)))......((.(.(...)).)).....(((.....)))..((...))..,15,-8.118,2,0,0.012594
6,..........(((.(((.....))).)))......((.(......).)).....(((.....)))...(...)...,13,-8.067,2,0,0.011556
7,..........(((.(((.....))).)))........((((...))))......(((.....)))...........,13,-8.035,15,0,0.010940
8,..........(((.(((.....))).)))........(((.....)))......(((.....)))..((...))..,14,-8.03,9,0,0.010843
9,..........(((.(((.....))).)))......((.((....)).)).....(((.....)))...........,13,-8.026,6,0,0.010769
10,..........(((.(((.....))).)))((((....))))......((((...(((.....))))))).......,17,-7.859,21,0,0.008131
11,..........(((.(((.....))).)))........((((...))))......(((.....)))...(...)...,14,-7.854,13,0,0.008065
12,..........(((.(((.....))).)))......((.((....)).)).....(((.....)))...(...)...,14,-7.845,4,0,0.007939
13,..........(((.(((.....))).)))...........(...)..((((...(((.....))))))).......,14,-7.845,16,0,0.007934
14,..........(((.(((.....))).)))........((((...))))..((..(((.....))))).........,15,-7.654,19,0,0.005755
15,..........(((.(((.....))).)))......((.(.(...)).)).....(((.....)))...........,13,-7.651,6,0,0.005717
16,..........(((.(((.....))).)))......((.(......).))..(..(((.....))).).........,13,-7.566,6,0,0.004960
17,..........(((.(((.....))).)))........(((.....)))......(((.....)))...........,12,-7.562,13,0,0.004923
18,..........(((.(((.....))).)))......((.(.(...)).)).....(((.....)))...(...)...,14,-7.47,4,0,0.004215
19,..........(((.(((.....))).))).......(.(......).)......(((.....)))..((...))..,13,-7.444,2,0,0.004038
20,..........(((.(((.....))).))).........(.....)..((((...(((.....))))))).......,14,-7.408,15,0,0.003794
21,..........(((.(((.....))).)))........(((.....)))......(((.....)))...(...)...,13,-7.381,11,0,0.003629
