,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
0,..........((((......))))......(.(((((.....))))).)...(((....))).....((...))..,15,-8.172,0,0,0.019023
1,..........((((......))))........(((((.....))))).....(((....))).....((...))..,14,-7.927,2,0,0.012590
2,..........((((......))))......(.(((((.....))))).)...(((....)))..............,13,-7.704,4,0,0.008636
3,..........((((......))))......(.(((((.....))))).)...(((....)))......(...)...,14,-7.523,2,0,0.006367
4,.......((.((((....((...(((((....(((((.....)))))..........)))))..)))))).))...,18,-7.475,35,0,0.005864
5,..........((((......))))........(((((.....))))).....(((....)))..............,12,-7.46,6,0,0.005716
6,..........((((......))))......(.(((((.....))))).)..((((....))))....((...))..,16,-7.404,2,0,0.005204
7,.......((.((((.........(((((....(((((.....)))))..........)))))....)))).))...,16,-7.343,31,0,0.004695
8,..........((((......))))......(.((((.......)))).)...(((....))).....((...))..,14,-7.334,2,0,0.004620
9,..........((((......))))........((....))......(((((((....))).))))..((...))..,15,-7.331,29,0,0.004597
10,..........((((......))))........(((((.....))))).....(((....)))......(...)...,13,-7.279,4,0,0.004214
11,..........((((......))))......(.(((((.....))))).)...(((....)))...(....).....,14,-7.209,6,0,0.003744
12,..........((((......))))........(((((.....)))))....((((....))))....((...))..,15,-7.16,4,0,0.003444
13,..........((((......))))........((((.......)))).....(((....))).....((...))..,13,-7.089,4,0,0.003058
14,..........((((......))))..........(((.........)))...(((....))).....((...))..,12,-7.055,13,0,0.002885
15,..........((((......))))........(((((.....))))).....(((....)))...(....).....,13,-6.964,8,0,0.002478
16,..........((((......))))..........((.....))...(((((((....))).))))..((...))..,15,-6.94,28,0,0.002377
17,..........((((......))))......(.(((((.....))))).)..((((....)))).............,14,-6.936,6,0,0.002363
18,..........((((......))))......(.(((((.....))))).)...((......)).....((...))..,14,-6.92,2,0,0.002299
19,..........(((........)))......(.(((((.....))))).)...(((....))).....((...))..,14,-6.899,2,0,0.002218
20,..........((((......))))......(.((((.......)))).)...(((....)))..............,12,-6.866,6,0,0.002098
21,..........((((......))))........((....))......(((((((....))).))))...........,13,-6.863,33,0,0.002087
22,..........((((......))))........((....))...((((.((.((((....))))...)).))))...,16,-6.848,25,0,0.002036
23,..........((((......))))......................(((((((....))).))))..((...))..,13,-6.788,27,0,0.001840
24,..........((((......))))...((.....))..........(((((((....))).))))..((...))..,15,-6.761,29,0,0.001758
25,..........((((......))))......(.(((((.....))))).)..((((....)))).....(...)...,15,-6.756,4,0,0.001742
26,..........((((....((...(((((....(((((.....)))))..........)))))..))))))......,16,-6.705,32,0,0.001600
27,..........((((......))))........(((((.....)))))....((((....)))).............,13,-6.692,8,0,0.001564
28,..........((((......))))......(.((((.......)))).)...(((....)))......(...)...,13,-6.685,4,0,0.001546
29,..........((((......)))).........((((.....))))(((((((....))).))))..((...))..,17,-6.682,19,0,0.001539
30,..........((((......))))........((....))......(((((((....))).))))...(...)...,14,-6.682,31,0,0.001539
31,..........((((......))))........(((((.....))))).....((......)).....((...))..,13,-6.676,4,0,0.001522
32,..........((((......))))........((....))......(((((.........)))))..((...))..,13,-6.673,26,0,0.001515
33,..........(((........)))........(((((.....))))).....(((....))).....((...))..,13,-6.654,4,0,0.001468
