,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
0,.......((((................)))).......((.....)).(((..(((((...)))))..))).....,14,-9.845,0,0,0.029662
1,.......((((................))))......(((.....)))(((..(((((...)))))..))).....,15,-9.806,2,0,0.027813
2,.......((((................)))).................(((..(((((...)))))..))).....,12,-9.673,4,0,0.022197
3,.......((((((..........))..)))).......((.....)).(((..(((((...)))))..))).....,16,-9.598,4,0,0.019561
4,.......((((((..........))..))))......(((.....)))(((..(((((...)))))..))).....,17,-9.56,6,0,0.018342
5,.......((((.((...........)))))).......((.....)).(((..(((((...)))))..))).....,16,-9.505,4,0,0.016718
6,.......((((.((...........))))))......(((.....)))(((..(((((...)))))..))).....,17,-9.467,6,0,0.015676
7,.......((((((..........))..)))).................(((..(((((...)))))..))).....,14,-9.426,8,0,0.014638
8,.......((((.((...........)))))).................(((..(((((...)))))..))).....,14,-9.333,8,0,0.012510
9,.......((((................))))........((....)).(((..(((((...)))))..))).....,14,-9.156,5,0,0.009275
10,.......((((((.(.....)..))..)))).......((.....)).(((..(((((...)))))..))).....,17,-9.144,6,0,0.009089
11,.......((((((.(.....)..))..))))......(((.....)))(((..(((((...)))))..))).....,18,-9.106,8,0,0.008522
12,.......((((((.(.....)..))..)))).................(((..(((((...)))))..))).....,15,-8.972,10,0,0.006801
13,.......((((................)))).......((.....)).(((..((((.....))))..))).....,13,-8.954,2,0,0.006601
14,.......((((................))))......(((.....)))(((..((((.....))))..))).....,14,-8.916,4,0,0.006190
15,.......((((((..........))..))))........((....)).(((..(((((...)))))..))).....,16,-8.909,9,0,0.006117
16,.......((((.((...........))))))........((....)).(((..(((((...)))))..))).....,16,-8.816,9,0,0.005228
17,.......((((................)))).................(((..((((.....))))..))).....,11,-8.783,6,0,0.004940
18,.......((((..(..........)..)))).......((.....)).(((..(((((...)))))..))).....,15,-8.74,2,0,0.004594
19,.......((((..((........))..)))).......((.....)).(((..(((((...)))))..))).....,16,-8.732,4,0,0.004537
20,.......((((((..........))..)))).......((.....)).(((..((((.....))))..))).....,15,-8.708,6,0,0.004353
21,.......((((..(..........)..))))......(((.....)))(((..(((((...)))))..))).....,16,-8.701,4,0,0.004308
22,.......((((..((........))..))))......(((.....)))(((..(((((...)))))..))).....,17,-8.694,6,0,0.004254
23,.......((((................))))......(((.....))).((..(((((...)))))..))......,14,-8.683,4,0,0.004177
24,.......(((.((..........))...))).......((.....)).(((..(((((...)))))..))).....,15,-8.682,6,0,0.004171
25,.......((((((..........))..))))......(((.....)))(((..((((.....))))..))).....,16,-8.67,8,0,0.004082
26,.......(((.((..........))...)))......(((.....)))(((..(((((...)))))..))).....,16,-8.644,8,0,0.003911
27,.......((((................)))).........((...)).(((..(((((...)))))..))).....,14,-8.621,6,0,0.003761
28,.......((((.((...........)))))).......((.....)).(((..((((.....))))..))).....,15,-8.615,6,0,0.003721
29,.......((((.((...........))))))......(((.....)))(((..((((.....))))..))).....,16,-8.576,8,0,0.003489
30,.......((((.(.............))))).......((.....)).(((..(((((...)))))..))).....,15,-8.572,2,0,0.003463
31,.......((((..(..........)..)))).................(((..(((((...)))))..))).....,13,-8.568,6,0,0.003438
32,.......((((..((........))..)))).................(((..(((((...)))))..))).....,14,-8.56,8,0,0.003395
33,.......((((((..........))..)))).................(((..((((.....))))..))).....,13,-8.536,10,0,0.003258
34,.......((((.(.............)))))......(((.....)))(((..(((((...)))))..))).....,16,-8.534,4,0,0.003247
35,.......((((................)))).......((.....))..((..(((((...)))))..))......,13,-8.516,2,0,0.003149
36,.......(((.((..........))...))).................(((..(((((...)))))..))).....,13,-8.511,10,0,0.003122
37,.......((((((.(.....)..))..))))........((....)).(((..(((((...)))))..))).....,17,-8.455,11,0,0.002842
38,.......((((.((...........)))))).................(((..((((.....))))..))).....,13,-8.443,10,0,0.002784
39,.....(.((((................))))..)....((.....)).(((..(((((...)))))..))).....,15,-8.44,2,0,0.002773
40,.......((((((..........))..))))......(((.....))).((..(((((...)))))..))......,16,-8.437,8,0,0.002755
41,.....(.((((................))))..)...(((.....)))(((..(((((...)))))..))).....,16,-8.402,4,0,0.002600
42,.......((((.(.............))))).................(((..(((((...)))))..))).....,13,-8.4,6,0,0.002591
43,.......((((((..........))..)))).........((...)).(((..(((((...)))))..))).....,16,-8.374,10,0,0.002480
44,.......(((..................))).......((.....)).(((..(((((...)))))..))).....,13,-8.35,2,0,0.002382
45,.......((((.((...........))))))......(((.....))).((..(((((...)))))..))......,16,-8.344,8,0,0.002354
46,.......(((..................)))......(((.....)))(((..(((((...)))))..))).....,14,-8.312,4,0,0.002234
47,.......((((.((...........)))))).........((...)).(((..(((((...)))))..))).....,16,-8.281,10,0,0.002120
48,.......((((................))))............(((...))).(((((...)))))..........,12,-8.28,13,0,0.002116
49,.......((((((..........))..)))).......((.....))..((..(((((...)))))..))......,15,-8.269,6,0,0.002077
50,.....(.((((................))))..)..............(((..(((((...)))))..))).....,13,-8.269,6,0,0.002075
51,.......((((................))))........((....)).(((..((((.....))))..))).....,13,-8.266,7,0,0.002064
52,.......((((((.(.....)..))..)))).......((.....)).(((..((((.....))))..))).....,16,-8.254,8,0,0.002023
53,.......((((..(...........).)))).......((.....)).(((..(((((...)))))..))).....,15,-8.241,2,0,0.001981
54,.......(((.((.(.....)..))...))).......((.....)).(((..(((((...)))))..))).....,16,-8.228,8,0,0.001938
55,.......((((((.(.....)..))..))))......(((.....)))(((..((((.....))))..))).....,17,-8.215,10,0,0.001897
56,.......((((................))))..(.....)........(((..(((((...)))))..))).....,13,-8.21,5,0,0.001878
57,.......((((..(...........).))))......(((.....)))(((..(((((...)))))..))).....,16,-8.203,4,0,0.001858
58,......................(((...................))).(((..(((((...)))))..))).....,11,-8.201,16,0,0.001851
59,.....(.((((((..........))..))))..)....((.....)).(((..(((((...)))))..))).....,17,-8.194,6,0,0.001828
60,.......(((.((.(.....)..))...)))......(((.....)))(((..(((((...)))))..))).....,17,-8.19,10,0,0.001817
61,.......((((................)))).........(.....).(((..(((((...)))))..))).....,13,-8.185,5,0,0.001802
62,.......(((..................))).................(((..(((((...)))))..))).....,11,-8.179,6,0,0.001783
63,.......((((.((...........)))))).......((.....))..((..(((((...)))))..))......,15,-8.176,6,0,0.001775
64,.....(.((((((..........))..))))..)...(((.....)))(((..(((((...)))))..))).....,18,-8.156,8,0,0.001714
65,.......(((..((...........)).))).......((.....)).(((..(((((...)))))..))).....,15,-8.145,6,0,0.001685
66,...........((..........)).............((.....)).(((..(((((...)))))..))).....,12,-8.143,12,0,0.001679
67,.......((((.(..........)...)))).......((.....)).(((..(((((...)))))..))).....,15,-8.141,2,0,0.001672
68,.......(((..((...........)).)))......(((.....)))(((..(((((...)))))..))).....,16,-8.107,8,0,0.001580
69,...........((..........))............(((.....)))(((..(((((...)))))..))).....,13,-8.105,14,0,0.001574
70,.......((((.(..........)...))))......(((.....)))(((..(((((...)))))..))).....,16,-8.103,4,0,0.001568
71,.....(.((((.((...........))))))..)....((.....)).(((..(((((...)))))..))).....,17,-8.101,6,0,0.001563
72,.......((((................))))...............(.(((..(((((...)))))..)))...).,13,-8.099,5,0,0.001558
73,.......((((((.(.....)..))..)))).................(((..((((.....))))..))).....,14,-8.082,12,0,0.001514
74,.......((((..(...........).)))).................(((..(((((...)))))..))).....,13,-8.07,6,0,0.001483
75,.....(.((((.((...........))))))..)...(((.....)))(((..(((((...)))))..))).....,18,-8.063,8,0,0.001465
76,.......((((................))))........(.....)..(((..(((((...)))))..))).....,13,-8.061,2,0,0.001463
77,.......(((.((.(.....)..))...))).................(((..(((((...)))))..))).....,14,-8.056,12,0,0.001450
78,.......((((..(..........)..))))........((....)).(((..(((((...)))))..))).....,15,-8.051,7,0,0.001437
79,.......((((..((........))..))))........((....)).(((..(((((...)))))..))).....,16,-8.043,9,0,0.001419
80,.......((((((..........))..))))............(((...))).(((((...)))))..........,14,-8.034,17,0,0.001396
81,.....(.((((((..........))..))))..)..............(((..(((((...)))))..))).....,15,-8.022,10,0,0.001368
82,.......((((................)))).......(....)....(((..(((((...)))))..))).....,13,-8.021,5,0,0.001365
83,.......((((((..........))..))))........((....)).(((..((((.....))))..))).....,15,-8.019,11,0,0.001361
84,.........(.((..........)).)...........((.....)).(((..(((((...)))))..))).....,13,-7.998,13,0,0.001315
85,.......(((.((..........))...)))........((....)).(((..(((((...)))))..))).....,15,-7.994,11,0,0.001304
86,.......((((................))))..........(....).(((..(((((...)))))..))).....,13,-7.993,5,0,0.001302
87,.......((((((.(.....)..))..))))......(((.....))).((..(((((...)))))..))......,17,-7.982,10,0,0.001280
88,.......(((..((...........)).))).................(((..(((((...)))))..))).....,13,-7.973,10,0,0.001261
89,...........((..........)).......................(((..(((((...)))))..))).....,10,-7.971,16,0,0.001256
90,.......((((.(..........)...)))).................(((..(((((...)))))..))).....,13,-7.969,6,0,0.001251
91,.......((((((..........))..))))..(.....)........(((..(((((...)))))..))).....,15,-7.963,9,0,0.001239
92,.........(.((..........)).)..........(((.....)))(((..(((((...)))))..))).....,14,-7.96,15,0,0.001233
93,.......((((((.(......).))..)))).......((.....)).(((..(((((...)))))..))).....,17,-7.96,6,0,0.001233
94,.......((((.((...........))))))............(((...))).(((((...)))))..........,14,-7.941,17,0,0.001193
95,.......((((((..........))..)))).........(.....).(((..(((((...)))))..))).....,15,-7.938,9,0,0.001188
96,.....(.((((.((...........))))))..)..............(((..(((((...)))))..))).....,15,-7.929,10,0,0.001169
97,.......((((.((...........))))))........((....)).(((..((((.....))))..))).....,15,-7.926,11,0,0.001163
98,.......((((((.(......).))..))))......(((.....)))(((..(((((...)))))..))).....,18,-7.922,8,0,0.001156
99,.......((((((.(.....)..))..)))).........((...)).(((..(((((...)))))..))).....,17,-7.92,12,0,0.001152
100,.......((((................)))).......(......)..(((..(((((...)))))..))).....,13,-7.885,4,0,0.001086
101,.......((((.(.............)))))........((....)).(((..(((((...)))))..))).....,15,-7.883,7,0,0.001083
102,.......((((.((...........))))))..(.....)........(((..(((((...)))))..))).....,15,-7.87,9,0,0.001059
103,.......((((................)))).........(....)..(((..(((((...)))))..))).....,13,-7.869,5,0,0.001057
104,.......((((((..........))..))))...............(.(((..(((((...)))))..)))...).,15,-7.852,9,0,0.001027
105,.......((((..(..........)..)))).......((.....)).(((..((((.....))))..))).....,14,-7.849,4,0,0.001022
106,.......((((.((...........)))))).........(.....).(((..(((((...)))))..))).....,15,-7.845,9,0,0.001015
107,.......((((..((........))..)))).......((.....)).(((..((((.....))))..))).....,15,-7.842,6,0,0.001010
108,...............(((.............)))....((.....)).(((..(((((...)))))..))).....,13,-7.84,14,0,0.001006
109,.......((((................))))..................((..(((((...)))))..))......,11,-7.837,6,0,0.001002
110,.......((((................))))........((....))..((..(((((...)))))..))......,13,-7.827,7,0,0.000985
111,.........(.((..........)).).....................(((..(((((...)))))..))).....,11,-7.827,17,0,0.000984
112,.......((((((.(.....)..))..)))).......((.....))..((..(((((...)))))..))......,16,-7.815,8,0,0.000965
113,.......((((((..........))..))))........(.....)..(((..(((((...)))))..))).....,15,-7.815,6,0,0.000965
114,....((.((((................))))..))...((.....)).(((..(((((...)))))..))).....,16,-7.814,4,0,0.000963
115,.......((((..(..........)..))))......(((.....)))(((..((((.....))))..))).....,15,-7.811,6,0,0.000959
116,.......((((..((........))..))))......(((.....)))(((..((((.....))))..))).....,16,-7.804,8,0,0.000947
117,...............(((.............)))...(((.....)))(((..(((((...)))))..))).....,14,-7.802,16,0,0.000944
118,.......((((................))))......(((.....))).((..((((.....))))..))......,13,-7.793,6,0,0.000930
119,.........((((..........)).))..........((.....)).(((..(((((...)))))..))).....,14,-7.792,13,0,0.000929
120,.......(((.((..........))...))).......((.....)).(((..((((.....))))..))).....,14,-7.792,8,0,0.000928
121,.......((((((.(......).))..)))).................(((..(((((...)))))..))).....,15,-7.788,10,0,0.000922
122,....((.((((................))))..))..(((.....)))(((..(((((...)))))..))).....,17,-7.776,6,0,0.000903
123,.......((((((..........))..)))).......(....)....(((..(((((...)))))..))).....,15,-7.774,9,0,0.000900
124,.......((((.((...........))))))...............(.(((..(((((...)))))..)))...).,15,-7.759,9,0,0.000878
125,.........((((..........)).)).........(((.....)))(((..(((((...)))))..))).....,15,-7.754,15,0,0.000871
126,.......(((.((..........))...)))......(((.....)))(((..((((.....))))..))).....,15,-7.754,10,0,0.000870
127,.....(.((((................))))..).....((....)).(((..(((((...)))))..))).....,15,-7.752,7,0,0.000867
128,.......((((((..........))..))))..........(....).(((..(((((...)))))..))).....,15,-7.746,9,0,0.000859
129,.....(.((((((.(.....)..))..))))..)....((.....)).(((..(((((...)))))..))).....,18,-7.74,8,0,0.000850
130,.......((((................)))).........((...)).(((..((((.....))))..))).....,13,-7.731,8,0,0.000837
131,.......((((.((...........))))))........(.....)..(((..(((((...)))))..))).....,15,-7.722,6,0,0.000824
132,.......((((................)))).......(.......).(((..(((((...)))))..))).....,13,-7.72,2,0,0.000822
133,.....(.((((((.(.....)..))..))))..)...(((.....)))(((..(((((...)))))..))).....,19,-7.701,10,0,0.000797
