,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
0,.........((((.(((((......)))))...))))...(((....)))(((..((.......))..))).....,17,-7.839,0,0,0.025472
1,.........((((.(((((......)))))...))))...(((....)))((((((........))).))).....,18,-7.785,7,0,0.023238
2,.........((((.(((((......)))))...))))...(((....)))(((.((........))..))).....,17,-7.513,5,0,0.014695
3,.........((((.(((((......)))))...)))).............(((..((.......))..))).....,14,-7.212,6,0,0.008830
4,.........(((..(((((......)))))....)))...(((....)))(((..((.......))..))).....,16,-7.159,2,0,0.008078
5,.........((((.(((((......)))))...)))).............((((((........))).))).....,15,-7.157,13,0,0.008056
6,.........(((..(((((......)))))....)))...(((....)))((((((........))).))).....,17,-7.104,9,0,0.007370
7,.........((((.((((........))))...))))...(((....)))(((..((.......))..))).....,16,-7.041,2,0,0.006620
8,.........((((.(((((......)))))...))))...(((....)))...(((........))).........,15,-7.028,13,0,0.006477
9,.........((((.((((........))))...))))...(((....)))((((((........))).))).....,17,-6.986,9,0,0.006039
10,.........((((.(((((......)))))...))))....((....)).(((..((.......))..))).....,16,-6.965,2,0,0.005823
11,.........((((.(((((......)))))...))))...(((....)))((.(((........)))..)).....,17,-6.926,9,0,0.005457
12,.........((((.(((((......)))))...))))....((....)).((((((........))).))).....,17,-6.91,9,0,0.005312
13,.........((((.(((((......)))))...)))).............(((.((........))..))).....,14,-6.886,11,0,0.005094
14,.........((((.(((((......)))))...))))...(((....)))(((...............))).....,15,-6.876,4,0,0.005012
15,.........(((..(((((......)))))....)))...(((....)))(((.((........))..))).....,16,-6.833,7,0,0.004660
16,.........((((.(((((......)))))...))))........(((..(((..((.......))..))).))).,17,-6.81,11,0,0.004484
17,.........((((.(((((......)))))...))))........(((..((((((........))).))).))).,18,-6.756,18,0,0.004091
18,..............(((((......))))).....((((((((....)))................))))).....,13,-6.731,23,0,0.003924
19,.........((((.(((((......)))))...))))...(((....))).((..((.......))..))......,16,-6.716,2,0,0.003826
20,.........((((.((((........))))...))))...(((....)))(((.((........))..))).....,16,-6.715,7,0,0.003819
21,.........((((.(((((......)))))...))))...(((....)))..(((((............)).))).,17,-6.689,15,0,0.003654
22,.........((((.(((((......)))))...))))...(((....))).(((((........))).))......,17,-6.662,9,0,0.003490
23,.........((((.(((((......)))))...))))....((....)).(((.((........))..))).....,16,-6.639,7,0,0.003360
24,.......(.((((.(((((......)))))...)))))..(((....)))(((..((.......))..))).....,18,-6.54,2,0,0.002841
25,.........(((..(((((......)))))....))).............(((..((.......))..))).....,13,-6.531,8,0,0.002800
26,.......(.((((.(((((......)))))...)))))..(((....)))((((((........))).))).....,19,-6.485,9,0,0.002592
27,.........((((.(((((......)))))...))))........(((..(((.((........))..))).))).,17,-6.484,16,0,0.002587
28,.........(((..(((((......)))))....))).............((((((........))).))).....,14,-6.477,15,0,0.002555
29,.........((((.(((((......)))))...))))...(((....)))...(((.............)))....,15,-6.466,13,0,0.002511
30,..............(((((......)))))..........(((....)))(((..((.......))..))).....,13,-6.434,8,0,0.002377
31,.........((((.((((........))))...)))).............(((..((.......))..))).....,13,-6.413,8,0,0.002295
32,.........((((.(((((......)))))...))))...(((....))).((.((........))..))......,16,-6.39,7,0,0.002207
33,..............(((((......)))))..........(((....)))((((((........))).))).....,14,-6.38,15,0,0.002168
34,.........(((..((((........))))....)))...(((....)))(((..((.......))..))).....,15,-6.36,4,0,0.002099
35,.........((((.((((........))))...)))).............((((((........))).))).....,14,-6.359,15,0,0.002094
36,.........((((.(((((......)))))...))))...(((....)))..(((.................))).,15,-6.348,15,0,0.002055
37,.........(((..(((((......)))))....)))...(((....)))...(((........))).........,14,-6.348,15,0,0.002054
38,.........(((..((((........))))....)))...(((....)))((((((........))).))).....,16,-6.306,11,0,0.001915
39,.........((((.(((((......)))))...)))).............((.(((........)))..)).....,14,-6.299,15,0,0.001892
40,.........((((.(((((......)))))...))))...(((....)))(((((..........)).))).....,17,-6.295,7,0,0.001879
41,.........(((..(((((......)))))....)))....((....)).(((..((.......))..))).....,15,-6.284,4,0,0.001847
42,.........((((.(((((......)))))...)))).............(((...............))).....,12,-6.248,10,0,0.001737
43,.........(((..(((((......)))))....)))...(((....)))((.(((........)))..)).....,16,-6.246,11,0,0.001731
44,.........(((..(((((......)))))....)))....((....)).((((((........))).))).....,16,-6.23,11,0,0.001685
45,.........((((.((((........))))...))))...(((....)))...(((........))).........,14,-6.23,15,0,0.001683
46,.........((((.(((((......)))))...))))...(((....)))....((........))..........,14,-6.216,11,0,0.001645
47,.......(.((((.(((((......)))))...)))))..(((....)))(((.((........))..))).....,18,-6.214,7,0,0.001639
48,.........(((..(((((......)))))....))).............(((.((........))..))).....,13,-6.205,13,0,0.001616
49,.........(((..(((((......)))))....)))...(((....)))(((...............))).....,14,-6.196,6,0,0.001590
50,.....(..(((((.(((((......)))))...)))))..).........(((..((.......))..))).....,16,-6.195,9,0,0.001587
51,.........((((.(((..........)))...))))...(((....)))(((..((.......))..))).....,15,-6.184,4,0,0.001559
52,.........((((.(((((......)))))...))))...(((....)))..........................,12,-6.172,10,0,0.001527
53,.........((((.((((........))))...))))....((....)).(((..((.......))..))).....,15,-6.167,4,0,0.001513
54,..........(((.(((((......)))))...)))....(((....)))(((..((.......))..))).....,16,-6.157,2,0,0.001490
55,......(.(((((.(((((......)))))...)))))..).........(((..((.......))..))).....,16,-6.153,9,0,0.001478
56,.........((((.(((((......)))))...))))...(((....)))(((..(.........)..))).....,16,-6.141,2,0,0.001450
57,.....(..(((((.(((((......)))))...)))))..).........((((((........))).))).....,17,-6.14,16,0,0.001448
58,..............(((((......))))).....((((.(((....)))...(((........))))))).....,15,-6.138,24,0,0.001442
59,.........(((..(((((......)))))....)))........(((..(((..((.......))..))).))).,16,-6.13,13,0,0.001422
60,.........((((.(((..........)))...))))...(((....)))((((((........))).))).....,16,-6.13,11,0,0.001422
61,.........((((.((((........))))...))))...(((....)))((.(((........)))..)).....,16,-6.128,11,0,0.001418
62,.........((((.(((((......)))))...))))........((...(((..((.......))..)))..)).,16,-6.114,10,0,0.001386
63,.......((((((.(((((......)))))...))))..)).........(((..((.......))..))).....,16,-6.114,9,0,0.001384
64,.........((((.((((........))))...))))....((....)).((((((........))).))).....,16,-6.112,11,0,0.001381
65,..............(((((......)))))..........(((....)))(((.((........))..))).....,13,-6.108,13,0,0.001371
66,..........(((.(((((......)))))...)))....(((....)))((((((........))).))).....,17,-6.103,9,0,0.001359
67,......(.(((((.(((((......)))))...)))))..).........((((((........))).))).....,17,-6.098,16,0,0.001348
68,.........((((.(((((......)))))...)))).......((((..(((..((.......))..))).)))),18,-6.09,13,0,0.001331
69,.........((((.((((........))))...)))).............(((.((........))..))).....,13,-6.087,13,0,0.001324
70,.........((((.((((........))))...))))...(((....)))(((...............))).....,14,-6.078,6,0,0.001303
71,.........(((..(((((......)))))....)))........(((..((((((........))).))).))).,17,-6.075,20,0,0.001297
72,..............(((((......))))).....(((..(((....)))...(((........))).))).....,14,-6.068,22,0,0.001282
73,.........((((.(((((......)))))...))))........((...((((((........))).)))..)).,17,-6.06,17,0,0.001265
74,.......((((((.(((((......)))))...))))..)).........((((((........))).))).....,17,-6.059,16,0,0.001262
75,.........((((.(((((......)))))...))))....((....)).((.(((........)))..)).....,16,-6.052,11,0,0.001248
76,..............(((((......)))))......((..(((....))).)).......................,10,-6.039,19,0,0.001219
77,.........((((.(((((......)))))...)))).......((((..((((((........))).))).)))),19,-6.036,20,0,0.001214
78,.........(((..(((((......)))))....)))...(((....))).((..((.......))..))......,15,-6.036,4,0,0.001213
79,.........(((..((((........))))....)))...(((....)))(((.((........))..))).....,15,-6.035,9,0,0.001211
80,.........((((.(((((......)))))...))))...(((....)))(((.(..........)..))).....,16,-6.023,5,0,0.001188
81,.........((((.((((........))))...))))........(((..(((..((.......))..))).))).,16,-6.012,13,0,0.001165
82,.........(((..(((((......)))))....)))...(((....)))..(((((............)).))).,16,-6.008,17,0,0.001159
83,.........((((.(((((......)))))...))))....((....)).(((...............))).....,14,-6.002,6,0,0.001146
84,......((((....(((((......)))))..(((.((..(((....))).))...)))...))))..........,17,-5.993,27,0,0.001130
85,.........(((..(((((......)))))....)))...(((....))).(((((........))).))......,16,-5.981,11,0,0.001107
86,.........(((..(((((......)))))....)))....((....)).(((.((........))..))).....,15,-5.959,9,0,0.001065
87,.........((((.((((........))))...))))........(((..((((((........))).))).))).,17,-5.957,20,0,0.001063
88,.........(((................)))....((((((((....)))................))))).....,11,-5.955,34,0,0.001059
89,..............((((........)))).....((((((((....)))................))))).....,12,-5.933,25,0,0.001020
90,.........((((.(((((......)))))...))))...(((....))).....((.......))..........,14,-5.927,6,0,0.001010
91,.........((((.(((((......)))))...)))).....(....)..(((..((.......))..))).....,15,-5.926,4,0,0.001009
92,.........((((.((((........))))...))))...(((....))).((..((.......))..))......,15,-5.918,4,0,0.000994
93,.......(.((((.(((((......)))))...)))))............(((..((.......))..))).....,15,-5.912,8,0,0.000985
94,.........((((.(((((......)))))...))))........(((..((.(((........)))..)).))).,17,-5.897,20,0,0.000961
95,..(.....).....(((((......))))).....((((((((....)))................))))).....,14,-5.893,25,0,0.000954
96,.........((((.((((........))))...))))...(((....)))..(((((............)).))).,16,-5.89,17,0,0.000950
97,..............(((((......))))).....((((.(((....)))....((........)).)))).....,14,-5.873,22,0,0.000921
98,.........((((.(((((......)))))...)))).....(....)..((((((........))).))).....,16,-5.872,11,0,0.000920
99,.....(..(((((.(((((......)))))...)))))..).........(((.((........))..))).....,16,-5.869,14,0,0.000916
100,.........((((.((((........))))...))))...(((....))).(((((........))).))......,16,-5.863,11,0,0.000907
101,..............(((((......)))))......(...).........(((..((.......))..))).....,11,-5.86,14,0,0.000902
102,.......(.(((..(((((......)))))....))))..(((....)))(((..((.......))..))).....,17,-5.859,4,0,0.000901
103,.........((((.(((..........)))...))))...(((....)))(((.((........))..))).....,15,-5.858,9,0,0.000899
104,.......(.((((.(((((......)))))...)))))............((((((........))).))).....,16,-5.858,15,0,0.000899
105,.........((((.(((((......)))))...))))...(((....)))...(((........)))..(....).,16,-5.856,14,0,0.000896
106,.........((((.(((((......)))))...))))........(((..(((...............))).))).,15,-5.847,15,0,0.000882
107,.........((((.((((........))))...))))....((....)).(((.((........))..))).....,15,-5.841,9,0,0.000873
108,..........(((.(((((......)))))...)))....(((....)))(((.((........))..))).....,16,-5.831,7,0,0.000859
109,......(.(((((.(((((......)))))...)))))..).........(((.((........))..))).....,16,-5.827,14,0,0.000853
110,..((...)).....(((((......))))).....((((((((....)))................))))).....,15,-5.822,27,0,0.000846
111,.........((((.(((((......)))))...))))...(((....)))............(.(...).).....,14,-5.815,11,0,0.000836
112,..............(((((......)))))....................(((..((.......))..))).....,10,-5.806,14,0,0.000824
113,..............(((((......)))))......(...).........((((((........))).))).....,12,-5.805,21,0,0.000822
114,.......(.(((..(((((......)))))....))))..(((....)))((((((........))).))).....,18,-5.805,11,0,0.000822
115,.........(((..(((((......)))))....)))........(((..(((.((........))..))).))).,16,-5.804,18,0,0.000820
116,.........((((.(((((......)))))...))))...(((....))).(.(((........)))..)......,16,-5.803,11,0,0.000820
117,..............(((((......)))))......((..(((....))).))..((.......))..........,12,-5.794,15,0,0.000807
118,.....(..(((((.(((((......)))))...)))))..)....(((..(((..((.......))..))).))).,19,-5.793,14,0,0.000806
