,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
0,...........((((.(((....)))))))..(((((...((.....))...((((......))))..)))))...,18,-9.124,0,0,0.034594
1,...........((((.(((....)))))))..(((((...(((...)))...((((......))))..)))))...,19,-8.885,2,0,0.023118
2,...........((((.(((....))))))).((((((...((.....))...((((......))))..))))))..,19,-8.821,2,0,0.020757
3,...........((((.(((....))))))).((((((...(((...)))...((((......))))..))))))..,20,-8.582,4,0,0.013871
4,...........((((..((....)).))))..(((((...((.....))...((((......))))..)))))...,17,-8.46,2,0,0.011284
5,...........((((.(((....)))))))..........((.....))...((((......))))..........,13,-8.39,10,0,0.010021
6,..(.....)..((((.(((....)))))))..(((((...((.....))...((((......))))..)))))...,19,-8.286,2,0,0.008411
7,...........((((.(((....))))))).........(((.........(((((......))))))))......,15,-8.228,18,0,0.007629
8,...........((((...........))))..(((((...((.....))...((((......))))..)))))...,15,-8.227,6,0,0.007619
9,...........((((..((....)).))))..(((((...(((...)))...((((......))))..)))))...,18,-8.221,4,0,0.007540
10,..((...))..((((.(((....)))))))..(((((...((.....))...((((......))))..)))))...,20,-8.215,4,0,0.007458
11,...........((((..((....)).)))).((((((...((.....))...((((......))))..))))))..,18,-8.157,4,0,0.006770
12,...........((((.(((....)))))))..........(((...)))...((((......))))..........,14,-8.151,12,0,0.006697
13,...........((((.(((....)))))))......((....))........((((......))))..........,13,-8.13,17,0,0.006466
14,.......(((.(..(((((........(((.........)))......)))))..).)))................,12,-8.054,47,0,0.005687
15,..(.....)..((((.(((....)))))))..(((((...(((...)))...((((......))))..)))))...,20,-8.047,4,0,0.005621
16,...........((((...........))))..(((((...(((...)))...((((......))))..)))))...,16,-7.988,8,0,0.005092
17,..(.....)..((((.(((....))))))).((((((...((.....))...((((......))))..))))))..,20,-7.983,4,0,0.005047
18,..((...))..((((.(((....)))))))..(((((...(((...)))...((((......))))..)))))...,21,-7.976,6,0,0.004984
19,...........((((...........)))).((((((...((.....))...((((......))))..))))))..,16,-7.925,8,0,0.004572
20,...........((((..((....)).)))).((((((...(((...)))...((((......))))..))))))..,19,-7.918,6,0,0.004524
21,..((...))..((((.(((....))))))).((((((...((.....))...((((......))))..))))))..,21,-7.912,6,0,0.004475
22,...........((((.(((....)))))))..(((....(((.........(((((......)))))))))))...,18,-7.863,12,0,0.004121
23,...........((((.(((....)))))))......................((((......))))..........,11,-7.828,14,0,0.003881
24,.......(((.(..(((((..........((((.......))))....)))))..).)))................,13,-7.796,50,0,0.003682
25,..(.....)..((((.(((....))))))).((((((...(((...)))...((((......))))..))))))..,21,-7.744,6,0,0.003373
26,...........((((..((....)).))))..........((.....))...((((......))))..........,12,-7.726,12,0,0.003269
27,.......(((.(..(((((........(((.........)))......)))))..).)))..(.(...).).....,14,-7.697,47,0,0.003114
28,...........((((.(((....))))))).......(.(((.........(((((......)))))))).)....,16,-7.687,19,0,0.003060
29,...........((((...........)))).((((((...(((...)))...((((......))))..))))))..,17,-7.686,10,0,0.003055
30,..((...))..((((.(((....))))))).((((((...(((...)))...((((......))))..))))))..,22,-7.673,8,0,0.002990
31,..(.....)..((((..((....)).))))..(((((...((.....))...((((......))))..)))))...,18,-7.622,4,0,0.002743
32,...........((((..((....)).)))).........(((.........(((((......))))))))......,14,-7.564,20,0,0.002488
33,...........((((.(((....))))))).((((....(((.........(((((......))))))))))))..,19,-7.56,14,0,0.002473
34,..(.....)..((((.(((....)))))))..........((.....))...((((......))))..........,14,-7.552,12,0,0.002437
35,..((...))..((((..((....)).))))..(((((...((.....))...((((......))))..)))))...,19,-7.551,6,0,0.002432
36,...........((((...........))))..........((.....))...((((......))))..........,10,-7.493,16,0,0.002207
37,...........((((..((....)).))))..........(((...)))...((((......))))..........,13,-7.487,14,0,0.002184
38,..((...))..((((.(((....)))))))..........((.....))...((((......))))..........,15,-7.48,14,0,0.002160
39,...........(((..(((....))).)))..(((((...((.....))...((((......))))..)))))...,17,-7.469,2,0,0.002120
40,...........((((..((....)).))))......((....))........((((......))))..........,12,-7.466,19,0,0.002109
41,.......(((.((.(((((........(((.........)))......))))).)).)))................,13,-7.46,47,0,0.002088
42,.......(((.(..(((((..........((((.......))))....)))))..).)))..(.(...).).....,15,-7.44,50,0,0.002016
43,...........((((.((......))))))..(((((...((.....))...((((......))))..)))))...,17,-7.431,2,0,0.001987
44,..(.....)..((((.(((....))))))).........(((.........(((((......))))))))......,16,-7.39,20,0,0.001855
45,..(.....)..((((...........))))..(((((...((.....))...((((......))))..)))))...,16,-7.389,8,0,0.001853
46,..(.....)..((((..((....)).))))..(((((...(((...)))...((((......))))..)))))...,19,-7.383,6,0,0.001833
47,.........(.((((.(((....)))))))..).......((.....))...((((......))))..........,14,-7.361,11,0,0.001767
48,...........((((.(((....)))))))..(((((...((.....))...(((........)))..)))))...,17,-7.357,2,0,0.001755
49,...........((((...........)))).........(((.........(((((......))))))))......,12,-7.332,24,0,0.001680
50,..(.....)..((((..((....)).)))).((((((...((.....))...((((......))))..))))))..,19,-7.319,6,0,0.001646
51,..((...))..((((.(((....))))))).........(((.........(((((......))))))))......,17,-7.319,22,0,0.001645
52,..((...))..((((...........))))..(((((...((.....))...((((......))))..)))))...,17,-7.318,10,0,0.001643
53,..(.....)..((((.(((....)))))))..........(((...)))...((((......))))..........,15,-7.313,14,0,0.001628
54,..((...))..((((..((....)).))))..(((((...(((...)))...((((......))))..)))))...,20,-7.312,8,0,0.001625
55,.......(((.(..(((((........(((.........)))......)))))..).)))....(...).......,13,-7.306,47,0,0.001608
56,..(.....)..((((.(((....)))))))......((....))........((((......))))..........,14,-7.292,19,0,0.001572
57,...........((((.(((....)))))))..(((((......((.....))((((......))))..)))))...,18,-7.271,8,0,0.001518
58,...........((((...........))))..........(((...)))...((((......))))..........,11,-7.254,18,0,0.001475
59,..((...))..((((..((....)).)))).((((((...((.....))...((((......))))..))))))..,20,-7.248,8,0,0.001460
60,..((...))..((((.(((....)))))))..........(((...)))...((((......))))..........,16,-7.242,16,0,0.001444
61,...........((((...........))))......((....))........((((......))))..........,10,-7.234,23,0,0.001424
62,...........(((..(((....))).)))..(((((...(((...)))...((((......))))..)))))...,18,-7.23,4,0,0.001417
63,..((...))..((((.(((....)))))))......((....))........((((......))))..........,15,-7.221,21,0,0.001394
64,...........((((.(((....)))))))..........((.....))...((((......))))...(....).,14,-7.217,11,0,0.001386
65,.......(((.((.(((((..........((((.......))))....))))).)).)))................,14,-7.203,50,0,0.001352
66,.........(.((((.(((....)))))))..)......(((.........(((((......))))))))......,16,-7.2,19,0,0.001345
