,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
67,...........((((..((....)).))))..(((....(((.........(((((......)))))))))))...,17,-7.199,14,0,0.001344
68,...........((((.((......))))))..(((((...(((...)))...((((......))))..)))))...,18,-7.192,4,0,0.001328
69,...........((((((....))))...))..(((((...((.....))...((((......))))..)))))...,17,-7.172,13,0,0.001283
70,...........((((.(((....)))))))......((.(((.........(((((......))))))))...)).,17,-7.172,21,0,0.001283
71,...........(((..(((....))).))).((((((...((.....))...((((......))))..))))))..,18,-7.167,4,0,0.001272
72,...........((((..((....)).))))......................((((......))))..........,10,-7.164,16,0,0.001266
73,...........((((((....)))...)))..(((((...((.....))...((((......))))..)))))...,17,-7.158,11,0,0.001254
74,..(.....)..((((...........))))..(((((...(((...)))...((((......))))..)))))...,17,-7.151,10,0,0.001238
75,...........((((.((......)))))).((((((...((.....))...((((......))))..))))))..,18,-7.128,4,0,0.001192
76,.........(.((((.(((....)))))))..).......(((...)))...((((......))))..........,15,-7.122,13,0,0.001180
77,...........((((.(((....)))))))..(((((...(((...)))...(((........)))..)))))...,18,-7.119,4,0,0.001173
78,...........((((.(((....)))))))......((....))....(..(((((......)))))..)......,15,-7.104,19,0,0.001145
79,.......(((.((.(((((........(((.........)))......))))).)).)))..(.(...).).....,15,-7.103,47,0,0.001143
80,.........(.((((.(((....)))))))..)...((....))........((((......))))..........,14,-7.102,18,0,0.001140
81,..(.....)..((((...........)))).((((((...((.....))...((((......))))..))))))..,17,-7.087,10,0,0.001112
82,.......(((.(..(((((..((....(((.........))).))...)))))..).)))................,14,-7.084,51,0,0.001106
83,..(.....)..((((..((....)).)))).((((((...(((...)))...((((......))))..))))))..,20,-7.081,8,0,0.001100
84,..((...))..((((...........))))..(((((...(((...)))...((((......))))..)))))...,18,-7.079,12,0,0.001098
85,...........((((.(((....))))))).((((((...((.....))...(((........)))..))))))..,18,-7.055,4,0,0.001053
86,.......(((.(..(((((..........((((.......))))....)))))..).)))....(...).......,14,-7.048,50,0,0.001041
87,...........((((.(((....)))))))...((.....))..........((((......))))..........,13,-7.04,14,0,0.001026
88,.......(((.(..(((((........(((.........)))......)))))..).)))..((.......))...,14,-7.038,47,0,0.001024
89,...........((((.(((....)))))))..(((((......(((...)))((((......))))..)))))...,19,-7.032,10,0,0.001014
90,..(.....)..((((.(((....)))))))..(((....(((.........(((((......)))))))))))...,19,-7.025,14,0,0.001002
91,...........((((..((....)).)))).......(.(((.........(((((......)))))))).)....,15,-7.023,21,0,0.000998
92,...........((((.(((....)))))))..(((.....((.....))...((((......))))....)))...,16,-7.022,4,0,0.000996
93,..((...))..((((...........)))).((((((...((.....))...((((......))))..))))))..,18,-7.015,12,0,0.000986
94,..((...))..((((..((....)).)))).((((((...(((...)))...((((......))))..))))))..,21,-7.009,10,0,0.000975
95,..(.....)..((((.(((....)))))))......................((((......))))..........,12,-6.99,16,0,0.000944
96,...........((((.(((....)))))))..........(((...)))...((((......))))...(....).,15,-6.979,13,0,0.000926
97,...........((((.(((....))))))).((((((......((.....))((((......))))..))))))..,19,-6.969,10,0,0.000911
98,...........((((...........))))..(((....(((.........(((((......)))))))))))...,15,-6.967,18,0,0.000908
99,...........((((.(((....)))))))......((....))........((((......))))...(....).,14,-6.958,18,0,0.000894
100,..((...))..((((.(((....)))))))..(((....(((.........(((((......)))))))))))...,20,-6.954,16,0,0.000888
101,...(...)...((((.(((....)))))))..(((((...((.....))...((((......))))..)))))...,19,-6.943,2,0,0.000872
102,...........((((.(((....)))))))..(...)...((.....))...((((......))))..........,14,-6.939,10,0,0.000867
103,...........((((((....))))...))..(((((...(((...)))...((((......))))..)))))...,18,-6.933,15,0,0.000858
104,...........((((...........))))......................((((......))))..........,8,-6.931,20,0,0.000855
105,...........((((.(((....))))))).....(((.(((.........(((((......))))))))...))),18,-6.929,22,0,0.000851
106,..............(((....))).....((((.......))))........((((......))))..........,11,-6.928,35,0,0.000851
107,...........(((..(((....))).))).((((((...(((...)))...((((......))))..))))))..,19,-6.928,6,0,0.000850
108,...........((((((....)))...)))..(((((...(((...)))...((((......))))..)))))...,18,-6.92,13,0,0.000838
109,..((...))..((((.(((....)))))))......................((((......))))..........,13,-6.918,18,0,0.000837
110,...........((((.(((....)))))))..(((((...((.....))...(((.((...)))))..)))))...,19,-6.907,5,0,0.000821
111,...........((((.(((....)))))))..(((((...((.....))...((((.(...)))))..)))))...,19,-6.907,2,0,0.000821
112,...........((((.(((....)))))))..(((((...(.......)...((((......))))..)))))...,17,-6.902,2,0,0.000814
113,...........((((..((....)).)))).((((....(((.........(((((......))))))))))))..,18,-6.897,16,0,0.000807
114,...........((((.((......)))))).((((((...(((...)))...((((......))))..))))))..,19,-6.889,6,0,0.000797
115,..(.....)..((((..((....)).))))..........((.....))...((((......))))..........,13,-6.888,14,0,0.000795
116,.......(((.(..(((((........(((.........)))......)))))..).))).........(....).,13,-6.882,48,0,0.000787
117,...........((((.(((....)))))))......((....))..(.(..(((((......)))))..).)....,16,-6.874,20,0,0.000776
118,...........((((((....))))...)).((((((...((.....))...((((......))))..))))))..,18,-6.869,15,0,0.000770
119,.......(((.(..(((((........(((..(...)..)))......)))))..).)))................,13,-6.856,47,0,0.000753
120,...........((((((....)))...))).((((((...((.....))...((((......))))..))))))..,18,-6.856,13,0,0.000753
121,...........((((.(((....))))))).........(((.((.....))((((......)))).)))......,16,-6.852,20,0,0.000748
122,..(.....)..((((.(((....))))))).......(.(((.........(((((......)))))))).)....,17,-6.849,21,0,0.000744
123,..(.....)..((((...........)))).((((((...(((...)))...((((......))))..))))))..,18,-6.848,12,0,0.000743
124,.......(((.((.(((((..........((((.......))))....))))).)).)))..(.(...).).....,16,-6.846,50,0,0.000740
125,..............(((....))).......((((((...((.....))...((((......))))..))))))..,15,-6.837,19,0,0.000729
126,..((...))..((((..((....)).))))..........((.....))...((((......))))..........,14,-6.817,16,0,0.000705
127,...........((((.(((....))))))).((((((...(((...)))...(((........)))..))))))..,19,-6.816,6,0,0.000704
128,...........((((.(((....)))))))....(.....)...........((((......))))..........,12,-6.807,14,0,0.000694
129,...........((((.(((....)))))))..................(..(((((......)))))..)......,13,-6.802,16,0,0.000687
130,.........(.((((.(((....)))))))..)...................((((......))))..........,12,-6.799,15,0,0.000684
131,.......(((.(..(((((........(((.........)))......)))))..).))).......((...))..,14,-6.792,49,0,0.000675
132,...........((((...........)))).......(.(((.........(((((......)))))))).)....,13,-6.79,25,0,0.000674
133,...........((((.(((....)))))))..(((.....(((...)))...((((......))))....)))...,17,-6.783,6,0,0.000666
134,.......(((.(..(((((..........((((.......))))....)))))..).)))..((.......))...,15,-6.781,50,0,0.000663
135,.......(((.(..(((((.....((.(((.........)))..))..)))))..).)))................,14,-6.779,49,0,0.000661
136,...........((((.(((....)))))))..(...)..(((.........(((((......))))))))......,16,-6.778,18,0,0.000660
137,..((...))..((((.(((....))))))).......(.(((.........(((((......)))))))).)....,18,-6.778,23,0,0.000660
138,..((...))..((((...........)))).((((((...(((...)))...((((......))))..))))))..,19,-6.777,14,0,0.000659
139,...........((((..(......).))))..(((((...((.....))...((((......))))..)))))...,16,-6.767,4,0,0.000648
140,...........((((.(((....)))))))......((....))...((..(((((......)))))...))....,16,-6.747,19,0,0.000627
141,.....(..((.((((.(((....)))))))..))..)...((.....))...((((......))))..........,16,-6.747,13,0,0.000627
142,...........((((.(((....)))))))...((((...((.....))...((((......))))..))))....,17,-6.735,2,0,0.000614
143,...........(((..(((....))).)))..........((.....))...((((......))))..........,12,-6.735,12,0,0.000614
144,...........((((.(((....))))))).((((((......(((...)))((((......))))..))))))..,20,-6.73,12,0,0.000609
145,.......(((.(..(((((..((....(((.........))).))...)))))..).)))..(.(...).).....,16,-6.727,51,0,0.000606
146,..........(..((((....)))).)..((((.......))))........((((......))))..........,13,-6.727,36,0,0.000605
147,...........((((.(((....)))))))..(((((...((.....))....(((......)))...)))))...,17,-6.726,2,0,0.000605
148,..(.....)..((((..((....)).)))).........(((.........(((((......))))))))......,15,-6.726,22,0,0.000605
149,..(.....)..((((.(((....))))))).((((....(((.........(((((......))))))))))))..,20,-6.723,16,0,0.000601
150,...........((((.(((....))))))).((((.....((.....))...((((......))))....))))..,17,-6.719,6,0,0.000598
151,.......(((.((.(((((........(((.........)))......))))).)).)))....(...).......,14,-6.712,47,0,0.000590
152,......(.((.((((.(((....)))))))..))..)...((.....))...((((......))))..........,16,-6.705,13,0,0.000584
153,...(...)...((((.(((....)))))))..(((((...(((...)))...((((......))))..)))))...,20,-6.704,4,0,0.000583
154,...........((((.(((....)))))))..(...)...(((...)))...((((......))))..........,15,-6.701,12,0,0.000579
155,.........(.((((..((....)).))))..).......((.....))...((((......))))..........,13,-6.697,13,0,0.000576
156,...........((((.((......))))))..........((.....))...((((......))))..........,12,-6.697,12,0,0.000576
157,...........((((..((....)).))))..(((((...((.....))...(((........)))..)))))...,16,-6.694,4,0,0.000572
158,...........((((.(((....))))))).......((.....))......((((......))))..........,13,-6.692,18,0,0.000571
159,.......(((.(..(((((........(((.........)))......)))))..).))).......(.....)..,13,-6.686,49,0,0.000565
160,...........((((.(((....)))))))......((....))...(((.(((((......)))))....)))..,17,-6.672,21,0,0.000552
161,...........((((.(((....)))))))..(((((...(((...)))...(((.((...)))))..)))))...,20,-6.669,7,0,0.000549
162,...........((((.(((....)))))))..(((((...(((...)))...((((.(...)))))..)))))...,20,-6.669,4,0,0.000549
163,........((.((((.(((....)))))))..))......((.....))...((((......))))..........,15,-6.667,12,0,0.000548
164,...........((((...........)))).((((....(((.........(((((......))))))))))))..,16,-6.664,20,0,0.000545
165,.........(.((((.(((....)))))))..)....(.(((.........(((((......)))))))).)....,17,-6.658,20,0,0.000539
166,..............(((....)))........(((((...((.....))...((((......))))..)))))...,14,-6.657,17,0,0.000538
167,...........((((.(((....)))))))......................((((......))))...(....).,12,-6.656,15,0,0.000537
168,..(.....)..((((...........))))..........((.....))...((((......))))..........,11,-6.655,18,0,0.000537
169,..((...))..((((..((....)).)))).........(((.........(((((......))))))))......,16,-6.655,24,0,0.000536
170,...........(((.............)))..(((((...((.....))...((((......))))..)))))...,14,-6.654,8,0,0.000535
171,.......(((.(..(((((..........(((.........)))....)))))..).)))................,12,-6.652,50,0,0.000534
172,..((...))..((((.(((....))))))).((((....(((.........(((((......))))))))))))..,21,-6.651,18,0,0.000533
173,..(.....)..((((..((....)).))))..........(((...)))...((((......))))..........,14,-6.649,16,0,0.000531
174,...(...)...((((.(((....))))))).((((((...((.....))...((((......))))..))))))..,20,-6.64,4,0,0.000523
175,..........(..((((....)))).)....((((((...((.....))...((((......))))..))))))..,17,-6.635,20,0,0.000519
176,..(.....)..(((..(((....))).)))..(((((...((.....))...((((......))))..)))))...,18,-6.631,4,0,0.000515
177,...........((((((....))))...)).((((((...(((...)))...((((......))))..))))))..,19,-6.63,17,0,0.000515
178,..(.....)..((((..((....)).))))......((....))........((((......))))..........,13,-6.628,21,0,0.000513
179,.......(((.(..(((((..........((((.......))))....)))))..).))).........(....).,14,-6.624,51,0,0.000509
180,...........((((.(((....)))))))..........((.....))...(((........)))..........,12,-6.623,12,0,0.000508
181,...........((((.(((....)))))))..........((.....))...((((......)))).((...))..,15,-6.621,12,0,0.000506
182,...........((((((....)))...))).((((((...(((...)))...((((......))))..))))))..,19,-6.617,15,0,0.000503
183,...........((((.(((....))))))).........(((.(((...)))((((......)))).)))......,17,-6.613,22,0,0.000500
184,...........((((..((....)).))))..(((((......((.....))((((......))))..)))))...,17,-6.608,10,0,0.000495
185,...........((((.(((....))))))).((((((...((.....))...(((.((...)))))..))))))..,20,-6.605,7,0,0.000493
186,...........((((.(((....))))))).((((((...((.....))...((((.(...)))))..))))))..,20,-6.605,4,0,0.000493
187,...........((((.(((....))))))).((((((...(.......)...((((......))))..))))))..,18,-6.599,4,0,0.000488
188,..............(((....))).......((((((...(((...)))...((((......))))..))))))..,16,-6.598,21,0,0.000487
189,.....(....)((((.(((....)))))))..(((((...((.....))...((((......))))..)))))...,19,-6.596,2,0,0.000486
190,..(.....)..((((.((......))))))..(((((...((.....))...((((......))))..)))))...,18,-6.593,4,0,0.000483
191,.....(..((.((((.(((....)))))))..))..)..(((.........(((((......))))))))......,18,-6.586,21,0,0.000477
192,..((...))..((((...........))))..........((.....))...((((......))))..........,12,-6.584,20,0,0.000476
193,..((...))..((((..((....)).))))..........(((...)))...((((......))))..........,15,-6.578,18,0,0.000471
194,...........(((..(((....))).))).........(((.........(((((......))))))))......,14,-6.574,20,0,0.000467
195,...((..(((.(..(((((........(((.........)))......)))))..).))).)).............,14,-6.573,50,0,0.000467
196,...........((((.(((....)))))))................(.(..(((((......)))))..).)....,14,-6.572,17,0,0.000466
197,..((...))..(((..(((....))).)))..(((((...((.....))...((((......))))..)))))...,19,-6.56,6,0,0.000457
198,..((...))..((((..((....)).))))......((....))........((((......))))..........,14,-6.557,23,0,0.000455
199,...........((((..((....)).))))..........((.....))...((((......))))...(....).,13,-6.554,13,0,0.000452
200,......(.((.((((.(((....)))))))..))..)..(((.........(((((......))))))))......,18,-6.543,21,0,0.000444
201,.......(((.(..(((((.....(((.............))).....)))))..).)))................,12,-6.539,47,0,0.000441
202,...........((((.(((....))))))).............((.....))((((......))))..........,13,-6.537,18,0,0.000440
203,.........(.((((..((....)).))))..)......(((.........(((((......))))))))......,15,-6.536,21,0,0.000439
204,...........((((.((......)))))).........(((.........(((((......))))))))......,14,-6.535,20,0,0.000438
205,.......(((.(..(((((..........((((.......))))....)))))..).))).......((...))..,15,-6.534,52,0,0.000437
206,...........((((..(......).))))..(((((...(((...)))...((((......))))..)))))...,17,-6.528,6,0,0.000433
207,..((...))..((((.((......))))))..(((((...((.....))...((((......))))..)))))...,19,-6.522,6,0,0.000428
208,..(.....)..((((.(((....)))))))..(((((...((.....))...(((........)))..)))))...,18,-6.52,4,0,0.000427
209,...........((((.(((....)))))))..........((.....))...((((......)))).(.....)..,14,-6.515,12,0,0.000423
210,...........((((.(((....)))))))..........((.....))...((((......))))....(...).,14,-6.513,11,0,0.000422
211,.......(((.(..(((((........(((.........)))......)))))..).))).....(........).,13,-6.509,48,0,0.000419
212,.....(..((.((((.(((....)))))))..))..)...(((...)))...((((......))))..........,17,-6.508,15,0,0.000419
213,...........((((..((....)).))))......((.(((.........(((((......))))))))...)).,16,-6.508,23,0,0.000418
214,........((.((((.(((....)))))))..)).....(((.........(((((......))))))))......,17,-6.506,20,0,0.000417
215,.......(((.(..(((((........(((..(...)..)))......)))))..).)))..(.(...).).....,15,-6.499,47,0,0.000412
216,...........((((.(((....)))))))...((((...(((...)))...((((......))))..))))....,18,-6.496,4,0,0.000410
217,...........(((..(((....))).)))..........(((...)))...((((......))))..........,13,-6.496,14,0,0.000410
218,..(.....)..((((...........)))).........(((.........(((((......))))))))......,13,-6.494,26,0,0.000409
219,...........((((.(((....)))))))......((....))....((.(((((......)))))....))...,16,-6.492,20,0,0.000408
220,.......(((.((.(((((..((....(((.........))).))...))))).)).)))................,15,-6.49,51,0,0.000406
221,...........((((.(((....)))))))..(((((...(((...)))....(((......)))...)))))...,18,-6.488,4,0,0.000404
222,...........((((.(((....)))))))..(((....(((.((.....))((((......)))).))))))...,19,-6.487,14,0,0.000404
223,.......(((.((..((((........(((.........)))......))))..)).)))................,12,-6.486,47,0,0.000403
224,...........((((((....))...))))..(((((...((.....))...((((......))))..)))))...,17,-6.482,9,0,0.000400
225,...........((((.(((....)))))))..........((.....))...((((......))))..(...)...,14,-6.48,10,0,0.000399
226,...........((((.(((....))))))).((((.....(((...)))...((((......))))....))))..,18,-6.48,8,0,0.000399
227,...........(((..(((....))).)))......((....))........((((......))))..........,12,-6.476,19,0,0.000396
228,......(.((.((((.(((....)))))))..))..)...(((...)))...((((......))))..........,17,-6.466,15,0,0.000390
229,.........(.((((...........))))..).......((.....))...((((......))))..........,11,-6.465,17,0,0.000389
230,...........((((..(......).)))).((((((...((.....))...((((......))))..))))))..,17,-6.464,6,0,0.000389
231,...........((((.(((....))))))).........(((.........((((........)))))))......,14,-6.462,20,0,0.000387
232,...........((((...........))))..(((((...((.....))...(((........)))..)))))...,14,-6.461,8,0,0.000387
233,.........(.((((..((....)).))))..).......(((...)))...((((......))))..........,14,-6.459,15,0,0.000385
234,...........((((.((......))))))..........(((...)))...((((......))))..........,13,-6.458,14,0,0.000385
235,..........(..((((....)))).).....(((((...((.....))...((((......))))..)))))...,16,-6.455,18,0,0.000383
236,...........((((..((....)).))))..(((((...(((...)))...(((........)))..)))))...,17,-6.455,6,0,0.000383
237,.......(((.((.(((((..........((((.......))))....))))).)).)))....(...).......,15,-6.454,50,0,0.000382
238,..((...))..((((.(((....)))))))..(((((...((.....))...(((........)))..)))))...,19,-6.448,6,0,0.000378
239,.......(((.(..(((((...(.....)((((.......))))....)))))..).)))................,14,-6.447,51,0,0.000377
240,...........((((.(((....))))))).................((..(((((......)))))...))....,14,-6.445,16,0,0.000376
241,.......(((.((.(((((........(((.........)))......))))).)).)))..((.......))...,15,-6.445,47,0,0.000376
242,...........((((..((....)).))))......((....))....(..(((((......)))))..)......,14,-6.441,21,0,0.000373
243,.........(.((((..((....)).))))..)...((....))........((((......))))..........,13,-6.438,20,0,0.000372
244,...........((((((....))))...))..........((.....))...((((......))))..........,12,-6.438,23,0,0.000372
245,...........((((.((......))))))......((....))........((((......))))..........,12,-6.437,19,0,0.000371
246,...........((((.(((....)))))))......(......)........((((......))))..........,12,-6.435,15,0,0.000370
247,..(.....)..((((.(((....)))))))..(((((......((.....))((((......))))..)))))...,19,-6.433,10,0,0.000369
248,........((.((((.(((....)))))))..))......(((...)))...((((......))))..........,16,-6.428,14,0,0.000366
249,.......(((.(..(((((..........((((.......))))....)))))..).))).......(.....)..,14,-6.428,52,0,0.000366
250,.......(((.(..(((((.............................)))))..).)))................,9,-6.427,46,0,0.000365
251,...........((((((....)))...)))..........((.....))...((((......))))..........,12,-6.424,21,0,0.000363
252,...........((((.(((....))))))).((((((...((.....))....(((......)))...))))))..,18,-6.424,4,0,0.000363
253,..((...))..((((...........)))).........(((.........(((((......))))))))......,14,-6.422,28,0,0.000362
254,.......(((.(..(((((.....((.(((.........)))..))..)))))..).)))..(.(...).).....,16,-6.422,49,0,0.000362
255,..............(((....)))........(((((...(((...)))...((((......))))..)))))...,15,-6.418,19,0,0.000360
256,..(.....)..((((...........))))..........(((...)))...((((......))))..........,12,-6.416,20,0,0.000359
257,...........(((.............)))..(((((...(((...)))...((((......))))..)))))...,15,-6.415,10,0,0.000358
258,...((..(((.(......).)))..))..((((.......))))........((((......))))..........,14,-6.413,40,0,0.000356
259,........((.((((.(((....)))))))..))..((....))........((((......))))..........,15,-6.408,19,0,0.000353
260,...((..(((.((....)).)))..))..((((.......))))........((((......))))..........,15,-6.405,40,0,0.000352
261,...(...)...((((.(((....))))))).((((((...(((...)))...((((......))))..))))))..,21,-6.402,6,0,0.000350
262,..........(..((((....)))).)....((((((...(((...)))...((((......))))..))))))..,18,-6.396,22,0,0.000347
263,..(.....)..((((...........))))......((....))........((((......))))..........,11,-6.396,25,0,0.000346
264,..(.....)..(((..(((....))).)))..(((((...(((...)))...((((......))))..)))))...,19,-6.393,6,0,0.000344
265,...........((((.(((....)))))))..(((.(...((.....))...((((......))))..).)))...,17,-6.392,2,0,0.000344
266,...........((((..((....)).)))).((((((...((.....))...(((........)))..))))))..,17,-6.391,6,0,0.000343
267,..............(((....)))...(((.........)))..........((((......))))..........,10,-6.387,32,0,0.000341
268,...........((((.(((....)))))))..........(((...)))...(((........)))..........,13,-6.384,14,0,0.000340
269,...........((((.(((....)))))))..(((.................((((......))))....)))...,14,-6.383,8,0,0.000339
270,...........((((.(((....)))))))..........(((...)))...((((......)))).((...))..,16,-6.382,14,0,0.000338
271,..(.....)..((((.(((....)))))))..........((.....))...((((......))))...(....).,15,-6.38,13,0,0.000337
272,...........((((.(((....)))))))..(...)...............((((......))))..........,12,-6.377,14,0,0.000336
273,...........((((.(((....)))))))..........((.....))....(((......)))...........,12,-6.377,12,0,0.000335
274,...........((((..((....)).))))...((.....))..........((((......))))..........,12,-6.376,16,0,0.000335
275,...........((((...........))))..(((((......((.....))((((......))))..)))))...,15,-6.375,14,0,0.000334
276,...........((((.(((....))))))).................(((.(((((......)))))....)))..,15,-6.37,18,0,0.000331
277,...........((((..((....)).))))..(((((......(((...)))((((......))))..)))))...,18,-6.369,12,0,0.000331
278,.......(((.(..(((((........(((.........)))......)))))..).)))..(.(...))......,14,-6.368,47,0,0.000330
279,...........((((.(((....)))))))......(...........)...((((......))))..........,12,-6.366,14,0,0.000329
280,...........((((.(((....))))))).((((((...(((...)))...(((.((...)))))..))))))..,21,-6.366,9,0,0.000329
281,...........((((.(((....))))))).((((((...(((...)))...((((.(...)))))..))))))..,21,-6.366,6,0,0.000329
282,...........((((.(((....)))))))......((....))........(((........)))..........,12,-6.364,19,0,0.000328
283,..((...))..((((.(((....)))))))..(((((......((.....))((((......))))..)))))...,20,-6.362,12,0,0.000327
