,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
64,.......((.(((......))).)).....((((((.......(((((((....)))........)))))))))).,18,-5.583,15,0,0.001135
65,.......((.(((......))).)).....(((.(((.((......))..))).)))...(.(......).)....,15,-5.583,29,0,0.001135
66,.......((.(((......))).))..((((.......)))).....(((....)))..(.((.(...).))..).,16,-5.559,23,0,0.001090
67,.......((.(((......))).))....((.......)).......(((....))).....((.......))...,12,-5.556,17,0,0.001085
68,.......((.(((......))).)).....((((...(((........((....))((......))..))))))).,16,-5.53,5,0,0.001037
69,.......((.(((......))).))....((.......)).......(((....)))..((............)).,12,-5.529,17,0,0.001036
70,.......((.(((......))).))...(((.......)))......(((....)))...(.(......).)....,13,-5.529,19,0,0.001036
71,.......((.(((......))).))......(((...(((.......(((....)))...........))))))..,14,-5.516,2,0,0.001013
72,.......((.(((......))).)).....((((...(((..(.(.((((....)))....)..).).))))))).,18,-5.504,6,0,0.000994
73,.......((.(((......))).)).....((((...(((...((..(((....)))....)).....))))))).,17,-5.468,4,0,0.000934
74,.......((.(((......))).))......................(((....)))..((.(.(...).)..)).,12,-5.464,18,0,0.000928
75,.......((.(((......))).))..((((.......)))).....(((....)))........(........).,13,-5.45,20,0,0.000907
76,.....(.((.(((......))).)).)...((((...(((.......(((....)))...........))))))).,16,-5.448,2,0,0.000904
77,.......((..((((....))))..))...((((...(((.......(((....)))...........))))))).,16,-5.448,15,0,0.000904
78,.......((.(((......))).))..((((.......))))...(((.((.................)).)))..,14,-5.425,28,0,0.000869
79,.......((.(((......))).)).....((((...(((.....(((((....)))........)).))))))).,17,-5.42,4,0,0.000862
80,.......((.(((......))).)).....((((...((........(((....))).......)).....)))).,14,-5.417,8,0,0.000857
81,..(.....)..((((....)))).......((((...(((.......(((....)))...........))))))).,15,-5.402,14,0,0.000836
82,......(((.(((......))).)).)...((((...(((.......(((....)))...........))))))).,16,-5.402,2,0,0.000836
83,.......((.(((......))).))....((.......)).......(((....)))............(....).,11,-5.4,15,0,0.000833
84,.......((.(((......))).)).........((....)).....(((....)))...................,10,-5.394,18,0,0.000825
85,.......((.(((......))).))......................(((....))).......(...).......,9,-5.391,15,0,0.000821
86,...........((((....))))....((((.......)))).....(((....)))...................,11,-5.389,32,0,0.000818
87,.......((.(((......))).))......................(((....)))...(.(.(...)).)....,11,-5.387,17,0,0.000816
88,.......((.(((......))).)).....(((.(((.((......))..))).))).....((.......))...,15,-5.387,29,0,0.000815
89,.......((.(((......))).))............(((....((((((....)))........)))))).....,14,-5.387,14,0,0.000814
90,.......((.(((......))).))......((.((....)).))..(((....)))..((.(.(...).)..)).,16,-5.38,24,0,0.000806
91,.......((.(((......))).)).....(((((..((........(((....))).......))....))))).,15,-5.363,9,0,0.000782
92,.......((.(((......))).)).....(((.(((.((......))..))).)))..((............)).,15,-5.36,29,0,0.000778
93,.......((.(((......))).))......((..........))..(((....)))...................,10,-5.343,16,0,0.000757
94,...(((.((.(((......))).)).....)))..............(((....)))...................,11,-5.339,17,0,0.000751
95,.......((.(((......))).))...(((.......)))......(((....))).....((.......))...,13,-5.333,19,0,0.000744
96,..((...))..((((....)))).......((((...(((.......(((....)))...........))))))).,16,-5.331,15,0,0.000741
97,.......((.(((......))).)).(.....)....(((.......(((....)))...........))).....,12,-5.329,9,0,0.000740
98,.......((.(((......))).))......................(((....)))...(.(......).)....,10,-5.32,16,0,0.000728
99,.......((.(((......))).)).............(....)...(((....)))..((.(.(...).)..)).,13,-5.317,19,0,0.000724
100,.......((.(((......))).)).....((((...(((...(...(((....))).....).....))))))).,16,-5.314,2,0,0.000721
101,.......((.(((......))).))....((.......)).......(((....)))..........((...))..,12,-5.31,16,0,0.000715
102,...(((.((..((((....))))..))...)))....(((.......(((....)))...........))).....,15,-5.309,26,0,0.000715
103,.......((.(((......))).))..((((.......)))).....(((....))).....(.(...))......,14,-5.309,21,0,0.000714
104,.......((.(((......))).))......((.((....)).))..(((....))).......(...).......,13,-5.307,21,0,0.000713
105,.......((.(((......))).))...(((.......)))......(((....)))..((............)).,13,-5.306,19,0,0.000711
106,.......((.(((......))).))......((.((....)).))..(((....)))...(.(.(...)).)....,15,-5.304,23,0,0.000708
107,.......((.(((......))).)).((...))....(((.......(((....)))...........))).....,13,-5.302,10,0,0.000706
108,.......((.(((......))).))..((((.......)))).....(((....)))..((.((.......)))).,16,-5.296,23,0,0.000699
109,.......((.(((......))).))..((((.......))))......((....))....................,11,-5.283,21,0,0.000684
110,..........(((......))).....((((.......)))).....(((....)))...................,10,-5.278,23,0,0.000679
111,.......((.(((......))).))..((((.......)))).....(((....))).......(.........).,13,-5.273,20,0,0.000672
112,.......((.(((......))).))..((((.......)))).....(((....)))..(..............).,13,-5.266,20,0,0.000664
113,.....................(((....)))......(((.......(((....)))...........))).....,9,-5.26,21,0,0.000658
114,.......(..(((......)))..).....((((...(((.......(((....)))...........))))))).,14,-5.258,2,0,0.000656
115,.......((.(((......))).)).............(....)...(((....))).......(...).......,10,-5.244,16,0,0.000640
116,.......((.(((......))).)).......(.((....)).)...(((....)))...................,11,-5.244,19,0,0.000640
117,.......((.(((......))).))..((((.......)))).....(((....))).....(......)......,13,-5.241,20,0,0.000638
118,.......((.(((......))).))..((((.......))))....((((....)))..)................,13,-5.241,21,0,0.000637
119,.......((.(((......))).)).............(....)...(((....)))...(.(.(...)).)....,12,-5.241,18,0,0.000637
120,.......((.(((......))).))..((((.......)))).....(((....)))..((...(...)....)).,15,-5.24,22,0,0.000636
121,.......((.(((......))).)).....((((...(((.......(((....)))...(.....).))))))).,16,-5.238,2,0,0.000633
122,.......((.(((......))).)).....((((...(((..(.(..(((....))).......).).))))))).,17,-5.237,4,0,0.000633
