,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
0,.......(((.((.((.........))...)).)))........((((((...................)))))).,13,-10.927,0,0,0.058880
1,.......(((.((.(((.......)))...)).)))........((((((...................)))))).,14,-10.59,2,0,0.033321
2,..(((..(((.((.((.........))...)).))).)))....((((((...................)))))).,16,-10.348,6,0,0.022167
3,.((((..(((.((.((.........))...)).))).))))...((((((...................)))))).,17,-10.29,8,0,0.020079
4,.......(((((.(((......(((....))))))..)))))..((((((...................)))))).,17,-10.135,26,0,0.015474
5,.......(((.((.((((.....))))...)).)))........((((((...................)))))).,15,-10.032,4,0,0.012991
6,.......(((.((.((.........))...)).)))........((((((......(((.......))))))))).,16,-10.027,6,0,0.012895
7,..(((..(((.((.(((.......)))...)).))).)))....((((((...................)))))).,17,-10.011,8,0,0.012545
8,.((((..(((.((.(((.......)))...)).))).))))...((((((...................)))))).,18,-9.952,10,0,0.011363
9,.......(((.((.................)).)))........((((((...................)))))).,11,-9.8,4,0,0.008789
10,.......(((.((.((.........))...)).)))........((((((......((.........)))))))).,15,-9.744,4,0,0.008000
11,.......(((.((.(((.......)))...)).)))........((((((......(((.......))))))))).,17,-9.69,8,0,0.007298
12,.......(((.((.((.........))...)).)))........((((((.((............))..)))))).,15,-9.592,4,0,0.006188
13,.......(((.((.((.........))...)).)))........(((((.....................))))).,12,-9.571,2,0,0.005976
14,.......(((.((.((.........))...)).)))........((((((......(.....)......)))))).,14,-9.557,2,0,0.005835
15,.......(((.((.((.........))...)).)))........((((((.(((..........)))..)))))).,16,-9.519,6,0,0.005473
16,.......(((.((.((.........))...)).)))........((((((..............(...))))))).,14,-9.483,2,0,0.005143
17,..(((..(((.((.((((.....))))...)).))).)))....((((((...................)))))).,18,-9.453,10,0,0.004891
18,..(((..(((.((.((.........))...)).))).)))....((((((......(((.......))))))))).,19,-9.448,12,0,0.004855
19,..((...(((.((.((.........))...)).)))..))....((((((...................)))))).,15,-9.426,4,0,0.004674
20,.......(((.((.(((.......)))...)).)))........((((((......((.........)))))))).,16,-9.407,6,0,0.004527
21,.((((..(((.((.((((.....))))...)).))).))))...((((((...................)))))).,19,-9.394,12,0,0.004430
22,.((((..(((.((.((.........))...)).))).))))...((((((......(((.......))))))))).,20,-9.39,14,0,0.004398
23,.......(((.((.((.........))...)).)))........((((((.(((..(.....).)))..)))))).,17,-9.388,8,0,0.004388
24,.......(((.((.((.........))...)).)))........((((((.(..............)..)))))).,14,-9.388,2,0,0.004386
25,.(((...(((.((.((.........))...)).)))..)))...((((((...................)))))).,16,-9.367,6,0,0.004234
26,.......(((.((.((.........))...)).)))........((((((..(..............).)))))).,14,-9.357,2,0,0.004163
27,.......(((.((.(((.......)))...)).)))........((((((.((............))..)))))).,16,-9.255,6,0,0.003502
28,.......(((((.(((......(((....))))))..)))))..((((((......(((.......))))))))).,20,-9.235,32,0,0.003389
29,.......(((.((.(((.......)))...)).)))........(((((.....................))))).,13,-9.234,4,0,0.003382
30,..(((..(((.((.................)).))).)))....((((((...................)))))).,14,-9.221,10,0,0.003309
31,.......(((.((.(((.......)))...)).)))........((((((......(.....)......)))))).,15,-9.22,4,0,0.003302
32,.......(((.((.(((.......)))...)).)))........((((((.(((..........)))..)))))).,17,-9.182,8,0,0.003097
33,..(((..(((.((.((.........))...)).))).)))....((((((......((.........)))))))).,18,-9.166,10,0,0.003012
34,.((((..(((.((.................)).))).))))...((((((...................)))))).,15,-9.163,12,0,0.002997
35,.......(((.((.(((.......)))...)).)))........((((((..............(...))))))).,15,-9.145,4,0,0.002911
36,.......(((.((.((.........))...)).)))........((((((...(...........)...)))))).,14,-9.139,2,0,0.002878
37,.......(((.((.((((.....))))...)).)))........((((((......(((.......))))))))).,18,-9.132,10,0,0.002845
38,...((..(((.((.((.........))...)).))).)).....((((((...................)))))).,15,-9.131,4,0,0.002840
39,..(((..(((.((.(((.......)))...)).))).)))....((((((......(((.......))))))))).,20,-9.111,14,0,0.002747
40,.((((..(((.((.((.........))...)).))).))))...((((((......((.........)))))))).,19,-9.107,12,0,0.002728
41,.......(((.((.((.........))...)).)))........((((((.....(......)......)))))).,14,-9.1,2,0,0.002696
42,.......(((.((.((.........))...)).)))........((((((...(..(.....)..)...)))))).,15,-9.096,4,0,0.002678
43,..((...(((.((.(((.......)))...)).)))..))....((((((...................)))))).,16,-9.089,6,0,0.002645
44,.((((..(((.((.(((.......)))...)).))).))))...((((((......(((.......))))))))).,21,-9.052,16,0,0.002489
45,.......(((.((.(((.......)))...)).)))........((((((.(((..(.....).)))..)))))).,18,-9.051,10,0,0.002483
46,.......(((.((.(((.......)))...)).)))........((((((.(..............)..)))))).,15,-9.051,4,0,0.002482
47,.(((...(((.((.(((.......)))...)).)))..)))...((((((...................)))))).,17,-9.03,8,0,0.002396
48,.......(((.((.(((.......)))...)).)))........((((((..(..............).)))))).,15,-9.02,4,0,0.002356
49,..(((..(((.((.((.........))...)).))).)))....((((((.((............))..)))))).,18,-9.013,10,0,0.002330
50,..........((.(((......(((....))))))..)).....((((((...................)))))).,14,-9.005,23,0,0.002295
51,.......(((.((.((.........))...)).)))........((((((..((.....))........)))))).,15,-9.003,4,0,0.002288
52,..(((..(((.((.((.........))...)).))).)))....(((((.....................))))).,15,-8.993,8,0,0.002250
53,..(((..(((.((.((.........))...)).))).)))....((((((......(.....)......)))))).,17,-8.979,8,0,0.002197
54,.((((..(((.((.((.........))...)).))).))))...((((((.((............))..)))))).,19,-8.955,12,0,0.002110
55,.......(((((.(((......(((....))))))..)))))..((((((......((.........)))))))).,19,-8.953,30,0,0.002102
